component_x,component_y,spearman_r
kmeans,runtime_score,0.11863247863247864
louvain,runtime_score,0.12341880341880342
spectral,runtime_score,0.174017094017094
runtime_score,runtime_score,1.0
memory_score,runtime_score,0.47213675213675216
cell_number,runtime_score,0.29162393162393163
gene_number,runtime_score,0.24854700854700854
celltype_number,runtime_score,0.26017094017094017
dropout,runtime_score,0.26495726495726496
batch_number,runtime_score,0.25264957264957266
batch_strength,runtime_score,0.1029059829059829
de_prob,runtime_score,0.27726495726495726
de_strength,runtime_score,0.24170940170940172
out,runtime_score,0.27316239316239316
local,memory_score,0.12205128205128205
global,memory_score,0.38051282051282054
kmeans,memory_score,0.13914529914529913
louvain,memory_score,0.09675213675213676
spectral,memory_score,0.18085470085470085
runtime_score,memory_score,0.47213675213675216
memory_score,memory_score,1.0
cell_number,memory_score,0.12410256410256411
gene_number,memory_score,-0.020854700854700856
celltype_number,memory_score,0.18085470085470085
dropout,memory_score,0.027008547008547008
batch_number,memory_score,0.08786324786324787
batch_strength,memory_score,0.05299145299145299
de_prob,memory_score,0.07555555555555556
de_strength,memory_score,0.08717948717948718
out,memory_score,0.005128205128205128
local,cell_number,0.6704273504273505
global,cell_number,0.427008547008547
kmeans,cell_number,0.770940170940171
louvain,cell_number,0.7593162393162393
spectral,cell_number,0.7435897435897436
runtime_score,cell_number,0.29162393162393163
memory_score,cell_number,0.12410256410256411
cell_number,cell_number,1.0
gene_number,cell_number,0.9692307692307692
celltype_number,cell_number,0.8960683760683761
dropout,cell_number,0.9678632478632478
batch_number,cell_number,0.9487179487179487
batch_strength,cell_number,0.9001709401709401
de_prob,cell_number,0.9767521367521368
de_strength,cell_number,0.9596581196581196
out,cell_number,0.9507692307692308
local,gene_number,0.6635897435897435
global,gene_number,0.3176068376068376
kmeans,gene_number,0.7169230769230769
louvain,gene_number,0.731965811965812
spectral,gene_number,0.692991452991453
runtime_score,gene_number,0.24854700854700854
memory_score,gene_number,-0.020854700854700856
cell_number,gene_number,0.9692307692307692
gene_number,gene_number,1.0
celltype_number,gene_number,0.9015384615384615
dropout,gene_number,0.971965811965812
batch_number,gene_number,0.9576068376068376
batch_strength,gene_number,0.9186324786324787
de_prob,gene_number,0.9747008547008547
de_strength,gene_number,0.9473504273504274
out,gene_number,0.9788034188034188
local,celltype_number,0.6492307692307693
global,celltype_number,0.3764102564102564
kmeans,celltype_number,0.692991452991453
louvain,celltype_number,0.6820512820512821
spectral,celltype_number,0.6615384615384615
runtime_score,celltype_number,0.26017094017094017
memory_score,celltype_number,0.18085470085470085
cell_number,celltype_number,0.8960683760683761
gene_number,celltype_number,0.9015384615384615
celltype_number,celltype_number,1.0
dropout,celltype_number,0.8960683760683761
batch_number,celltype_number,0.8960683760683761
batch_strength,celltype_number,0.8810256410256411
de_prob,celltype_number,0.8974358974358975
de_strength,celltype_number,0.8871794871794871
out,celltype_number,0.9008547008547009
local,dropout,0.7244444444444444
global,dropout,0.4064957264957265
kmeans,dropout,0.7702564102564102
louvain,dropout,0.7941880341880342
spectral,dropout,0.7593162393162393
runtime_score,dropout,0.26495726495726496
memory_score,dropout,0.027008547008547008
cell_number,dropout,0.9678632478632478
gene_number,dropout,0.971965811965812
celltype_number,dropout,0.8960683760683761
dropout,dropout,1.0
batch_number,dropout,0.9323076923076923
batch_strength,dropout,0.9083760683760683
de_prob,dropout,0.958974358974359
de_strength,dropout,0.9637606837606838
out,dropout,0.9487179487179487
local,batch_number,0.6341880341880342
global,batch_number,0.3292307692307692
kmeans,batch_number,0.6758974358974359
louvain,batch_number,0.6827350427350427
spectral,batch_number,0.6574358974358975
runtime_score,batch_number,0.25264957264957266
memory_score,batch_number,0.08786324786324787
cell_number,batch_number,0.9487179487179487
gene_number,batch_number,0.9576068376068376
celltype_number,batch_number,0.8960683760683761
dropout,batch_number,0.9323076923076923
batch_number,batch_number,1.0
batch_strength,batch_number,0.9015384615384615
de_prob,batch_number,0.9569230769230769
de_strength,batch_number,0.9152136752136752
out,batch_number,0.9705982905982906
local,batch_strength,0.775042735042735
global,batch_strength,0.4584615384615385
kmeans,batch_strength,0.7736752136752136
louvain,batch_strength,0.7798290598290598
spectral,batch_strength,0.736068376068376
runtime_score,batch_strength,0.1029059829059829
memory_score,batch_strength,0.05299145299145299
cell_number,batch_strength,0.9001709401709401
gene_number,batch_strength,0.9186324786324787
celltype_number,batch_strength,0.8810256410256411
dropout,batch_strength,0.9083760683760683
batch_number,batch_strength,0.9015384615384615
batch_strength,batch_strength,1.0
de_prob,batch_strength,0.8899145299145299
de_strength,batch_strength,0.9042735042735043
out,batch_strength,0.8960683760683761
local,de_prob,0.6205128205128205
global,de_prob,0.34564102564102567
kmeans,de_prob,0.721025641025641
louvain,de_prob,0.7094017094017094
spectral,de_prob,0.6875213675213675
runtime_score,de_prob,0.27726495726495726
memory_score,de_prob,0.07555555555555556
cell_number,de_prob,0.9767521367521368
gene_number,de_prob,0.9747008547008547
celltype_number,de_prob,0.8974358974358975
dropout,de_prob,0.958974358974359
batch_number,de_prob,0.9569230769230769
batch_strength,de_prob,0.8899145299145299
de_prob,de_prob,1.0
de_strength,de_prob,0.9733333333333334
out,de_prob,0.9644444444444444
local,de_strength,0.6704273504273505
global,de_strength,0.40717948717948715
kmeans,de_strength,0.7524786324786324
louvain,de_strength,0.7422222222222222
spectral,de_strength,0.7333333333333333
runtime_score,de_strength,0.24170940170940172
memory_score,de_strength,0.08717948717948718
cell_number,de_strength,0.9596581196581196
gene_number,de_strength,0.9473504273504274
celltype_number,de_strength,0.8871794871794871
dropout,de_strength,0.9637606837606838
batch_number,de_strength,0.9152136752136752
batch_strength,de_strength,0.9042735042735043
de_prob,de_strength,0.9733333333333334
de_strength,de_strength,1.0
out,de_strength,0.9172649572649573
local,out,0.589059829059829
global,out,0.26427350427350427
kmeans,out,0.6635897435897435
louvain,out,0.6738461538461539
spectral,out,0.6198290598290598
runtime_score,out,0.27316239316239316
memory_score,out,0.005128205128205128
cell_number,out,0.9507692307692308
gene_number,out,0.9788034188034188
celltype_number,out,0.9008547008547009
dropout,out,0.9487179487179487
batch_number,out,0.9705982905982906
batch_strength,out,0.8960683760683761
de_prob,out,0.9644444444444444
de_strength,out,0.9172649572649573
out,out,1.0
