method_raw,method_id,parent_method,perturbation_axis,score,parameter_levels,method_family,method_order
PaCMAP,PaCMAP,PaCMAP,gene_number,0.2527578947368421,5,metric/structure-aware,23.0
PaCMAP,PaCMAP,PaCMAP,out,0.26825263157894735,5,metric/structure-aware,23.0
ParametricUMAP200,Parametric UMAP 200,UMAP,batch_number,0.6668105263157895,5,graph/diffusion,17.2
ParametricUMAP200,Parametric UMAP 200,UMAP,batch_strength,0.6316421052631579,5,graph/diffusion,17.2
ParametricUMAP200,Parametric UMAP 200,UMAP,cell_number,0.6569784461152882,7,graph/diffusion,17.2
ParametricUMAP200,Parametric UMAP 200,UMAP,celltype_number,0.5581052631578948,5,graph/diffusion,17.2
ParametricUMAP200,Parametric UMAP 200,UMAP,de_prob,0.6945157894736842,5,graph/diffusion,17.2
ParametricUMAP200,Parametric UMAP 200,UMAP,de_strength,0.7107157894736842,5,graph/diffusion,17.2
ParametricUMAP200,Parametric UMAP 200,UMAP,dropout,0.6428631578947368,5,graph/diffusion,17.2
ParametricUMAP200,Parametric UMAP 200,UMAP,gene_number,0.6890315789473684,5,graph/diffusion,17.2
ParametricUMAP200,Parametric UMAP 200,UMAP,out,0.7223263157894737,5,graph/diffusion,17.2
ParametricUMAP50,Parametric UMAP 50,UMAP,batch_number,0.6678736842105263,5,graph/diffusion,17.1
ParametricUMAP50,Parametric UMAP 50,UMAP,batch_strength,0.6325368421052631,5,graph/diffusion,17.1
ParametricUMAP50,Parametric UMAP 50,UMAP,cell_number,0.6552771929824562,7,graph/diffusion,17.1
ParametricUMAP50,Parametric UMAP 50,UMAP,celltype_number,0.5481789473684211,5,graph/diffusion,17.1
ParametricUMAP50,Parametric UMAP 50,UMAP,de_prob,0.701978947368421,5,graph/diffusion,17.1
ParametricUMAP50,Parametric UMAP 50,UMAP,de_strength,0.7102526315789474,5,graph/diffusion,17.1
ParametricUMAP50,Parametric UMAP 50,UMAP,dropout,0.6292526315789473,5,graph/diffusion,17.1
ParametricUMAP50,Parametric UMAP 50,UMAP,gene_number,0.687821052631579,5,graph/diffusion,17.1
ParametricUMAP50,Parametric UMAP 50,UMAP,out,0.7116105263157895,5,graph/diffusion,17.1
SAUCIE,SAUCIE,SAUCIE,batch_number,0.23483157894736842,5,deep generative/autoencoder,11.0
SAUCIE,SAUCIE,SAUCIE,batch_strength,0.33547368421052626,5,deep generative/autoencoder,11.0
SAUCIE,SAUCIE,SAUCIE,cell_number,0.23974586466165412,7,deep generative/autoencoder,11.0
SAUCIE,SAUCIE,SAUCIE,celltype_number,0.18322105263157892,5,deep generative/autoencoder,11.0
SAUCIE,SAUCIE,SAUCIE,de_prob,0.23976842105263158,5,deep generative/autoencoder,11.0
SAUCIE,SAUCIE,SAUCIE,de_strength,0.25179999999999997,5,deep generative/autoencoder,11.0
SAUCIE,SAUCIE,SAUCIE,dropout,0.23470526315789475,5,deep generative/autoencoder,11.0
SAUCIE,SAUCIE,SAUCIE,gene_number,0.23616842105263153,5,deep generative/autoencoder,11.0
SAUCIE,SAUCIE,SAUCIE,out,0.24548421052631575,5,deep generative/autoencoder,11.0
SCDRHA,SCDRHA,SCDRHA,batch_number,0.5250842105263158,5,deep generative/autoencoder,13.0
SCDRHA,SCDRHA,SCDRHA,batch_strength,0.5257263157894736,5,deep generative/autoencoder,13.0
SCDRHA,SCDRHA,SCDRHA,cell_number,0.42902631578947364,6,deep generative/autoencoder,13.0
SCDRHA,SCDRHA,SCDRHA,celltype_number,0.4208631578947369,5,deep generative/autoencoder,13.0
SCDRHA,SCDRHA,SCDRHA,de_prob,0.564557894736842,5,deep generative/autoencoder,13.0
