method_id,family_short,dataset_id,perturbation_axis,score
tGPLVM,linear,cell_5k,cell_number,0.6438947368421054
DRA,deep,cell_1w,cell_number,0.2147894736842105
DREAM,deep,cell_1w,cell_number,0.4973684210526316
EDGE,graph,cell_1w,cell_number,0.6618421052631579
GLMPCA,linear,cell_1w,cell_number,0.4969473684210527
PCA,linear,cell_1w,cell_number,0.6540526315789473
PHATE,graph,cell_1w,cell_number,0.6920526315789474
PaCMAP,metric,cell_1w,cell_number,0.2682105263157894
SAUCIE,deep,cell_1w,cell_number,0.2155789473684211
SCDRHA,deep,cell_1w,cell_number,0.4137368421052631
SPDR,graph,cell_1w,cell_number,0.7232631578947369
SQuaD-MDS,metric,cell_1w,cell_number,0.4811578947368422
SSNMDI,linear,cell_1w,cell_number,0.2258421052631578
t-SNE,metric,cell_1w,cell_number,0.663
TriMap,metric,cell_1w,cell_number,0.6925263157894737
UMAP,graph,cell_1w,cell_number,0.702421052631579
VAE,deep,cell_1w,cell_number,0.6568947368421053
ZIFA,linear,cell_1w,cell_number,0.6512631578947369
IVIS,metric,cell_1w,cell_number,0.7039473684210528
pCMF,linear,cell_1w,cell_number,0.2067368421052631
scGAE,deep,cell_1w,cell_number,0.2346315789473684
scGBM,linear,cell_1w,cell_number,0.6464736842105263
scScope,deep,cell_1w,cell_number,0.6419473684210526
scvis,deep,cell_1w,cell_number,0.2724210526315789
tGPLVM,linear,cell_1w,cell_number,0.6926842105263157
DRA,deep,cell_2w,cell_number,0.2338421052631579
DREAM,deep,cell_2w,cell_number,0.5592631578947368
EDGE,graph,cell_2w,cell_number,0.6857894736842106
GLMPCA,linear,cell_2w,cell_number,0.5926315789473684
PCA,linear,cell_2w,cell_number,0.6245263157894737
PHATE,graph,cell_2w,cell_number,0.7107368421052631
PaCMAP,metric,cell_2w,cell_number,0.2583157894736841
SAUCIE,deep,cell_2w,cell_number,0.2321052631578947
SCDRHA,deep,cell_2w,cell_number,0.3880526315789473
SPDR,graph,cell_2w,cell_number,0.6274210526315791
SQuaD-MDS,metric,cell_2w,cell_number,0.4682105263157894
SSNMDI,linear,cell_2w,cell_number,0.1981578947368421
t-SNE,metric,cell_2w,cell_number,0.6650526315789475
TriMap,metric,cell_2w,cell_number,0.7093684210526315
UMAP,graph,cell_2w,cell_number,0.6891578947368421
VAE,deep,cell_2w,cell_number,0.6618947368421051
ZIFA,linear,cell_2w,cell_number,0.6217894736842107
IVIS,metric,cell_2w,cell_number,0.6885263157894738
pCMF,linear,cell_2w,cell_number,0.2022105263157895
scGAE,deep,cell_2w,cell_number,0.2352105263157894
scGBM,linear,cell_2w,cell_number,0.623421052631579
scScope,deep,cell_2w,cell_number,0.6060526315789473
scvis,deep,cell_2w,cell_number,0.2277894736842105
tGPLVM,linear,cell_2w,cell_number,0.6440526315789475
DRA,deep,cell_3w,cell_number,0.2616315789473684
DREAM,deep,cell_3w,cell_number,0.5194
EDGE,graph,cell_3w,cell_number,0.6686666666666665
GLMPCA,linear,cell_3w,cell_number,0.6605333333333333
PCA,linear,cell_3w,cell_number,0.6933333333333332
PHATE,graph,cell_3w,cell_number,0.6795333333333333
PaCMAP,metric,cell_3w,cell_number,0.2300666666666666
SAUCIE,deep,cell_3w,cell_number,0.2098
SPDR,graph,cell_3w,cell_number,0.7004666666666668
SQuaD-MDS,metric,cell_3w,cell_number,0.4656
SSNMDI,linear,cell_3w,cell_number,0.1746666666666666
t-SNE,metric,cell_3w,cell_number,0.6716666666666666
TriMap,metric,cell_3w,cell_number,0.7180666666666667
UMAP,graph,cell_3w,cell_number,0.7060666666666667
VAE,deep,cell_3w,cell_number,0.6069333333333334
ZIFA,linear,cell_3w,cell_number,0.6790526315789475
IVIS,metric,cell_3w,cell_number,0.6902666666666666
pCMF,linear,cell_3w,cell_number,0.1619999999999999
scGAE,deep,cell_3w,cell_number,0.2057333333333333
scGBM,linear,cell_3w,cell_number,0.6502666666666667
scScope,deep,cell_3w,cell_number,0.5606666666666666
scvis,deep,cell_3w,cell_number,0.3131333333333333
tGPLVM,linear,cell_3w,cell_number,0.6668666666666667
DRA,deep,gene_5k,gene_number,0.2504210526315789
DREAM,deep,gene_5k,gene_number,0.2440526315789473
EDGE,graph,gene_5k,gene_number,0.565
GLMPCA,linear,gene_5k,gene_number,0.632842105263158
PCA,linear,gene_5k,gene_number,0.6158947368421054
PHATE,graph,gene_5k,gene_number,0.6886315789473684
PaCMAP,metric,gene_5k,gene_number,0.2538421052631579
SAUCIE,deep,gene_5k,gene_number,0.2437368421052631
SCDRHA,deep,gene_5k,gene_number,0.4804210526315788
SIMLR,graph,gene_5k,gene_number,0.6273157894736842
SPDR,graph,gene_5k,gene_number,0.6366315789473685
SQuaD-MDS,metric,gene_5k,gene_number,0.4559473684210525
SSNMDI,linear,gene_5k,gene_number,0.2174210526315789
t-SNE,metric,gene_5k,gene_number,0.6413684210526317
TriMap,metric,gene_5k,gene_number,0.7179473684210527
UMAP,graph,gene_5k,gene_number,0.6656315789473686
VAE,deep,gene_5k,gene_number,0.665842105263158
ZIFA,linear,gene_5k,gene_number,0.5980000000000001
IVIS,metric,gene_5k,gene_number,0.2818421052631579
pCMF,linear,gene_5k,gene_number,0.2137368421052631
scGAE,deep,gene_5k,gene_number,0.2661578947368421
scGBM,linear,gene_5k,gene_number,0.6021052631578947
scScope,deep,gene_5k,gene_number,0.2108947368421052
scvis,deep,gene_5k,gene_number,0.2648947368421052
tGPLVM,linear,gene_5k,gene_number,0.2549473684210526
DRA,deep,gene_2w,gene_number,0.2254736842105263
DREAM,deep,gene_2w,gene_number,0.3712105263157895
EDGE,graph,gene_2w,gene_number,0.621842105263158
GLMPCA,linear,gene_2w,gene_number,0.5972631578947368
PCA,linear,gene_2w,gene_number,0.6607368421052632
PHATE,graph,gene_2w,gene_number,0.7033684210526315
PaCMAP,metric,gene_2w,gene_number,0.232578947368421
SAUCIE,deep,gene_2w,gene_number,0.2199999999999999
SCDRHA,deep,gene_2w,gene_number,0.5110526315789473
SIMLR,graph,gene_2w,gene_number,0.7128421052631579
SPDR,graph,gene_2w,gene_number,0.6467368421052632
SQuaD-MDS,metric,gene_2w,gene_number,0.4773684210526316
SSNMDI,linear,gene_2w,gene_number,0.2345263157894736
t-SNE,metric,gene_2w,gene_number,0.69
TriMap,metric,gene_2w,gene_number,0.7099473684210525
UMAP,graph,gene_2w,gene_number,0.6751578947368422
VAE,deep,gene_2w,gene_number,0.6524736842105264
ZIFA,linear,gene_2w,gene_number,0.6611052631578949
IVIS,metric,gene_2w,gene_number,0.5453684210526317
pCMF,linear,gene_2w,gene_number,0.2044736842105263
scGAE,deep,gene_2w,gene_number,0.3407894736842105
scGBM,linear,gene_2w,gene_number,0.6101052631578948
scScope,deep,gene_2w,gene_number,0.3575263157894737
scvis,deep,gene_2w,gene_number,0.301578947368421
tGPLVM,linear,gene_2w,gene_number,0.7022105263157895
DRA,deep,gene_3w,gene_number,0.2546315789473684
DREAM,deep,gene_3w,gene_number,0.4188947368421052
EDGE,graph,gene_3w,gene_number,0.6494736842105262
GLMPCA,linear,gene_3w,gene_number,0.6592631578947368
PCA,linear,gene_3w,gene_number,0.6675263157894737
PHATE,graph,gene_3w,gene_number,0.7103157894736845
PaCMAP,metric,gene_3w,gene_number,0.2466842105263157
SAUCIE,deep,gene_3w,gene_number,0.2634210526315789
SCDRHA,deep,gene_3w,gene_number,0.5326315789473685
SIMLR,graph,gene_3w,gene_number,0.7136315789473685
SPDR,graph,gene_3w,gene_number,0.7304210526315791
SQuaD-MDS,metric,gene_3w,gene_number,0.4995789473684211
SSNMDI,linear,gene_3w,gene_number,0.2381578947368421
t-SNE,metric,gene_3w,gene_number,0.6778421052631579
TriMap,metric,gene_3w,gene_number,0.7429473684210526
UMAP,graph,gene_3w,gene_number,0.7051052631578948
VAE,deep,gene_3w,gene_number,0.6905789473684212
ZIFA,linear,gene_3w,gene_number,0.6655263157894736
IVIS,metric,gene_3w,gene_number,0.6430000000000001
pCMF,linear,gene_3w,gene_number,0.2014210526315789
scGAE,deep,gene_3w,gene_number,0.3786842105263158
scGBM,linear,gene_3w,gene_number,0.6505263157894735
scScope,deep,gene_3w,gene_number,0.5160526315789474
scvis,deep,gene_3w,gene_number,0.2435789473684209
tGPLVM,linear,gene_3w,gene_number,0.7347894736842107
DRA,deep,gene_4w,gene_number,0.2486315789473684
DREAM,deep,gene_4w,gene_number,0.4074736842105262
EDGE,graph,gene_4w,gene_number,0.6512105263157894
GLMPCA,linear,gene_4w,gene_number,0.6459999999999999
PCA,linear,gene_4w,gene_number,0.5841052631578949
PHATE,graph,gene_4w,gene_number,0.6960526315789474
PaCMAP,metric,gene_4w,gene_number,0.2505789473684211
SAUCIE,deep,gene_4w,gene_number,0.2187894736842104
SCDRHA,deep,gene_4w,gene_number,0.6843684210526316
SIMLR,graph,gene_4w,gene_number,0.6957894736842105
SPDR,graph,gene_4w,gene_number,0.7172105263157895
SQuaD-MDS,metric,gene_4w,gene_number,0.4447368421052632
SSNMDI,linear,gene_4w,gene_number,0.250578947368421
t-SNE,metric,gene_4w,gene_number,0.6443684210526316
TriMap,metric,gene_4w,gene_number,0.7157368421052631
UMAP,graph,gene_4w,gene_number,0.6648421052631579
VAE,deep,gene_4w,gene_number,0.6516315789473683
ZIFA,linear,gene_4w,gene_number,0.5748421052631578
IVIS,metric,gene_4w,gene_number,0.6686315789473686
pCMF,linear,gene_4w,gene_number,0.2176842105263157
scGAE,deep,gene_4w,gene_number,0.479
scGBM,linear,gene_4w,gene_number,0.5604736842105263
scScope,deep,gene_4w,gene_number,0.4762631578947369
scvis,deep,gene_4w,gene_number,0.270578947368421
tGPLVM,linear,gene_4w,gene_number,0.7102631578947369
DRA,deep,gene_5w,gene_number,0.2579473684210526
DREAM,deep,gene_5w,gene_number,0.4003684210526316
EDGE,graph,gene_5w,gene_number,0.6486315789473686
GLMPCA,linear,gene_5w,gene_number,0.5407368421052632
PCA,linear,gene_5w,gene_number,0.6841052631578949
PHATE,graph,gene_5w,gene_number,0.7213157894736844
PaCMAP,metric,gene_5w,gene_number,0.2801052631578947
SAUCIE,deep,gene_5w,gene_number,0.2348947368421052
SCDRHA,deep,gene_5w,gene_number,0.5008947368421053
SIMLR,graph,gene_5w,gene_number,0.699
SPDR,graph,gene_5w,gene_number,0.663578947368421
SQuaD-MDS,metric,gene_5w,gene_number,0.5015789473684211
SSNMDI,linear,gene_5w,gene_number,0.2488947368421052
t-SNE,metric,gene_5w,gene_number,0.6689473684210526
TriMap,metric,gene_5w,gene_number,0.7141578947368421
UMAP,graph,gene_5w,gene_number,0.7031578947368421
VAE,deep,gene_5w,gene_number,0.6522631578947368
ZIFA,linear,gene_5w,gene_number,0.6702631578947369
IVIS,metric,gene_5w,gene_number,0.6477894736842105
pCMF,linear,gene_5w,gene_number,0.2576842105263158
scGAE,deep,gene_5w,gene_number,0.3459473684210526
scGBM,linear,gene_5w,gene_number,0.6296842105263158
scScope,deep,gene_5w,gene_number,0.5668947368421053
scvis,deep,gene_5w,gene_number,0.2948421052631578
tGPLVM,linear,gene_5w,gene_number,0.6867894736842105
DRA,deep,celltype_7,celltype_number,0.2396842105263158
DREAM,deep,celltype_7,celltype_number,0.2129473684210526
EDGE,graph,celltype_7,celltype_number,0.4758421052631578
GLMPCA,linear,celltype_7,celltype_number,0.507842105263158
PCA,linear,celltype_7,celltype_number,0.5519473684210525
PHATE,graph,celltype_7,celltype_number,0.6737894736842106
PaCMAP,metric,celltype_7,celltype_number,0.2661578947368421
SAUCIE,deep,celltype_7,celltype_number,0.208578947368421
SCDRHA,deep,celltype_7,celltype_number,0.5082631578947369
SIMLR,graph,celltype_7,celltype_number,0.6643157894736841
SPDR,graph,celltype_7,celltype_number,0.6579473684210526
SQuaD-MDS,metric,celltype_7,celltype_number,0.4376315789473683
SSNMDI,linear,celltype_7,celltype_number,0.2500526315789473
t-SNE,metric,celltype_7,celltype_number,0.6571052631578947
TriMap,metric,celltype_7,celltype_number,0.6866315789473685
UMAP,graph,celltype_7,celltype_number,0.6168947368421054
VAE,deep,celltype_7,celltype_number,0.6343684210526316
ZIFA,linear,celltype_7,celltype_number,0.4574736842105263
IVIS,metric,celltype_7,celltype_number,0.2255263157894736
pCMF,linear,celltype_7,celltype_number,0.2063157894736841
scGAE,deep,celltype_7,celltype_number,0.2096315789473683
scGBM,linear,celltype_7,celltype_number,0.5363157894736843
scScope,deep,celltype_7,celltype_number,0.2193157894736841
scvis,deep,celltype_7,celltype_number,0.2173684210526315
tGPLVM,linear,celltype_7,celltype_number,0.2228421052631578
DRA,deep,celltype_9,celltype_number,0.200578947368421
DREAM,deep,celltype_9,celltype_number,0.2023684210526315
EDGE,graph,celltype_9,celltype_number,0.4593157894736842
GLMPCA,linear,celltype_9,celltype_number,0.4721052631578947
PCA,linear,celltype_9,celltype_number,0.4440526315789473
PHATE,graph,celltype_9,celltype_number,0.6612631578947369
PaCMAP,metric,celltype_9,celltype_number,0.2141578947368421
SAUCIE,deep,celltype_9,celltype_number,0.1892105263157894
SCDRHA,deep,celltype_9,celltype_number,0.4414736842105263
SIMLR,graph,celltype_9,celltype_number,0.6253684210526316
SPDR,graph,celltype_9,celltype_number,0.6362105263157896
SQuaD-MDS,metric,celltype_9,celltype_number,0.4116842105263157
SSNMDI,linear,celltype_9,celltype_number,0.2039473684210526
t-SNE,metric,celltype_9,celltype_number,0.6133684210526316
TriMap,metric,celltype_9,celltype_number,0.68
UMAP,graph,celltype_9,celltype_number,0.5934210526315788
VAE,deep,celltype_9,celltype_number,0.6308421052631579
ZIFA,linear,celltype_9,celltype_number,0.423421052631579
IVIS,metric,celltype_9,celltype_number,0.2554736842105263
pCMF,linear,celltype_9,celltype_number,0.1558421052631578
scGAE,deep,celltype_9,celltype_number,0.1781578947368421
scGBM,linear,celltype_9,celltype_number,0.4460526315789473
scScope,deep,celltype_9,celltype_number,0.1889999999999999
scvis,deep,celltype_9,celltype_number,0.2046315789473683
tGPLVM,linear,celltype_9,celltype_number,0.2116315789473683
DRA,deep,celltype_11,celltype_number,0.2080526315789473
DREAM,deep,celltype_11,celltype_number,0.1922105263157894
EDGE,graph,celltype_11,celltype_number,0.3145263157894737
GLMPCA,linear,celltype_11,celltype_number,0.4197894736842105
PCA,linear,celltype_11,celltype_number,0.4443157894736843
PHATE,graph,celltype_11,celltype_number,0.6305263157894737
PaCMAP,metric,celltype_11,celltype_number,0.2202631578947368
SAUCIE,deep,celltype_11,celltype_number,0.1802105263157894
SCDRHA,deep,celltype_11,celltype_number,0.4217368421052631
SIMLR,graph,celltype_11,celltype_number,0.626842105263158
SPDR,graph,celltype_11,celltype_number,0.6139473684210527
SQuaD-MDS,metric,celltype_11,celltype_number,0.3875263157894736
SSNMDI,linear,celltype_11,celltype_number,0.1997368421052631
t-SNE,metric,celltype_11,celltype_number,0.634578947368421
TriMap,metric,celltype_11,celltype_number,0.6570526315789472
UMAP,graph,celltype_11,celltype_number,0.5083157894736843
VAE,deep,celltype_11,celltype_number,0.6097894736842103
ZIFA,linear,celltype_11,celltype_number,0.4103157894736842
IVIS,metric,celltype_11,celltype_number,0.2488421052631579
pCMF,linear,celltype_11,celltype_number,0.1805263157894736
scGAE,deep,celltype_11,celltype_number,0.1801052631578946
