dataset_id,method_raw,metric,metric_value,component_domain,perturbation_axis,axis_order,method_id,parent_method,parameter_label,method_family,method_order
cell_100,EDGE,Pearson,0.24,global,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,nh_30,0.276,local,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,ARI,0.05,cluster,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,NMI,0.14,cluster,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,SIL,0.32,cluster,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,COMP,0.14,cluster,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,HOMO,0.14,cluster,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,GLMPCA,knn_30,0.73,local,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,svm,0.74,local,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,nkr_30,0.447,local,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,aji_30,0.281,local,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,random_triplet,0.69,global,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,spearman,0.475,global,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,k-nearest,0.0,global,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,centroid_distance,0.085,global,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,T_30,0.705,local,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,C_30,0.762,local,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,Mrre_false_30,0.618,local,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,Mrre_missing_30,0.693,local,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,Pearson,0.41,global,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,nh_30,0.474,local,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,ARI,0.45,cluster,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,NMI,0.55,cluster,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,SIL,0.38,cluster,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,COMP,0.56,cluster,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,GLMPCA,HOMO,0.55,cluster,cell_number,1,GLMPCA,GLMPCA,100,linear/probabilistic,2.0
cell_100,PCA,knn_30,0.87,local,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,svm,0.88,local,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,nkr_30,0.403,local,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,aji_30,0.247,local,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,random_triplet,0.648,global,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,spearman,0.334,global,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,k-nearest,0.0,global,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,centroid_distance,0.047,global,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,T_30,0.662,local,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,C_30,0.734,local,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,Mrre_false_30,0.609,local,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,Mrre_missing_30,0.665,local,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,Pearson,0.319,global,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,nh_30,0.662,local,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,ARI,0.81,cluster,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,NMI,0.89,cluster,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,SIL,0.61,cluster,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,COMP,0.91,cluster,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PCA,HOMO,0.87,cluster,cell_number,1,PCA,PCA,100,linear/probabilistic,1.0
cell_100,PHATE,knn_30,0.65,local,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,svm,0.75,local,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,nkr_30,0.397,local,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
cell_100,PHATE,aji_30,0.239,local,cell_number,1,PHATE,PHATE,100,graph/diffusion,19.0
