family_short,Local,Global,Cluster
linear,0.597,0.4264,0.642
deep,0.3345,0.3332,0.13599999999999995
graph,0.6672222222222222,0.4669999999999999,0.949
metric,0.5693333333333332,0.4503999999999999,0.4679999999999999
