family_short,cell_number,gene_number,celltype_number,batch_number,batch_strength,dropout,de_prob,de_strength,out
linear,0.6043157894736841,0.6021052631578947,0.361578947368421,0.5864736842105263,0.4923684210526316,0.5744210526315789,0.6556842105263158,0.7237894736842104,0.6612631578947369
deep,0.28210526315789475,0.301578947368421,0.2096315789473683,0.2772631578947369,0.4095333333333333,0.2753157894736842,0.2901052631578947,0.3283684210526315,0.2584210526315789
graph,0.6652543859649123,0.6886315789473684,0.5934210526315788,0.6694736842105263,0.6203157894736842,0.6569473684210527,0.725421052631579,0.7647368421052633,0.6932105263157894
metric,0.5228947368421054,0.6413684210526317,0.3875263157894736,0.5093684210526316,0.4651052631578948,0.4911052631578948,0.6323684210526317,0.7136842105263157,0.5177368421052633
