method_raw,dataset_id,score,local_score,global_score,cluster_score,n_score_metrics,complete_score_inputs,source_layer,method_id,parent_method,perturbation_axis,perturbation_axis_label,axis_order,parameter_label,method_family,method_order,param_group,param_value,cells,genes,sparsity_pct,n_batches,n_groups,size_mb,score_available
ivis,cell_100,0.3135789473684211,0.3983333333333334,0.34459999999999996,0.12999999999999998,19,True,standard_metric_files,IVIS,IVIS,cell_number,cell number,1,100,metric/structure-aware,22.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
pCMF,cell_100,0.20721052631578948,0.3644444444444444,0.2714,-0.13999999999999999,19,True,standard_metric_files,pCMF,pCMF,cell_number,cell number,1,100,linear/probabilistic,3.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
scGAE,cell_100,0.28621052631578947,0.3551111111111111,0.31439999999999996,0.13399999999999998,19,True,standard_metric_files,scGAE,scGAE,cell_number,cell number,1,100,deep generative/autoencoder,14.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
scGBM,cell_100,0.4954736842105264,0.5898888888888889,0.351,0.47000000000000003,19,True,standard_metric_files,scGBM,scGBM,cell_number,cell number,1,100,linear/probabilistic,5.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
scScope,cell_100,0.32152631578947366,0.3751111111111112,0.42460000000000003,0.12199999999999997,19,True,standard_metric_files,scScope,scScope,cell_number,cell number,1,100,deep generative/autoencoder,12.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
scvis,cell_100,0.36478947368421055,0.3948888888888889,0.4934,0.18200000000000002,19,True,standard_metric_files,scvis,scvis,cell_number,cell number,1,100,deep generative/autoencoder,9.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
tGPLVM,cell_100,0.25963157894736844,0.36744444444444446,0.2072,0.11800000000000002,19,True,standard_metric_files,tGPLVM,tGPLVM,cell_number,cell number,1,100,linear/probabilistic,7.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
DRA,cell_500,0.24089473684210527,0.32511111111111113,0.2582,0.07200000000000001,19,True,standard_metric_files,DRA,DRA,cell_number,cell number,2,500,deep generative/autoencoder,16.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
DREAM,cell_500,0.2999473684210527,0.37444444444444447,0.3378,0.128,19,True,standard_metric_files,DREAM,DREAM,cell_number,cell number,2,500,deep generative/autoencoder,15.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
EDGE,cell_500,0.499421052631579,0.5489999999999999,0.44559999999999994,0.4640000000000001,19,True,standard_metric_files,EDGE,EDGE,cell_number,cell number,2,500,graph/diffusion,20.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
GLMPCA,cell_500,0.609157894736842,0.6311111111111111,0.48279999999999995,0.6960000000000001,19,True,standard_metric_files,GLMPCA,GLMPCA,cell_number,cell number,2,500,linear/probabilistic,2.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
PCA,cell_500,0.6597894736842104,0.6573333333333333,0.44600000000000006,0.8780000000000001,19,True,standard_metric_files,PCA,PCA,cell_number,cell number,2,500,linear/probabilistic,1.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
PHATE,cell_500,0.7003157894736841,0.6852222222222222,0.4798,0.9480000000000001,19,True,standard_metric_files,PHATE,PHATE,cell_number,cell number,2,500,graph/diffusion,19.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
PaCMAP,cell_500,0.2566315789473684,0.3177777777777778,0.2192,0.184,19,True,standard_metric_files,PaCMAP,PaCMAP,cell_number,cell number,2,500,metric/structure-aware,23.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
ParametricUMAP200,cell_500,0.6517894736842105,0.6655555555555556,0.38680000000000003,0.892,19,True,standard_metric_files,Parametric UMAP 200,UMAP,cell_number,cell number,2,500,graph/diffusion,17.2,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
ParametricUMAP50,cell_500,0.6663157894736843,0.6654444444444445,0.4242,0.9099999999999999,19,True,standard_metric_files,Parametric UMAP 50,UMAP,cell_number,cell number,2,500,graph/diffusion,17.1,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
SAUCIE,cell_500,0.25942105263157894,0.30444444444444446,0.3438,0.094,19,True,standard_metric_files,SAUCIE,SAUCIE,cell_number,cell number,2,500,deep generative/autoencoder,11.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
SCDRHA,cell_500,0.5377894736842105,0.6153333333333334,0.29200000000000004,0.6439999999999999,19,True,standard_metric_files,SCDRHA,SCDRHA,cell_number,cell number,2,500,deep generative/autoencoder,13.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
SIMLR,cell_500,0.639736842105263,0.6667777777777777,0.24080000000000004,0.99,19,True,standard_metric_files,SIMLR,SIMLR,cell_number,cell number,2,500,graph/diffusion,18.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
SPDR,cell_500,0.7303157894736841,0.7195555555555556,0.506,0.974,19,True,standard_metric_files,SPDR,SPDR,cell_number,cell number,2,500,graph/diffusion,21.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
SQuaD_MDS,cell_500,0.48184210526315796,0.519,0.5768,0.32000000000000006,19,True,standard_metric_files,SQuaD-MDS,SQuaD-MDS,cell_number,cell number,2,500,metric/structure-aware,26.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
SQuaD_MDS_hybrid,cell_500,0.48252631578947364,0.5722222222222223,0.4476,0.356,19,True,standard_metric_files,SQuaD-MDS hybrid,SQuaD-MDS,cell_number,cell number,2,500,metric/structure-aware,25.1,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
SSNMDI,cell_500,0.26021052631578945,0.32722222222222225,0.2258,0.174,19,True,standard_metric_files,SSNMDI,SSNMDI,cell_number,cell number,2,500,linear/probabilistic,6.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
TSNE,cell_500,0.7186842105263157,0.7076666666666667,0.5012,0.9560000000000001,19,True,standard_metric_files,t-SNE,t-SNE,cell_number,cell number,2,500,metric/structure-aware,24.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
TriMap,cell_500,0.7268947368421054,0.7146666666666667,0.5118,0.9640000000000001,19,True,standard_metric_files,TriMap,TriMap,cell_number,cell number,2,500,metric/structure-aware,25.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
UMAP,cell_500,0.6534736842105264,0.6573333333333333,0.4840000000000001,0.8160000000000001,19,True,standard_metric_files,UMAP,UMAP,cell_number,cell number,2,500,graph/diffusion,17.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
VAE,cell_500,0.6636842105263159,0.6653333333333333,0.4944,0.8300000000000001,19,True,standard_metric_files,VAE,VAE,cell_number,cell number,2,500,deep generative/autoencoder,8.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
ZIFA,cell_500,0.6587894736842105,0.6575555555555557,0.43979999999999997,0.8800000000000001,19,True,standard_metric_files,ZIFA,ZIFA,cell_number,cell number,2,500,linear/probabilistic,4.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
ivis,cell_500,0.289578947368421,0.365,0.3074,0.13599999999999998,19,True,standard_metric_files,IVIS,IVIS,cell_number,cell number,2,500,metric/structure-aware,22.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
pCMF,cell_500,0.1918421052631579,0.3095555555555556,0.18380000000000002,-0.012000000000000002,19,True,standard_metric_files,pCMF,pCMF,cell_number,cell number,2,500,linear/probabilistic,3.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
scGAE,cell_500,0.2713157894736842,0.3327777777777778,0.32599999999999996,0.10600000000000001,19,True,standard_metric_files,scGAE,scGAE,cell_number,cell number,2,500,deep generative/autoencoder,14.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
scGBM,cell_500,0.6042105263157895,0.6184444444444444,0.46880000000000005,0.7140000000000001,19,True,standard_metric_files,scGBM,scGBM,cell_number,cell number,2,500,linear/probabilistic,5.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
scScope,cell_500,0.22094736842105261,0.31522222222222224,0.19219999999999998,0.08,19,True,standard_metric_files,scScope,scScope,cell_number,cell number,2,500,deep generative/autoencoder,12.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
scvis,cell_500,0.28942105263157886,0.2962222222222222,0.3966,0.17,19,True,standard_metric_files,scvis,scvis,cell_number,cell number,2,500,deep generative/autoencoder,9.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
tGPLVM,cell_500,0.6198421052631579,0.637888888888889,0.38520000000000004,0.8219999999999998,19,True,standard_metric_files,tGPLVM,tGPLVM,cell_number,cell number,2,500,linear/probabilistic,7.0,cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,True
DRA,cell_1k,0.2121578947368421,0.315,0.1732,0.066,19,True,standard_metric_files,DRA,DRA,cell_number,cell number,3,1k,deep generative/autoencoder,16.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
DREAM,cell_1k,0.3123684210526316,0.37400000000000005,0.3758,0.13799999999999998,19,True,standard_metric_files,DREAM,DREAM,cell_number,cell number,3,1k,deep generative/autoencoder,15.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
EDGE,cell_1k,0.5666315789473685,0.6044444444444443,0.4032,0.6619999999999999,19,True,standard_metric_files,EDGE,EDGE,cell_number,cell number,3,1k,graph/diffusion,20.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
GLMPCA,cell_1k,0.5874210526315788,0.5998888888888889,0.4444,0.708,19,True,standard_metric_files,GLMPCA,GLMPCA,cell_number,cell number,3,1k,linear/probabilistic,2.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
PCA,cell_1k,0.6176842105263157,0.6187777777777778,0.4314,0.8019999999999999,19,True,standard_metric_files,PCA,PCA,cell_number,cell number,3,1k,linear/probabilistic,1.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
PHATE,cell_1k,0.6823684210526316,0.657,0.47240000000000004,0.938,19,True,standard_metric_files,PHATE,PHATE,cell_number,cell number,3,1k,graph/diffusion,19.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
PaCMAP,cell_1k,0.2918947368421053,0.3158888888888889,0.35259999999999997,0.188,19,True,standard_metric_files,PaCMAP,PaCMAP,cell_number,cell number,3,1k,metric/structure-aware,23.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
ParametricUMAP200,cell_1k,0.6569473684210528,0.6548888888888889,0.4056,0.9119999999999999,19,True,standard_metric_files,Parametric UMAP 200,UMAP,cell_number,cell number,3,1k,graph/diffusion,17.2,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
ParametricUMAP50,cell_1k,0.6386842105263156,0.6518888888888889,0.3476,0.906,19,True,standard_metric_files,Parametric UMAP 50,UMAP,cell_number,cell number,3,1k,graph/diffusion,17.1,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
SAUCIE,cell_1k,0.23336842105263153,0.28,0.3028,0.08,19,True,standard_metric_files,SAUCIE,SAUCIE,cell_number,cell number,3,1k,deep generative/autoencoder,11.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
SCDRHA,cell_1k,0.544,0.6203333333333334,0.32460000000000006,0.6260000000000001,19,True,standard_metric_files,SCDRHA,SCDRHA,cell_number,cell number,3,1k,deep generative/autoencoder,13.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
SIMLR,cell_1k,0.693578947368421,0.6512222222222221,0.47940000000000005,0.984,19,True,standard_metric_files,SIMLR,SIMLR,cell_number,cell number,3,1k,graph/diffusion,18.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
SPDR,cell_1k,0.7038421052631579,0.686,0.4637999999999999,0.976,19,True,standard_metric_files,SPDR,SPDR,cell_number,cell number,3,1k,graph/diffusion,21.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
SQuaD_MDS,cell_1k,0.46399999999999997,0.5070000000000001,0.5586,0.29200000000000004,19,True,standard_metric_files,SQuaD-MDS,SQuaD-MDS,cell_number,cell number,3,1k,metric/structure-aware,26.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
SQuaD_MDS_hybrid,cell_1k,0.6227368421052631,0.6373333333333333,0.4951999999999999,0.724,19,True,standard_metric_files,SQuaD-MDS hybrid,SQuaD-MDS,cell_number,cell number,3,1k,metric/structure-aware,25.1,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
SSNMDI,cell_1k,0.24547368421052634,0.3147777777777778,0.23020000000000002,0.136,19,True,standard_metric_files,SSNMDI,SSNMDI,cell_number,cell number,3,1k,linear/probabilistic,6.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
TSNE,cell_1k,0.7002631578947368,0.6795555555555555,0.46979999999999994,0.968,19,True,standard_metric_files,t-SNE,t-SNE,cell_number,cell number,3,1k,metric/structure-aware,24.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
TriMap,cell_1k,0.7086315789473684,0.6853333333333333,0.48719999999999997,0.9719999999999999,19,True,standard_metric_files,TriMap,TriMap,cell_number,cell number,3,1k,metric/structure-aware,25.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
UMAP,cell_1k,0.6234210526315789,0.649888888888889,0.32320000000000004,0.876,19,True,standard_metric_files,UMAP,UMAP,cell_number,cell number,3,1k,graph/diffusion,17.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
VAE,cell_1k,0.6567368421052631,0.6589999999999999,0.4633999999999999,0.8460000000000001,19,True,standard_metric_files,VAE,VAE,cell_number,cell number,3,1k,deep generative/autoencoder,8.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
ZIFA,cell_1k,0.608578947368421,0.6115555555555555,0.4297999999999999,0.7819999999999999,19,True,standard_metric_files,ZIFA,ZIFA,cell_number,cell number,3,1k,linear/probabilistic,4.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
ivis,cell_1k,0.3027368421052632,0.3763333333333334,0.3450000000000001,0.128,19,True,standard_metric_files,IVIS,IVIS,cell_number,cell number,3,1k,metric/structure-aware,22.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
pCMF,cell_1k,0.2557368421052631,0.3116666666666667,0.33280000000000004,0.078,19,True,standard_metric_files,pCMF,pCMF,cell_number,cell number,3,1k,linear/probabilistic,3.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
scGAE,cell_1k,0.26421052631578945,0.32388888888888895,0.309,0.11200000000000002,19,True,standard_metric_files,scGAE,scGAE,cell_number,cell number,3,1k,deep generative/autoencoder,14.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
scGBM,cell_1k,0.6139473684210527,0.6217777777777778,0.4418,0.772,19,True,standard_metric_files,scGBM,scGBM,cell_number,cell number,3,1k,linear/probabilistic,5.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
scScope,cell_1k,0.23905263157894735,0.32433333333333336,0.24860000000000002,0.076,19,True,standard_metric_files,scScope,scScope,cell_number,cell number,3,1k,deep generative/autoencoder,12.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
scvis,cell_1k,0.21231578947368415,0.25933333333333336,0.23199999999999998,0.10800000000000001,19,True,standard_metric_files,scvis,scvis,cell_number,cell number,3,1k,deep generative/autoencoder,9.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
tGPLVM,cell_1k,0.5523684210526315,0.5525555555555555,0.46240000000000003,0.642,19,True,standard_metric_files,tGPLVM,tGPLVM,cell_number,cell number,3,1k,linear/probabilistic,7.0,cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,True
DRA,cell_5k,0.20815789473684213,0.3061111111111111,0.174,0.066,19,True,standard_metric_files,DRA,DRA,cell_number,cell number,4,5k,deep generative/autoencoder,16.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
DREAM,cell_5k,0.30531578947368415,0.3337777777777778,0.47539999999999993,0.084,19,True,standard_metric_files,DREAM,DREAM,cell_number,cell number,4,5k,deep generative/autoencoder,15.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
EDGE,cell_5k,0.6520526315789472,0.6579999999999999,0.41740000000000005,0.876,19,True,standard_metric_files,EDGE,EDGE,cell_number,cell number,4,5k,graph/diffusion,20.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
GLMPCA,cell_5k,0.6193684210526316,0.6386666666666666,0.354,0.85,19,True,standard_metric_files,GLMPCA,GLMPCA,cell_number,cell number,4,5k,linear/probabilistic,2.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
PCA,cell_5k,0.6397368421052633,0.6326666666666667,0.4162,0.876,19,True,standard_metric_files,PCA,PCA,cell_number,cell number,4,5k,linear/probabilistic,1.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
PHATE,cell_5k,0.6985789473684211,0.6634444444444445,0.46440000000000003,0.9960000000000001,19,True,standard_metric_files,PHATE,PHATE,cell_number,cell number,4,5k,graph/diffusion,19.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
PaCMAP,cell_5k,0.26005263157894737,0.3138888888888889,0.23719999999999994,0.186,19,True,standard_metric_files,PaCMAP,PaCMAP,cell_number,cell number,4,5k,metric/structure-aware,23.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
ParametricUMAP200,cell_5k,0.6752631578947369,0.6624444444444444,0.41159999999999997,0.962,19,True,standard_metric_files,Parametric UMAP 200,UMAP,cell_number,cell number,4,5k,graph/diffusion,17.2,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
ParametricUMAP50,cell_5k,0.6751578947368422,0.6625555555555556,0.41500000000000004,0.958,19,True,standard_metric_files,Parametric UMAP 50,UMAP,cell_number,cell number,4,5k,graph/diffusion,17.1,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
SAUCIE,cell_5k,0.23315789473684215,0.2677777777777778,0.31799999999999995,0.086,19,True,standard_metric_files,SAUCIE,SAUCIE,cell_number,cell number,4,5k,deep generative/autoencoder,11.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
SCDRHA,cell_5k,0.35447368421052633,0.5403333333333333,0.2924,0.082,19,True,standard_metric_files,SCDRHA,SCDRHA,cell_number,cell number,4,5k,deep generative/autoencoder,13.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
SIMLR,cell_5k,0.6531578947368422,0.6494444444444444,0.3370000000000001,0.976,19,True,standard_metric_files,SIMLR,SIMLR,cell_number,cell number,4,5k,graph/diffusion,18.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
SPDR,cell_5k,0.6504736842105264,0.666,0.30100000000000005,0.9720000000000001,19,True,standard_metric_files,SPDR,SPDR,cell_number,cell number,4,5k,graph/diffusion,21.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
SQuaD_MDS,cell_5k,0.46373684210526317,0.503,0.5528000000000001,0.30400000000000005,19,True,standard_metric_files,SQuaD-MDS,SQuaD-MDS,cell_number,cell number,4,5k,metric/structure-aware,26.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
SQuaD_MDS_hybrid,cell_5k,0.6056315789473685,0.6395555555555555,0.4422,0.708,19,True,standard_metric_files,SQuaD-MDS hybrid,SQuaD-MDS,cell_number,cell number,4,5k,metric/structure-aware,25.1,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
SSNMDI,cell_5k,0.2448421052631579,0.31422222222222224,0.2708,0.094,19,True,standard_metric_files,SSNMDI,SSNMDI,cell_number,cell number,4,5k,linear/probabilistic,6.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
TSNE,cell_5k,0.6873157894736842,0.668,0.4474,0.9620000000000001,19,True,standard_metric_files,t-SNE,t-SNE,cell_number,cell number,4,5k,metric/structure-aware,24.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
TriMap,cell_5k,0.6833684210526315,0.6668888888888889,0.4224,0.974,19,True,standard_metric_files,TriMap,TriMap,cell_number,cell number,4,5k,metric/structure-aware,25.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
UMAP,cell_5k,0.6614736842105264,0.6636666666666666,0.403,0.916,19,True,standard_metric_files,UMAP,UMAP,cell_number,cell number,4,5k,graph/diffusion,17.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
VAE,cell_5k,0.6140526315789474,0.6573333333333333,0.32020000000000004,0.8300000000000001,19,True,standard_metric_files,VAE,VAE,cell_number,cell number,4,5k,deep generative/autoencoder,8.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
ZIFA,cell_5k,0.622,0.6273333333333334,0.4104,0.8240000000000001,19,True,standard_metric_files,ZIFA,ZIFA,cell_number,cell number,4,5k,linear/probabilistic,4.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
ivis,cell_5k,0.5608947368421052,0.6004444444444444,0.3366,0.714,19,True,standard_metric_files,IVIS,IVIS,cell_number,cell number,4,5k,metric/structure-aware,22.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
pCMF,cell_5k,0.20078947368421055,0.29744444444444446,0.1936,0.034,19,True,standard_metric_files,pCMF,pCMF,cell_number,cell number,4,5k,linear/probabilistic,3.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
scGAE,cell_5k,0.299421052631579,0.413888888888889,0.3028,0.09,19,True,standard_metric_files,scGAE,scGAE,cell_number,cell number,4,5k,deep generative/autoencoder,14.0,cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,True
