method_raw,dataset_id,score,local_score,global_score,cluster_score,n_score_metrics,complete_score_inputs,source_layer,method_id,parent_method,perturbation_axis,perturbation_axis_label,axis_order,parameter_label,method_family,method_order,param_group,param_value,cells,genes,sparsity_pct,n_batches,n_groups,size_mb,score_available
SPDR,gene_4w,0.7172105263157895,0.6930000000000001,0.5,0.9780000000000001,19,True,standard_metric_files,SPDR,SPDR,gene_number,gene number,4,40k,graph/diffusion,21.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
SQuaD_MDS,gene_4w,0.4447368421052632,0.5016666666666667,0.479,0.30800000000000005,19,True,standard_metric_files,SQuaD-MDS,SQuaD-MDS,gene_number,gene number,4,40k,metric/structure-aware,26.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
SQuaD_MDS_hybrid,gene_4w,0.6380526315789473,0.6625555555555555,0.476,0.756,19,True,standard_metric_files,SQuaD-MDS hybrid,SQuaD-MDS,gene_number,gene number,4,40k,metric/structure-aware,25.1,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
SSNMDI,gene_4w,0.25057894736842107,0.3114444444444444,0.2636,0.128,19,True,standard_metric_files,SSNMDI,SSNMDI,gene_number,gene number,4,40k,linear/probabilistic,6.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
TSNE,gene_4w,0.6443684210526316,0.6894444444444444,0.23560000000000003,0.9719999999999999,19,True,standard_metric_files,t-SNE,t-SNE,gene_number,gene number,4,40k,metric/structure-aware,24.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
TriMap,gene_4w,0.7157368421052631,0.6923333333333334,0.4976,0.976,19,True,standard_metric_files,TriMap,TriMap,gene_number,gene number,4,40k,metric/structure-aware,25.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
UMAP,gene_4w,0.6648421052631579,0.6784444444444444,0.3792,0.9259999999999999,19,True,standard_metric_files,UMAP,UMAP,gene_number,gene number,4,40k,graph/diffusion,17.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
VAE,gene_4w,0.6516315789473683,0.6752222222222222,0.4588,0.8019999999999999,19,True,standard_metric_files,VAE,VAE,gene_number,gene number,4,40k,deep generative/autoencoder,8.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
ZIFA,gene_4w,0.5748421052631578,0.6043333333333334,0.3986,0.698,19,True,standard_metric_files,ZIFA,ZIFA,gene_number,gene number,4,40k,linear/probabilistic,4.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
ivis,gene_4w,0.6686315789473686,0.6572222222222222,0.5197999999999999,0.8379999999999999,19,True,standard_metric_files,IVIS,IVIS,gene_number,gene number,4,40k,metric/structure-aware,22.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
pCMF,gene_4w,0.21768421052631579,0.3074444444444444,0.20980000000000004,0.064,19,True,standard_metric_files,pCMF,pCMF,gene_number,gene number,4,40k,linear/probabilistic,3.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
scGAE,gene_4w,0.47900000000000004,0.5185555555555555,0.44279999999999997,0.44399999999999995,19,True,standard_metric_files,scGAE,scGAE,gene_number,gene number,4,40k,deep generative/autoencoder,14.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
scGBM,gene_4w,0.5604736842105263,0.6168888888888888,0.3494,0.6699999999999999,19,True,standard_metric_files,scGBM,scGBM,gene_number,gene number,4,40k,linear/probabilistic,5.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
scScope,gene_4w,0.4762631578947369,0.5182222222222221,0.425,0.45199999999999996,19,True,standard_metric_files,scScope,scScope,gene_number,gene number,4,40k,deep generative/autoencoder,12.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
scvis,gene_4w,0.27057894736842103,0.3042222222222222,0.3606,0.12,19,True,standard_metric_files,scvis,scvis,gene_number,gene number,4,40k,deep generative/autoencoder,9.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
tGPLVM,gene_4w,0.7102631578947369,0.6784444444444444,0.4957999999999999,0.982,19,True,standard_metric_files,tGPLVM,tGPLVM,gene_number,gene number,4,40k,linear/probabilistic,7.0,gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,True
DRA,gene_5w,0.25794736842105265,0.3195555555555556,0.339,0.066,19,True,standard_metric_files,DRA,DRA,gene_number,gene number,5,50k,deep generative/autoencoder,16.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
DREAM,gene_5w,0.4003684210526316,0.4612222222222223,0.4332,0.258,19,True,standard_metric_files,DREAM,DREAM,gene_number,gene number,5,50k,deep generative/autoencoder,15.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
EDGE,gene_5w,0.6486315789473686,0.6505555555555556,0.5258,0.768,19,True,standard_metric_files,EDGE,EDGE,gene_number,gene number,5,50k,graph/diffusion,20.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
GLMPCA,gene_5w,0.5407368421052632,0.6182222222222222,0.238,0.704,19,True,standard_metric_files,GLMPCA,GLMPCA,gene_number,gene number,5,50k,linear/probabilistic,2.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
PCA,gene_5w,0.6841052631578949,0.6471111111111112,0.5768,0.858,19,True,standard_metric_files,PCA,PCA,gene_number,gene number,5,50k,linear/probabilistic,1.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
PHATE,gene_5w,0.7213157894736844,0.6814444444444444,0.5444,0.9700000000000001,19,True,standard_metric_files,PHATE,PHATE,gene_number,gene number,5,50k,graph/diffusion,19.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
PaCMAP,gene_5w,0.2801052631578947,0.3151111111111111,0.30920000000000003,0.188,19,True,standard_metric_files,PaCMAP,PaCMAP,gene_number,gene number,5,50k,metric/structure-aware,23.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
ParametricUMAP200,gene_5w,0.7102631578947369,0.6836666666666666,0.5084,0.96,19,True,standard_metric_files,Parametric UMAP 200,UMAP,gene_number,gene number,5,50k,graph/diffusion,17.2,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
ParametricUMAP50,gene_5w,0.708421052631579,0.6823333333333333,0.5058,0.958,19,True,standard_metric_files,Parametric UMAP 50,UMAP,gene_number,gene number,5,50k,graph/diffusion,17.1,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
SAUCIE,gene_5w,0.2348947368421052,0.3032222222222222,0.24480000000000005,0.10200000000000001,19,True,standard_metric_files,SAUCIE,SAUCIE,gene_number,gene number,5,50k,deep generative/autoencoder,11.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
SCDRHA,gene_5w,0.5008947368421053,0.5821111111111111,0.2796,0.576,19,True,standard_metric_files,SCDRHA,SCDRHA,gene_number,gene number,5,50k,deep generative/autoencoder,13.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
SIMLR,gene_5w,0.699,0.6792222222222222,0.4516,0.982,19,True,standard_metric_files,SIMLR,SIMLR,gene_number,gene number,5,50k,graph/diffusion,18.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
SPDR,gene_5w,0.663578947368421,0.6962222222222222,0.2904,0.9780000000000001,19,True,standard_metric_files,SPDR,SPDR,gene_number,gene number,5,50k,graph/diffusion,21.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
SQuaD_MDS,gene_5w,0.5015789473684211,0.5242222222222223,0.6464000000000001,0.31600000000000006,19,True,standard_metric_files,SQuaD-MDS,SQuaD-MDS,gene_number,gene number,5,50k,metric/structure-aware,26.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
SQuaD_MDS_hybrid,gene_5w,0.6755789473684208,0.6729999999999999,0.5518,0.8039999999999999,19,True,standard_metric_files,SQuaD-MDS hybrid,SQuaD-MDS,gene_number,gene number,5,50k,metric/structure-aware,25.1,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
SSNMDI,gene_5w,0.24889473684210528,0.31399999999999995,0.2506,0.13,19,True,standard_metric_files,SSNMDI,SSNMDI,gene_number,gene number,5,50k,linear/probabilistic,6.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
TSNE,gene_5w,0.6689473684210526,0.6914444444444444,0.32939999999999997,0.968,19,True,standard_metric_files,t-SNE,t-SNE,gene_number,gene number,5,50k,metric/structure-aware,24.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
TriMap,gene_5w,0.7141578947368421,0.6975555555555556,0.4822,0.976,19,True,standard_metric_files,TriMap,TriMap,gene_number,gene number,5,50k,metric/structure-aware,25.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
UMAP,gene_5w,0.7031578947368421,0.6827777777777777,0.513,0.93,19,True,standard_metric_files,UMAP,UMAP,gene_number,gene number,5,50k,graph/diffusion,17.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
VAE,gene_5w,0.6522631578947368,0.6757777777777777,0.4962,0.7659999999999999,19,True,standard_metric_files,VAE,VAE,gene_number,gene number,5,50k,deep generative/autoencoder,8.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
ZIFA,gene_5w,0.6702631578947369,0.6461111111111113,0.5740000000000001,0.8099999999999999,19,True,standard_metric_files,ZIFA,ZIFA,gene_number,gene number,5,50k,linear/probabilistic,4.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
ivis,gene_5w,0.6477894736842105,0.6315555555555555,0.6028,0.7220000000000001,19,True,standard_metric_files,IVIS,IVIS,gene_number,gene number,5,50k,metric/structure-aware,22.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
pCMF,gene_5w,0.2576842105263158,0.3058888888888889,0.34060000000000007,0.088,19,True,standard_metric_files,pCMF,pCMF,gene_number,gene number,5,50k,linear/probabilistic,3.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
scGAE,gene_5w,0.34594736842105267,0.45866666666666667,0.21300000000000002,0.276,19,True,standard_metric_files,scGAE,scGAE,gene_number,gene number,5,50k,deep generative/autoencoder,14.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
scGBM,gene_5w,0.6296842105263158,0.6384444444444444,0.49559999999999993,0.748,19,True,standard_metric_files,scGBM,scGBM,gene_number,gene number,5,50k,linear/probabilistic,5.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
scScope,gene_5w,0.5668947368421053,0.5843333333333334,0.5404,0.5619999999999999,19,True,standard_metric_files,scScope,scScope,gene_number,gene number,5,50k,deep generative/autoencoder,12.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
scvis,gene_5w,0.2948421052631578,0.3127777777777778,0.3814,0.17600000000000002,19,True,standard_metric_files,scvis,scvis,gene_number,gene number,5,50k,deep generative/autoencoder,9.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
tGPLVM,gene_5w,0.6867894736842105,0.6824444444444445,0.4034,0.9780000000000001,19,True,standard_metric_files,tGPLVM,tGPLVM,gene_number,gene number,5,50k,linear/probabilistic,7.0,gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,True
DRA,celltype_7,0.23968421052631586,0.2807777777777778,0.33940000000000003,0.066,19,True,standard_metric_files,DRA,DRA,celltype_number,cell-type number,1,7,deep generative/autoencoder,16.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
DREAM,celltype_7,0.2129473684210526,0.2763333333333333,0.24180000000000001,0.07,19,True,standard_metric_files,DREAM,DREAM,celltype_number,cell-type number,1,7,deep generative/autoencoder,15.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
EDGE,celltype_7,0.47584210526315784,0.5226666666666666,0.36540000000000006,0.502,19,True,standard_metric_files,EDGE,EDGE,celltype_number,cell-type number,1,7,graph/diffusion,20.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
GLMPCA,celltype_7,0.507842105263158,0.5383333333333333,0.3828,0.5780000000000001,19,True,standard_metric_files,GLMPCA,GLMPCA,celltype_number,cell-type number,1,7,linear/probabilistic,2.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
PCA,celltype_7,0.5519473684210525,0.5705555555555555,0.34640000000000004,0.724,19,True,standard_metric_files,PCA,PCA,celltype_number,cell-type number,1,7,linear/probabilistic,1.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
PHATE,celltype_7,0.6737894736842106,0.647888888888889,0.4182,0.976,19,True,standard_metric_files,PHATE,PHATE,celltype_number,cell-type number,1,7,graph/diffusion,19.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
PaCMAP,celltype_7,0.26615789473684215,0.27955555555555556,0.3181999999999999,0.19,19,True,standard_metric_files,PaCMAP,PaCMAP,celltype_number,cell-type number,1,7,metric/structure-aware,23.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
ParametricUMAP200,celltype_7,0.6503684210526317,0.6451111111111112,0.3922,0.9179999999999999,19,True,standard_metric_files,Parametric UMAP 200,UMAP,celltype_number,cell-type number,1,7,graph/diffusion,17.2,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
ParametricUMAP50,celltype_7,0.6417368421052633,0.6443333333333334,0.35479999999999995,0.9239999999999998,19,True,standard_metric_files,Parametric UMAP 50,UMAP,celltype_number,cell-type number,1,7,graph/diffusion,17.1,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
SAUCIE,celltype_7,0.20857894736842103,0.22577777777777777,0.2982,0.088,19,True,standard_metric_files,SAUCIE,SAUCIE,celltype_number,cell-type number,1,7,deep generative/autoencoder,11.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
SCDRHA,celltype_7,0.5082631578947369,0.5934444444444443,0.3032,0.56,19,True,standard_metric_files,SCDRHA,SCDRHA,celltype_number,cell-type number,1,7,deep generative/autoencoder,13.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
SIMLR,celltype_7,0.6643157894736841,0.6381111111111111,0.3998,0.976,19,True,standard_metric_files,SIMLR,SIMLR,celltype_number,cell-type number,1,7,graph/diffusion,18.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
SPDR,celltype_7,0.6579473684210526,0.6566666666666667,0.3382,0.9800000000000001,19,True,standard_metric_files,SPDR,SPDR,celltype_number,cell-type number,1,7,graph/diffusion,21.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
SQuaD_MDS,celltype_7,0.43763157894736837,0.44466666666666665,0.5826,0.27999999999999997,19,True,standard_metric_files,SQuaD-MDS,SQuaD-MDS,celltype_number,cell-type number,1,7,metric/structure-aware,26.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
SQuaD_MDS_hybrid,celltype_7,0.44778947368421057,0.5227777777777777,0.3646,0.396,19,True,standard_metric_files,SQuaD-MDS hybrid,SQuaD-MDS,celltype_number,cell-type number,1,7,metric/structure-aware,25.1,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
SSNMDI,celltype_7,0.25005263157894736,0.2713333333333333,0.31579999999999997,0.146,19,True,standard_metric_files,SSNMDI,SSNMDI,celltype_number,cell-type number,1,7,linear/probabilistic,6.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
TSNE,celltype_7,0.6571052631578947,0.6557777777777778,0.3466,0.97,19,True,standard_metric_files,t-SNE,t-SNE,celltype_number,cell-type number,1,7,metric/structure-aware,24.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
TriMap,celltype_7,0.6866315789473685,0.6591111111111111,0.4448,0.9780000000000001,19,True,standard_metric_files,TriMap,TriMap,celltype_number,cell-type number,1,7,metric/structure-aware,25.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
UMAP,celltype_7,0.6168947368421054,0.6366666666666667,0.35619999999999996,0.842,19,True,standard_metric_files,UMAP,UMAP,celltype_number,cell-type number,1,7,graph/diffusion,17.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
VAE,celltype_7,0.6343684210526316,0.6503333333333333,0.354,0.8859999999999999,19,True,standard_metric_files,VAE,VAE,celltype_number,cell-type number,1,7,deep generative/autoencoder,8.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
ZIFA,celltype_7,0.4574736842105263,0.4837777777777777,0.3536,0.514,19,True,standard_metric_files,ZIFA,ZIFA,celltype_number,cell-type number,1,7,linear/probabilistic,4.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
ivis,celltype_7,0.22552631578947369,0.2916666666666667,0.25,0.082,19,True,standard_metric_files,IVIS,IVIS,celltype_number,cell-type number,1,7,metric/structure-aware,22.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
pCMF,celltype_7,0.20631578947368417,0.25855555555555554,0.2986,0.019999999999999997,19,True,standard_metric_files,pCMF,pCMF,celltype_number,cell-type number,1,7,linear/probabilistic,3.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
scGAE,celltype_7,0.20963157894736836,0.2581111111111111,0.22599999999999998,0.10600000000000001,19,True,standard_metric_files,scGAE,scGAE,celltype_number,cell-type number,1,7,deep generative/autoencoder,14.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
scGBM,celltype_7,0.5363157894736843,0.5383333333333333,0.481,0.588,19,True,standard_metric_files,scGBM,scGBM,celltype_number,cell-type number,1,7,linear/probabilistic,5.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
scScope,celltype_7,0.21931578947368416,0.27655555555555555,0.25960000000000005,0.076,19,True,standard_metric_files,scScope,scScope,celltype_number,cell-type number,1,7,deep generative/autoencoder,12.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
scvis,celltype_7,0.21736842105263157,0.243,0.25460000000000005,0.134,19,True,standard_metric_files,scvis,scvis,celltype_number,cell-type number,1,7,deep generative/autoencoder,9.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
tGPLVM,celltype_7,0.22284210526315784,0.27311111111111114,0.2852,0.07,19,True,standard_metric_files,tGPLVM,tGPLVM,celltype_number,cell-type number,1,7,linear/probabilistic,7.0,celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,True
DRA,celltype_9,0.20057894736842102,0.2723333333333333,0.2,0.07200000000000001,19,True,standard_metric_files,DRA,DRA,celltype_number,cell-type number,2,9,deep generative/autoencoder,16.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
DREAM,celltype_9,0.20236842105263153,0.28022222222222226,0.19460000000000002,0.07,19,True,standard_metric_files,DREAM,DREAM,celltype_number,cell-type number,2,9,deep generative/autoencoder,15.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
EDGE,celltype_9,0.45931578947368423,0.5046666666666666,0.36700000000000005,0.47000000000000003,19,True,standard_metric_files,EDGE,EDGE,celltype_number,cell-type number,2,9,graph/diffusion,20.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
GLMPCA,celltype_9,0.47210526315789475,0.5109999999999999,0.3842,0.48999999999999994,19,True,standard_metric_files,GLMPCA,GLMPCA,celltype_number,cell-type number,2,9,linear/probabilistic,2.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
PCA,celltype_9,0.4440526315789473,0.4693333333333334,0.3726,0.47000000000000003,19,True,standard_metric_files,PCA,PCA,celltype_number,cell-type number,2,9,linear/probabilistic,1.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
PHATE,celltype_9,0.6612631578947369,0.6419999999999999,0.40519999999999995,0.9520000000000002,19,True,standard_metric_files,PHATE,PHATE,celltype_number,cell-type number,2,9,graph/diffusion,19.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
PaCMAP,celltype_9,0.2141578947368421,0.27322222222222226,0.126,0.196,19,True,standard_metric_files,PaCMAP,PaCMAP,celltype_number,cell-type number,2,9,metric/structure-aware,23.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
ParametricUMAP200,celltype_9,0.6093684210526317,0.6243333333333332,0.3318,0.86,19,True,standard_metric_files,Parametric UMAP 200,UMAP,celltype_number,cell-type number,2,9,graph/diffusion,17.2,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
ParametricUMAP50,celltype_9,0.5898947368421052,0.6232222222222222,0.26580000000000004,0.8540000000000001,19,True,standard_metric_files,Parametric UMAP 50,UMAP,celltype_number,cell-type number,2,9,graph/diffusion,17.1,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
SAUCIE,celltype_9,0.18921052631578944,0.22388888888888892,0.24000000000000005,0.076,19,True,standard_metric_files,SAUCIE,SAUCIE,celltype_number,cell-type number,2,9,deep generative/autoencoder,11.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
SCDRHA,celltype_9,0.4414736842105263,0.49522222222222223,0.32619999999999993,0.45999999999999996,19,True,standard_metric_files,SCDRHA,SCDRHA,celltype_number,cell-type number,2,9,deep generative/autoencoder,13.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
SIMLR,celltype_9,0.6253684210526316,0.6337777777777778,0.27159999999999995,0.9640000000000001,19,True,standard_metric_files,SIMLR,SIMLR,celltype_number,cell-type number,2,9,graph/diffusion,18.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
SPDR,celltype_9,0.6362105263157896,0.6513333333333333,0.26720000000000005,0.9780000000000001,19,True,standard_metric_files,SPDR,SPDR,celltype_number,cell-type number,2,9,graph/diffusion,21.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
SQuaD_MDS,celltype_9,0.41168421052631576,0.4095555555555556,0.6092000000000001,0.21799999999999997,19,True,standard_metric_files,SQuaD-MDS,SQuaD-MDS,celltype_number,cell-type number,2,9,metric/structure-aware,26.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
SQuaD_MDS_hybrid,celltype_9,0.5005789473684211,0.5435555555555555,0.45380000000000004,0.4699999999999999,19,True,standard_metric_files,SQuaD-MDS hybrid,SQuaD-MDS,celltype_number,cell-type number,2,9,metric/structure-aware,25.1,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
SSNMDI,celltype_9,0.2039473684210526,0.2643333333333333,0.16319999999999998,0.136,19,True,standard_metric_files,SSNMDI,SSNMDI,celltype_number,cell-type number,2,9,linear/probabilistic,6.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
TSNE,celltype_9,0.6133684210526316,0.652,0.18719999999999998,0.97,19,True,standard_metric_files,t-SNE,t-SNE,celltype_number,cell-type number,2,9,metric/structure-aware,24.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
TriMap,celltype_9,0.68,0.657888888888889,0.4218,0.9780000000000001,19,True,standard_metric_files,TriMap,TriMap,celltype_number,cell-type number,2,9,metric/structure-aware,25.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
UMAP,celltype_9,0.5934210526315788,0.6144444444444445,0.35700000000000004,0.792,19,True,standard_metric_files,UMAP,UMAP,celltype_number,cell-type number,2,9,graph/diffusion,17.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
VAE,celltype_9,0.6308421052631579,0.6428888888888888,0.358,0.882,19,True,standard_metric_files,VAE,VAE,celltype_number,cell-type number,2,9,deep generative/autoencoder,8.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
ZIFA,celltype_9,0.42342105263157903,0.45399999999999996,0.3758,0.41600000000000004,19,True,standard_metric_files,ZIFA,ZIFA,celltype_number,cell-type number,2,9,linear/probabilistic,4.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
ivis,celltype_9,0.25547368421052635,0.2981111111111111,0.34819999999999995,0.08600000000000001,19,True,standard_metric_files,IVIS,IVIS,celltype_number,cell-type number,2,9,metric/structure-aware,22.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
pCMF,celltype_9,0.15584210526315784,0.25755555555555554,0.1206,0.008,19,True,standard_metric_files,pCMF,pCMF,celltype_number,cell-type number,2,9,linear/probabilistic,3.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
scGAE,celltype_9,0.1781578947368421,0.22933333333333333,0.1582,0.10600000000000001,19,True,standard_metric_files,scGAE,scGAE,celltype_number,cell-type number,2,9,deep generative/autoencoder,14.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
scGBM,celltype_9,0.44605263157894737,0.4538888888888889,0.47000000000000003,0.40800000000000003,19,True,standard_metric_files,scGBM,scGBM,celltype_number,cell-type number,2,9,linear/probabilistic,5.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
scScope,celltype_9,0.18899999999999997,0.27255555555555555,0.1496,0.078,19,True,standard_metric_files,scScope,scScope,celltype_number,cell-type number,2,9,deep generative/autoencoder,12.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
scvis,celltype_9,0.20463157894736836,0.25177777777777777,0.21639999999999998,0.10800000000000001,19,True,standard_metric_files,scvis,scvis,celltype_number,cell-type number,2,9,deep generative/autoencoder,9.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
tGPLVM,celltype_9,0.21163157894736837,0.2628888888888889,0.263,0.068,19,True,standard_metric_files,tGPLVM,tGPLVM,celltype_number,cell-type number,2,9,linear/probabilistic,7.0,celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,True
DRA,celltype_11,0.20805263157894735,0.2603333333333333,0.252,0.07,19,True,standard_metric_files,DRA,DRA,celltype_number,cell-type number,3,11,deep generative/autoencoder,16.0,celltype,11,2000.0,3000.0,46.1,1.0,11.0,68.0,True
DREAM,celltype_11,0.19221052631578947,0.26655555555555555,0.1746,0.07600000000000001,19,True,standard_metric_files,DREAM,DREAM,celltype_number,cell-type number,3,11,deep generative/autoencoder,15.0,celltype,11,2000.0,3000.0,46.1,1.0,11.0,68.0,True
EDGE,celltype_11,0.3145263157894737,0.38211111111111107,0.2794,0.22799999999999998,19,True,standard_metric_files,EDGE,EDGE,celltype_number,cell-type number,3,11,graph/diffusion,20.0,celltype,11,2000.0,3000.0,46.1,1.0,11.0,68.0,True
GLMPCA,celltype_11,0.41978947368421055,0.4596666666666666,0.33780000000000004,0.43000000000000005,19,True,standard_metric_files,GLMPCA,GLMPCA,celltype_number,cell-type number,3,11,linear/probabilistic,2.0,celltype,11,2000.0,3000.0,46.1,1.0,11.0,68.0,True
PCA,celltype_11,0.44431578947368433,0.47411111111111115,0.335,0.4999999999999999,19,True,standard_metric_files,PCA,PCA,celltype_number,cell-type number,3,11,linear/probabilistic,1.0,celltype,11,2000.0,3000.0,46.1,1.0,11.0,68.0,True
PHATE,celltype_11,0.6305263157894737,0.6323333333333332,0.32580000000000003,0.932,19,True,standard_metric_files,PHATE,PHATE,celltype_number,cell-type number,3,11,graph/diffusion,19.0,celltype,11,2000.0,3000.0,46.1,1.0,11.0,68.0,True
PaCMAP,celltype_11,0.22026315789473683,0.25622222222222224,0.1778,0.198,19,True,standard_metric_files,PaCMAP,PaCMAP,celltype_number,cell-type number,3,11,metric/structure-aware,23.0,celltype,11,2000.0,3000.0,46.1,1.0,11.0,68.0,True
