atlas_layer,dataset_type,source_table,source_row,dataset_label,dataset_group,source_repository,species,tissue_or_cell_type,condition,cells,cell_count_text,sequencing_technology,year,counting_rule
manuscript_100_dataset_atlas,real,Supplementary Table S2,32,GSE100058/DA1_horns,Horns,GSE100058,fly,Olfactory projection neurons,Developmental,277.0,277、168、454,smart-seq2,2017,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,32,GSE100058/DC3_VA1d_horns,Horns,GSE100058,fly,Olfactory projection neurons,Developmental,168.0,277、168、454,smart-seq2,2017,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,32,GSE100058/horns,Horns,GSE100058,fly,Olfactory projection neurons,Developmental,454.0,277、168、454,smart-seq2,2017,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/combination-1,Plass,GSE103633,planaria,whole organism level,Healthy,4288.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/combination-2,Plass,GSE103633,planaria,whole organism level,Healthy,4341.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/combination-3,Plass,GSE103633,planaria,whole organism level,Healthy,2270.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/epidermis,Plass,GSE103633,planaria,whole organism level,Healthy,4003.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/muscle,Plass,GSE103633,planaria,whole organism level,Healthy,2338.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/neuron,Plass,GSE103633,planaria,whole organism level,Healthy,2349.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/pair-1,Plass,GSE103633,planaria,whole organism level,Healthy,10578.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/pair-2,Plass,GSE103633,planaria,whole organism level,Healthy,10653.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/pair-3,Plass,GSE103633,planaria,whole organism level,Healthy,8589.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/pair-4,Plass,GSE103633,planaria,whole organism level,Healthy,8960.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/parenchyme,Plass,GSE103633,planaria,whole organism level,Healthy,1986.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/phagocyte,Plass,GSE103633,planaria,whole organism level,Healthy,694.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
manuscript_100_dataset_atlas,real,Supplementary Table S2,33,GSE103633/pharynx,Plass,GSE103633,planaria,whole organism level,Healthy,292.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018,expanded_subdataset
