method_raw,method_id,parent_method,n_cells,peak_memory_gb,runtime_seconds,source_file
GLMPCA,GLMPCA,GLMPCA,10000,0.628,102.51,metric\efficiency\cell_10000.csv
scGBM,scGBM,scGBM,10000,0.894,76.37,metric\efficiency\cell_10000.csv
EDGE,EDGE,EDGE,10000,4.131,292.73,metric\efficiency\cell_10000.csv
tGPLVM,tGPLVM,tGPLVM,10000,0.666,180.091,metric\efficiency\cell_10000.csv
pCMF,pCMF,pCMF,10000,0.783,2730.309,metric\efficiency\cell_10000.csv
SSNMDI,SSNMDI,SSNMDI,10000,3.108,1329.4604,metric\efficiency\cell_10000.csv
SAUCIE,SAUCIE,SAUCIE,2000,0.32,2.1064,metric\efficiency\cell_2000.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,2000,0.296,18.0011,metric\efficiency\cell_2000.csv
UMAP,UMAP,UMAP,2000,0.776,10.9978,metric\efficiency\cell_2000.csv
SCDRHA,SCDRHA,SCDRHA,2000,1.355,34.2379,metric\efficiency\cell_2000.csv
scGAE,scGAE,scGAE,2000,1.319,21.4132,metric\efficiency\cell_2000.csv
VASC,VASC,VASC,2000,0.41,616.4961,metric\efficiency\cell_2000.csv
PHATE,PHATE,PHATE,2000,0.401,11.9533,metric\efficiency\cell_2000.csv
DRA,DRA,DRA,2000,0.439,191.9577,metric\efficiency\cell_2000.csv
VAE,VAE,VAE,2000,0.625,56.8094,metric\efficiency\cell_2000.csv
ivis,IVIS,IVIS,2000,0.675,6.929,metric\efficiency\cell_2000.csv
ZIFA,ZIFA,ZIFA,2000,0.412,250.878,metric\efficiency\cell_2000.csv
scScope,scScope,scScope,2000,0.647,54.3729,metric\efficiency\cell_2000.csv
TriMap,TriMap,TriMap,2000,0.305,3.2175,metric\efficiency\cell_2000.csv
SPDR,SPDR,SPDR,2000,0.464,33.7356,metric\efficiency\cell_2000.csv
PaCMAP,PaCMAP,PaCMAP,2000,0.287,4.0356,metric\efficiency\cell_2000.csv
DREAM,DREAM,DREAM,2000,1.132,119.4392,metric\efficiency\cell_2000.csv
scvis,scvis,scvis,2000,0.308,1911.1657,metric\efficiency\cell_2000.csv
PCA,PCA,PCA,2000,0.151,0.672,metric\efficiency\cell_2000.csv
t-SNE,t-SNE,t-SNE,2000,0.168,5.787,metric\efficiency\cell_2000.csv
GLMPCA,GLMPCA,GLMPCA,2000,0.236,15.841,metric\efficiency\cell_2000.csv
scGBM,scGBM,scGBM,2000,0.382,11.398,metric\efficiency\cell_2000.csv
SIMLR,SIMLR,SIMLR,2000,6.936,859.031,metric\efficiency\cell_2000.csv
EDGE,EDGE,EDGE,2000,2.927,20.817,metric\efficiency\cell_2000.csv
tGPLVM,tGPLVM,tGPLVM,2000,0.599,185.2611,metric\efficiency\cell_2000.csv
pCMF,pCMF,pCMF,2000,0.241,655.566,metric\efficiency\cell_2000.csv
SSNMDI,SSNMDI,SSNMDI,2000,1.623,78.2039,metric\efficiency\cell_2000.csv
SAUCIE,SAUCIE,SAUCIE,20000,0.503,2.4304,metric\efficiency\cell_20000.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,20000,0.666,219.9959,metric\efficiency\cell_20000.csv
UMAP,UMAP,UMAP,20000,1.339,21.0645,metric\efficiency\cell_20000.csv
SCDRHA,SCDRHA,SCDRHA,20000,51.777,1523.0705,metric\efficiency\cell_20000.csv
scGAE,scGAE,scGAE,20000,32.544,1454.8681,metric\efficiency\cell_20000.csv
VASC,VASC,VASC,20000,1.353,6868.5756,metric\efficiency\cell_20000.csv
PHATE,PHATE,PHATE,20000,0.831,50.7408,metric\efficiency\cell_20000.csv
DRA,DRA,DRA,20000,0.787,1953.9418,metric\efficiency\cell_20000.csv
VAE,VAE,VAE,20000,1.24,556.369,metric\efficiency\cell_20000.csv
ivis,IVIS,IVIS,20000,0.904,55.6686,metric\efficiency\cell_20000.csv
ZIFA,ZIFA,ZIFA,20000,2.898,2473.4325,metric\efficiency\cell_20000.csv
scScope,scScope,scScope,20000,2.395,547.2283,metric\efficiency\cell_20000.csv
TriMap,TriMap,TriMap,20000,0.62,16.5012,metric\efficiency\cell_20000.csv
SPDR,SPDR,SPDR,20000,1.935,1317.4856,metric\efficiency\cell_20000.csv
PaCMAP,PaCMAP,PaCMAP,20000,0.769,37.8158,metric\efficiency\cell_20000.csv
DREAM,DREAM,DREAM,20000,6.924,1276.4306,metric\efficiency\cell_20000.csv
scvis,scvis,scvis,20000,0.792,2614.9503,metric\efficiency\cell_20000.csv
PCA,PCA,PCA,20000,0.805,4.75,metric\efficiency\cell_20000.csv
t-SNE,t-SNE,t-SNE,20000,0.752,81.9,metric\efficiency\cell_20000.csv
GLMPCA,GLMPCA,GLMPCA,20000,1.364,149.407,metric\efficiency\cell_20000.csv
scGBM,scGBM,scGBM,20000,1.58,149.652,metric\efficiency\cell_20000.csv
EDGE,EDGE,EDGE,20000,7.646,1044.28,metric\efficiency\cell_20000.csv
tGPLVM,tGPLVM,tGPLVM,20000,0.747,189.0852,metric\efficiency\cell_20000.csv
pCMF,pCMF,pCMF,20000,1.403,5459.49,metric\efficiency\cell_20000.csv
SSNMDI,SSNMDI,SSNMDI,20000,6.096,4781.3973,metric\efficiency\cell_20000.csv
SAUCIE,SAUCIE,SAUCIE,30000,0.61,2.5824,metric\efficiency\cell_30000.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,30000,0.845,341.1186,metric\efficiency\cell_30000.csv
UMAP,UMAP,UMAP,30000,1.621,24.7539,metric\efficiency\cell_30000.csv
PHATE,PHATE,PHATE,30000,1.077,101.7064,metric\efficiency\cell_30000.csv
DRA,DRA,DRA,30000,0.933,2958.1166,metric\efficiency\cell_30000.csv
VAE,VAE,VAE,30000,1.643,806.0257,metric\efficiency\cell_30000.csv
ivis,IVIS,IVIS,30000,1.08,86.5241,metric\efficiency\cell_30000.csv
scScope,scScope,scScope,30000,2.555,831.0314,metric\efficiency\cell_30000.csv
TriMap,TriMap,TriMap,30000,0.804,24.6515,metric\efficiency\cell_30000.csv
SPDR,SPDR,SPDR,30000,2.725,2783.2725,metric\efficiency\cell_30000.csv
PaCMAP,PaCMAP,PaCMAP,30000,1.004,61.5718,metric\efficiency\cell_30000.csv
scvis,scvis,scvis,30000,1.095,4009.07,metric\efficiency\cell_30000.csv
PCA,PCA,PCA,30000,1.09,5.245,metric\efficiency\cell_30000.csv
t-SNE,t-SNE,t-SNE,30000,1.09,128.055,metric\efficiency\cell_30000.csv
GLMPCA,GLMPCA,GLMPCA,30000,2.098,335.915,metric\efficiency\cell_30000.csv
scGBM,scGBM,scGBM,30000,2.258,169.623,metric\efficiency\cell_30000.csv
EDGE,EDGE,EDGE,30000,13.393,2286.593,metric\efficiency\cell_30000.csv
tGPLVM,tGPLVM,tGPLVM,30000,0.953,190.8559,metric\efficiency\cell_30000.csv
DREAM,DREAM,DREAM,30000,14.564,3291.2063,metric\efficiency\cell_30000.csv
SCDRHA,SCDRHA,SCDRHA,30000,112.055,3607.1984,metric\efficiency\cell_30000.csv
scGAE,scGAE,scGAE,30000,71.689,3407.1552,metric\efficiency\cell_30000.csv
pCMF,pCMF,pCMF,30000,2.001,8074.227,metric\efficiency\cell_30000.csv
ZIFA,ZIFA,ZIFA,30000,4.266,3793.4307,metric\efficiency\cell_30000.csv
VASC,VASC,VASC,30000,1.886,10333.3334,metric\efficiency\cell_30000.csv
SSNMDI,SSNMDI,SSNMDI,30000,10.657,12040.6073,metric\efficiency\cell_30000.csv
SAUCIE,SAUCIE,SAUCIE,500,0.317,1.8917,metric\efficiency\cell_500.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,500,0.271,5.2896,metric\efficiency\cell_500.csv
UMAP,UMAP,UMAP,500,0.729,7.8606,metric\efficiency\cell_500.csv
SCDRHA,SCDRHA,SCDRHA,500,0.681,19.1957,metric\efficiency\cell_500.csv
scGAE,scGAE,scGAE,500,0.566,8.325,metric\efficiency\cell_500.csv
VASC,VASC,VASC,500,0.301,236.1364,metric\efficiency\cell_500.csv
PHATE,PHATE,PHATE,500,0.179,1.1761,metric\efficiency\cell_500.csv
DRA,DRA,DRA,500,0.38,41.7908,metric\efficiency\cell_500.csv
VAE,VAE,VAE,500,0.569,22.022,metric\efficiency\cell_500.csv
ivis,IVIS,IVIS,500,0.613,6.0299,metric\efficiency\cell_500.csv
ZIFA,ZIFA,ZIFA,500,0.193,74.6027,metric\efficiency\cell_500.csv
scScope,scScope,scScope,500,0.562,12.233,metric\efficiency\cell_500.csv
TriMap,TriMap,TriMap,500,0.281,1.7598,metric\efficiency\cell_500.csv
SPDR,SPDR,SPDR,500,0.351,11.9595,metric\efficiency\cell_500.csv
PaCMAP,PaCMAP,PaCMAP,500,0.25,2.7955,metric\efficiency\cell_500.csv
DREAM,DREAM,DREAM,500,1.113,60.585,metric\efficiency\cell_500.csv
scvis,scvis,scvis,500,0.274,1832.4837,metric\efficiency\cell_500.csv
PCA,PCA,PCA,500,0.122,0.218,metric\efficiency\cell_500.csv
t-SNE,t-SNE,t-SNE,500,0.128,1.127,metric\efficiency\cell_500.csv
GLMPCA,GLMPCA,GLMPCA,500,0.133,1.656,metric\efficiency\cell_500.csv
scGBM,scGBM,scGBM,500,0.284,2.591,metric\efficiency\cell_500.csv
SIMLR,SIMLR,SIMLR,500,0.909,63.242,metric\efficiency\cell_500.csv
EDGE,EDGE,EDGE,500,2.859,3.77,metric\efficiency\cell_500.csv
tGPLVM,tGPLVM,tGPLVM,500,0.586,173.8073,metric\efficiency\cell_500.csv
pCMF,pCMF,pCMF,500,0.154,196.407,metric\efficiency\cell_500.csv
SSNMDI,SSNMDI,SSNMDI,500,1.405,13.0543,metric\efficiency\cell_500.csv
SAUCIE,SAUCIE,SAUCIE,5000,0.338,2.1008,metric\efficiency\cell_5000.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,5000,0.361,49.1924,metric\efficiency\cell_5000.csv
UMAP,UMAP,UMAP,5000,0.902,18.2254,metric\efficiency\cell_5000.csv
SCDRHA,SCDRHA,SCDRHA,5000,4.447,114.9631,metric\efficiency\cell_5000.csv
scGAE,scGAE,scGAE,5000,2.841,109.2785,metric\efficiency\cell_5000.csv
VASC,VASC,VASC,5000,0.587,1612.6928,metric\efficiency\cell_5000.csv
PHATE,PHATE,PHATE,5000,0.504,18.7085,metric\efficiency\cell_5000.csv
DRA,DRA,DRA,5000,0.527,490.9225,metric\efficiency\cell_5000.csv
VAE,VAE,VAE,5000,0.732,138.3776,metric\efficiency\cell_5000.csv
ivis,IVIS,IVIS,5000,0.727,17.9125,metric\efficiency\cell_5000.csv
ZIFA,ZIFA,ZIFA,5000,0.824,624.1608,metric\efficiency\cell_5000.csv
scScope,scScope,scScope,5000,0.992,131.6594,metric\efficiency\cell_5000.csv
TriMap,TriMap,TriMap,5000,0.345,5.2514,metric\efficiency\cell_5000.csv
SPDR,SPDR,SPDR,5000,0.698,111.9396,metric\efficiency\cell_5000.csv
PaCMAP,PaCMAP,PaCMAP,5000,0.36,12.0148,metric\efficiency\cell_5000.csv
DREAM,DREAM,DREAM,5000,1.149,242.9155,metric\efficiency\cell_5000.csv
scvis,scvis,scvis,5000,0.404,2052.3041,metric\efficiency\cell_5000.csv
PCA,PCA,PCA,5000,0.261,2.03,metric\efficiency\cell_5000.csv
t-SNE,t-SNE,t-SNE,5000,0.266,13.933,metric\efficiency\cell_5000.csv
GLMPCA,GLMPCA,GLMPCA,5000,0.443,18.088,metric\efficiency\cell_5000.csv
scGBM,scGBM,scGBM,5000,0.591,37.756,metric\efficiency\cell_5000.csv
SIMLR,SIMLR,SIMLR,5000,36.338,6701.459,metric\efficiency\cell_5000.csv
EDGE,EDGE,EDGE,5000,3.212,88.257,metric\efficiency\cell_5000.csv
tGPLVM,tGPLVM,tGPLVM,5000,0.623,180.6193,metric\efficiency\cell_5000.csv
pCMF,pCMF,pCMF,5000,0.454,1397.16,metric\efficiency\cell_5000.csv
SSNMDI,SSNMDI,SSNMDI,5000,2.122,359.1581,metric\efficiency\cell_5000.csv
SAUCIE,SAUCIE,SAUCIE,50000,0.838,2.9545,metric\efficiency\cell_50000.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,50000,1.384,617.2955,metric\efficiency\cell_50000.csv
UMAP,UMAP,UMAP,50000,2.286,33.1832,metric\efficiency\cell_50000.csv
PHATE,PHATE,PHATE,50000,1.563,247.3897,metric\efficiency\cell_50000.csv
VAE,VAE,VAE,50000,2.357,1377.7144,metric\efficiency\cell_50000.csv
ivis,IVIS,IVIS,50000,1.369,277.5137,metric\efficiency\cell_50000.csv
TriMap,TriMap,TriMap,50000,1.158,41.2584,metric\efficiency\cell_50000.csv
PaCMAP,PaCMAP,PaCMAP,50000,1.515,103.9398,metric\efficiency\cell_50000.csv
DRA,DRA,DRA,50000,1.317,4911.1828,metric\efficiency\cell_50000.csv
PCA,PCA,PCA,50000,2.195,9.198,metric\efficiency\cell_50000.csv
t-SNE,t-SNE,t-SNE,50000,1.912,264.369,metric\efficiency\cell_50000.csv
GLMPCA,GLMPCA,GLMPCA,50000,3.676,433.37,metric\efficiency\cell_50000.csv
scGBM,scGBM,scGBM,50000,3.369,343.0,metric\efficiency\cell_50000.csv
tGPLVM,tGPLVM,tGPLVM,50000,1.442,198.8041,metric\efficiency\cell_50000.csv
VASC,VASC,VASC,50000,2.952,17233.7631,metric\efficiency\cell_50000.csv
SPDR,SPDR,SPDR,50000,4.257,8019.0221,metric\efficiency\cell_50000.csv
