method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,source_file
ZIFA,0.47,ZIFA,ZIFA,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
SSNMDI,0.04,SSNMDI,SSNMDI,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
tGPLVM,0.08,tGPLVM,tGPLVM,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
SQuaD_MDS,0.32,SQuaD-MDS,SQuaD-MDS,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
GLMPCA,0.52,GLMPCA,GLMPCA,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
PaCMAP,0.04,PaCMAP,PaCMAP,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
ParametricUMAP200,0.47,Parametric UMAP 200,UMAP,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
scScope,0.42,scScope,scScope,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
scvis,0.36,scvis,scvis,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
EDGE,0.32,EDGE,EDGE,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
TriMap,0.43,TriMap,TriMap,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
ParametricUMAP50,0.45,Parametric UMAP 50,UMAP,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
DRA,0.03,DRA,DRA,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
SIMLR,0.48,SIMLR,SIMLR,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
SAUCIE,0.24,SAUCIE,SAUCIE,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
PCA,0.44,PCA,PCA,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
PHATE,0.34,PHATE,PHATE,scDesign3,VISIUM,louvain,NMI,metric\cluster\scDesign3\VISIUM\indicators\louvain_NMI.csv
ivis,0.31,IVIS,IVIS,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
scGAE,0.38,scGAE,scGAE,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
VASC,0.31,VASC,VASC,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
scGBM,0.24,scGBM,scGBM,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
SPDR,0.34,SPDR,SPDR,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
pCMF,0.26,pCMF,pCMF,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
SQuaD_MDS_hybrid,0.37,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
SCDRHA,0.33,SCDRHA,SCDRHA,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
TSNE,0.4,t-SNE,t-SNE,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
UMAP,0.4,UMAP,UMAP,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
VAE,0.4,VAE,VAE,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
DREAM,0.23,DREAM,DREAM,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
ZIFA,0.23,ZIFA,ZIFA,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
SSNMDI,0.41,SSNMDI,SSNMDI,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
tGPLVM,0.2,tGPLVM,tGPLVM,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
SQuaD_MDS,0.2,SQuaD-MDS,SQuaD-MDS,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
GLMPCA,0.27,GLMPCA,GLMPCA,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
PaCMAP,0.38,PaCMAP,PaCMAP,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
ParametricUMAP200,0.39,Parametric UMAP 200,UMAP,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
scScope,0.38,scScope,scScope,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
scvis,0.27,scvis,scvis,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
EDGE,0.43,EDGE,EDGE,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
TriMap,0.33,TriMap,TriMap,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
ParametricUMAP50,0.34,Parametric UMAP 50,UMAP,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
DRA,0.29,DRA,DRA,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
SIMLR,0.39,SIMLR,SIMLR,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
SAUCIE,0.25,SAUCIE,SAUCIE,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
PCA,0.32,PCA,PCA,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
PHATE,0.33,PHATE,PHATE,scDesign3,VISIUM,louvain,SIL,metric\cluster\scDesign3\VISIUM\indicators\louvain_SIL.csv
ivis,0.27,IVIS,IVIS,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
scGAE,0.19,scGAE,scGAE,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
VASC,0.31,VASC,VASC,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
scGBM,0.28,scGBM,scGBM,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
SPDR,0.28,SPDR,SPDR,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
pCMF,0.17,pCMF,pCMF,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
SQuaD_MDS_hybrid,0.24,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
SCDRHA,0.11,SCDRHA,SCDRHA,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
TSNE,0.5,t-SNE,t-SNE,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
UMAP,0.3,UMAP,UMAP,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
VAE,0.5,VAE,VAE,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
DREAM,0.0,DREAM,DREAM,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
ZIFA,0.26,ZIFA,ZIFA,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
SSNMDI,0.0,SSNMDI,SSNMDI,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
tGPLVM,0.02,tGPLVM,tGPLVM,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
SQuaD_MDS,0.15,SQuaD-MDS,SQuaD-MDS,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
GLMPCA,0.31,GLMPCA,GLMPCA,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
PaCMAP,0.0,PaCMAP,PaCMAP,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
ParametricUMAP200,0.3,Parametric UMAP 200,UMAP,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
scScope,0.26,scScope,scScope,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
scvis,0.18,scvis,scvis,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
EDGE,0.13,EDGE,EDGE,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
TriMap,0.21,TriMap,TriMap,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
ParametricUMAP50,0.29,Parametric UMAP 50,UMAP,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
DRA,0.0,DRA,DRA,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
SIMLR,0.27,SIMLR,SIMLR,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
SAUCIE,0.08,SAUCIE,SAUCIE,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
PCA,0.24,PCA,PCA,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
PHATE,0.15,PHATE,PHATE,scDesign3,VISIUM,spectral,ARI,metric\cluster\scDesign3\VISIUM\indicators\spectral_ARI.csv
ivis,0.45,IVIS,IVIS,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
scGAE,0.38,scGAE,scGAE,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
VASC,0.51,VASC,VASC,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
scGBM,0.5,scGBM,scGBM,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
SPDR,0.47,SPDR,SPDR,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
pCMF,0.34,pCMF,pCMF,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
SQuaD_MDS_hybrid,0.45,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
SCDRHA,0.28,SCDRHA,SCDRHA,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
TSNE,0.71,t-SNE,t-SNE,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
UMAP,0.5,UMAP,UMAP,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
VAE,0.71,VAE,VAE,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
DREAM,0.02,DREAM,DREAM,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
ZIFA,0.47,ZIFA,ZIFA,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
SSNMDI,0.01,SSNMDI,SSNMDI,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
tGPLVM,0.06,tGPLVM,tGPLVM,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
SQuaD_MDS,0.32,SQuaD-MDS,SQuaD-MDS,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
GLMPCA,0.52,GLMPCA,GLMPCA,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
PaCMAP,0.02,PaCMAP,PaCMAP,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
ParametricUMAP200,0.49,Parametric UMAP 200,UMAP,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
scScope,0.4,scScope,scScope,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
scvis,0.34,scvis,scvis,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
EDGE,0.28,EDGE,EDGE,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
TriMap,0.4,TriMap,TriMap,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
ParametricUMAP50,0.48,Parametric UMAP 50,UMAP,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
DRA,0.02,DRA,DRA,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
SIMLR,0.45,SIMLR,SIMLR,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
SAUCIE,0.22,SAUCIE,SAUCIE,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
PCA,0.47,PCA,PCA,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
PHATE,0.31,PHATE,PHATE,scDesign3,VISIUM,spectral,COMP,metric\cluster\scDesign3\VISIUM\indicators\spectral_COMP.csv
ivis,0.48,IVIS,IVIS,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
scGAE,0.38,scGAE,scGAE,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
VASC,0.53,VASC,VASC,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
scGBM,0.53,scGBM,scGBM,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
SPDR,0.47,SPDR,SPDR,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
pCMF,0.36,pCMF,pCMF,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
SQuaD_MDS_hybrid,0.44,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
SCDRHA,0.24,SCDRHA,SCDRHA,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
TSNE,0.72,t-SNE,t-SNE,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
UMAP,0.51,UMAP,UMAP,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
VAE,0.73,VAE,VAE,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
DREAM,0.02,DREAM,DREAM,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
ZIFA,0.5,ZIFA,ZIFA,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
SSNMDI,0.02,SSNMDI,SSNMDI,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
tGPLVM,0.06,tGPLVM,tGPLVM,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
SQuaD_MDS,0.33,SQuaD-MDS,SQuaD-MDS,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
GLMPCA,0.55,GLMPCA,GLMPCA,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
PaCMAP,0.02,PaCMAP,PaCMAP,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
ParametricUMAP200,0.49,Parametric UMAP 200,UMAP,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
scScope,0.4,scScope,scScope,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
scvis,0.36,scvis,scvis,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
EDGE,0.28,EDGE,EDGE,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
TriMap,0.41,TriMap,TriMap,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
ParametricUMAP50,0.48,Parametric UMAP 50,UMAP,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
DRA,0.02,DRA,DRA,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
SIMLR,0.47,SIMLR,SIMLR,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
SAUCIE,0.23,SAUCIE,SAUCIE,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
PCA,0.49,PCA,PCA,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
PHATE,0.33,PHATE,PHATE,scDesign3,VISIUM,spectral,HOMO,metric\cluster\scDesign3\VISIUM\indicators\spectral_HOMO.csv
ivis,0.47,IVIS,IVIS,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
scGAE,0.38,scGAE,scGAE,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
VASC,0.52,VASC,VASC,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
scGBM,0.51,scGBM,scGBM,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
SPDR,0.47,SPDR,SPDR,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
pCMF,0.35,pCMF,pCMF,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
SQuaD_MDS_hybrid,0.44,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
SCDRHA,0.26,SCDRHA,SCDRHA,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
TSNE,0.72,t-SNE,t-SNE,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
UMAP,0.51,UMAP,UMAP,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
VAE,0.72,VAE,VAE,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
DREAM,0.02,DREAM,DREAM,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
ZIFA,0.48,ZIFA,ZIFA,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
SSNMDI,0.01,SSNMDI,SSNMDI,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
tGPLVM,0.06,tGPLVM,tGPLVM,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
SQuaD_MDS,0.32,SQuaD-MDS,SQuaD-MDS,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
GLMPCA,0.54,GLMPCA,GLMPCA,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
PaCMAP,0.02,PaCMAP,PaCMAP,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
ParametricUMAP200,0.49,Parametric UMAP 200,UMAP,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
scScope,0.4,scScope,scScope,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
scvis,0.35,scvis,scvis,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
EDGE,0.28,EDGE,EDGE,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
TriMap,0.41,TriMap,TriMap,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
ParametricUMAP50,0.48,Parametric UMAP 50,UMAP,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
DRA,0.02,DRA,DRA,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
SIMLR,0.46,SIMLR,SIMLR,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
SAUCIE,0.22,SAUCIE,SAUCIE,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
PCA,0.48,PCA,PCA,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
PHATE,0.32,PHATE,PHATE,scDesign3,VISIUM,spectral,NMI,metric\cluster\scDesign3\VISIUM\indicators\spectral_NMI.csv
ivis,0.36,IVIS,IVIS,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
scGAE,0.29,scGAE,scGAE,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
VASC,0.39,VASC,VASC,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
scGBM,0.33,scGBM,scGBM,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
SPDR,0.4,SPDR,SPDR,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
pCMF,0.3,pCMF,pCMF,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
SQuaD_MDS_hybrid,0.36,SQuaD-MDS hybrid,SQuaD-MDS,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
SCDRHA,0.01,SCDRHA,SCDRHA,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
TSNE,0.38,t-SNE,t-SNE,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
UMAP,0.42,UMAP,UMAP,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
VAE,0.37,VAE,VAE,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
DREAM,0.27,DREAM,DREAM,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
ZIFA,0.31,ZIFA,ZIFA,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
SSNMDI,0.34,SSNMDI,SSNMDI,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
tGPLVM,0.25,tGPLVM,tGPLVM,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
SQuaD_MDS,0.28,SQuaD-MDS,SQuaD-MDS,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
GLMPCA,0.33,GLMPCA,GLMPCA,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
PaCMAP,0.33,PaCMAP,PaCMAP,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
ParametricUMAP200,0.38,Parametric UMAP 200,UMAP,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
scScope,0.35,scScope,scScope,scDesign3,VISIUM,spectral,SIL,metric\cluster\scDesign3\VISIUM\indicators\spectral_SIL.csv
