method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,source_file
SPDR,0.65,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
pCMF,0.27,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
SQuaD_MDS_hybrid,0.56,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
SCDRHA,0.61,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
TSNE,0.59,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
UMAP,0.58,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
VAE,0.6,VAE,VAE,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
DREAM,0.38,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
ZIFA,0.44,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
SSNMDI,0.03,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
tGPLVM,0.28,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
SQuaD_MDS,0.49,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
GLMPCA,0.54,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
PaCMAP,0.03,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
ParametricUMAP200,0.58,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
scScope,0.57,scScope,scScope,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
scvis,0.61,scvis,scvis,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
EDGE,0.35,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
TriMap,0.62,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
ParametricUMAP50,0.59,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
DRA,0.02,DRA,DRA,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
SIMLR,0.64,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
SAUCIE,0.26,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
PCA,0.59,PCA,PCA,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
PHATE,0.63,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
