dataset_dir,dataset_id,parent_method,status,file,label_rows
10x_73k,Zheng-73 k,SAUCIE,completed,results\DRA\10x_73k\SAUCIE_2.csv,73233
10x_73k,Zheng-73 k,scScope,completed,results\DRA\10x_73k\scScope_2.csv,73233
10x_73k,Zheng-73 k,SCDRHA,missing_result,,73233
10x_73k,Zheng-73 k,scGAE,missing_result,,73233
10x_73k,Zheng-73 k,DREAM,missing_result,,73233
10x_73k,Zheng-73 k,DRA,completed,results\DRA\10x_73k\DRA_2.csv,73233
10x_73k,Zheng-73 k,UMAP,completed,results\DRA\10x_73k\UMAP_2.csv,73233
10x_73k,Zheng-73 k,SIMLR,missing_result,,73233
10x_73k,Zheng-73 k,PHATE,completed,results\DRA\10x_73k\PHATE_2.csv,73233
10x_73k,Zheng-73 k,EDGE,completed,results\DRA\10x_73k\EDGE_2.csv,73233
10x_73k,Zheng-73 k,SPDR,completed,results\DRA\10x_73k\SPDR_2.csv,73233
10x_73k,Zheng-73 k,IVIS,completed,results\DRA\10x_73k\ivis_2.csv,73233
10x_73k,Zheng-73 k,PaCMAP,completed,results\DRA\10x_73k\PaCMAP_2.csv,73233
10x_73k,Zheng-73 k,t-SNE,completed,results\DRA\10x_73k\TSNE_2.csv,73233
10x_73k,Zheng-73 k,TriMap,completed,results\DRA\10x_73k\TriMap_2.csv,73233
10x_73k,Zheng-73 k,SQuaD-MDS,completed,results\DRA\10x_73k\SQuaD_MDS_2.csv,73233
