method_id,knn_10,knn_30,nkr_30,aji_30,T_30,C_30,nh_30,svm,panel,random_triplet,spearman,k-nearest,centroid_distance,AUC,Qglobal,Pearson,score,rank,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_20,nh_10,nh_20,nkr_10,nkr_20,source,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value,structure_metric_class,family,family_label,local_score,global_score,structure_mean
DRA,0.278,0.3095,0.0135,0.007,0.5035000000000001,0.503,0.241,0.323,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,,,,,,,,,b_global_heatmap,0.7675000000000001,0.766,0.7384999999999999,0.8795,0.707,0.835,0.7344999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scvis,,,,,,,,,b_global_heatmap,0.764,0.7415,0.75,0.86,0.752,0.842,0.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA,,,,,,,,,b_global_heatmap,0.7075,0.667,0.673,0.8745,0.6575,0.8545,0.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriMap,,,,,,,,,b_global_heatmap,0.7395,0.6645000000000001,0.732,0.8674999999999999,0.6990000000000001,0.828,0.5565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,,,,,,,,,b_global_heatmap,0.7084999999999999,0.6485000000000001,0.6775,0.8594999999999999,0.6815,0.836,0.6145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIFA,,,,,,,,,b_global_heatmap,0.704,0.6665000000000001,0.622,0.796,0.6595,0.8345,0.7155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,,,,,,,,,b_global_heatmap,0.6955,0.552,0.75,0.8525,0.6675,0.802,0.5115000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,,,,,,,,,b_global_heatmap,0.693,0.559,0.707,0.8225,0.6765000000000001,0.769,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,,,,,,,,,b_global_heatmap,0.711,0.552,0.714,0.789,0.7004999999999999,0.7745,0.4495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
