method_id,knn_10,knn_30,nkr_30,aji_30,T_30,C_30,nh_30,svm,panel,random_triplet,spearman,k-nearest,centroid_distance,AUC,Qglobal,Pearson,score,rank,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_20,nh_10,nh_20,nkr_10,nkr_20,source,method_raw,parent_method,metric,raw_metric_value,dataset_category,dataset_id,structure_table,structure_metric_class,family,family_label,local,global,overall_mean,median_rank,q1_rank,q3_rank,mean_structure_score,top3_fraction,dataset_instances,Local,Global,Cluster,local_rank,global_rank,rank_discordance,metric_median,metric_iqr,metric_range,n_metrics
PCA,0.857,0.8365,0.053,0.028,0.6895,0.813,0.765,0.856,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,0.865,0.849,0.0525,0.0275,0.6944999999999999,0.796,0.814,0.868,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,0.2625,0.293,0.015,0.008,0.528,0.5555000000000001,0.242,0.31,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIFA,0.8645,0.8405,0.0525,0.027,0.684,0.793,0.7735000000000001,0.866,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,0.875,0.8714999999999999,0.0545,0.0285,0.6890000000000001,0.8154999999999999,0.826,0.8845000000000001,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,0.25,0.274,0.015,0.008,0.509,0.505,0.229,0.302,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,0.653,0.661,0.0465,0.024,0.642,0.7464999999999999,0.523,0.644,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,0.9315,0.9295,0.081,0.043,0.706,0.7665,0.89,0.926,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scvis,0.505,0.5055000000000001,0.034,0.0175,0.6405000000000001,0.819,0.418,0.532,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,0.8505,0.806,0.0925,0.054,0.7215,0.8405,0.7415,0.832,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,0.3035,0.3455,0.019,0.01,0.5585,0.5175000000000001,0.264,0.364,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scScope,0.5205,0.506,0.037,0.0205,0.6125,0.6094999999999999,0.379,0.51,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,0.854,0.838,0.059,0.032,0.705,0.74,0.788,0.83,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGAE,0.6635,0.6335,0.0325,0.0185,0.6325000000000001,0.577,0.52,0.596,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM,0.5505,0.5609999999999999,0.025,0.013,0.591,0.69,0.429,0.571,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,0.244,0.266,0.015,0.008,0.504,0.5065,0.228,0.2985,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAP,0.944,0.907,0.078,0.0395,0.7004999999999999,0.8294999999999999,0.857,0.904,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,0.9765,0.965,0.0885,0.0575,0.724,0.7484999999999999,0.95,0.9645,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,0.9625,0.955,0.074,0.038,0.718,0.8325,0.936,0.9635,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE,0.878,0.83,0.0605,0.0315,0.69,0.7525,0.74,0.8165,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,0.9765,0.9695,0.099,0.055,0.772,0.833,0.959,0.978,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,0.7585,0.751,0.041,0.0215,0.6745000000000001,0.813,0.693,0.7705,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,0.25,0.274,0.015,0.008,0.5085,0.512,0.229,0.301,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,0.9735,0.961,0.0875,0.047,0.7535000000000001,0.8185,0.932,0.967,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriMap,0.9855,0.9775,0.0925,0.0505,0.77,0.8354999999999999,0.963,0.986,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,0.6445000000000001,0.662,0.035,0.0185,0.6485000000000001,0.809,0.533,0.6655,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA,,,,,,,,,b_global_heatmap,0.6445000000000001,0.4835,0.6,0.8414999999999999,0.6134999999999999,0.762,0.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,,,,,,,,,b_global_heatmap,0.631,0.3515,0.6,0.793,0.6134999999999999,0.7175,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,,,,,,,,,b_global_heatmap,0.5345,0.176,0.306,0.5675,0.5235000000000001,0.792,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIFA,,,,,,,,,b_global_heatmap,0.628,0.356,0.6,0.788,0.608,0.74,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,,,,,,,,,b_global_heatmap,0.63,0.3535,0.618,0.795,0.609,0.722,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,,,,,,,,,b_global_heatmap,0.502,0.012,0.2,0.377,0.501,0.6085,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,,,,,,,,,b_global_heatmap,0.583,0.206,0.5615,0.773,0.574,0.746,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,,,,,,,,,b_global_heatmap,0.588,0.223,0.5,0.6425000000000001,0.5765,0.6545000000000001,0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scvis,,,,,,,,,b_global_heatmap,0.6555,0.497,0.4145,0.6565000000000001,0.625,0.87,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,,,,,,,,,b_global_heatmap,0.6595,0.525,0.7135,0.7995000000000001,0.635,0.8005,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,,,,,,,,,b_global_heatmap,0.5525,0.1865,0.4,0.578,0.542,0.892,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scScope,,,,,,,,,b_global_heatmap,0.555,0.224,0.4525,0.6134999999999999,0.546,0.751,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,,,,,,,,,b_global_heatmap,0.632,0.437,0.5,0.751,0.601,0.787,0.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGAE,,,,,,,,,b_global_heatmap,0.553,0.2055,0.4915,0.636,0.5485,0.788,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM,,,,,,,,,b_global_heatmap,0.5805,0.2585,0.5914999999999999,0.765,0.556,0.76,0.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,,,,,,,,,b_global_heatmap,0.502,0.016,0.333,0.5205,0.501,0.733,0.0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAP,,,,,,,,,b_global_heatmap,0.6045,0.271,0.6,0.753,0.6034999999999999,0.6835,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,,,,,,,,,b_global_heatmap,0.629,0.33,0.444,0.66,0.612,0.696,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,,,,,,,,,b_global_heatmap,0.6085,0.3,0.667,0.807,0.606,0.6955,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE,,,,,,,,,b_global_heatmap,0.5745,0.1735,0.5,0.654,0.5734999999999999,0.6715,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,,,,,,,,,b_global_heatmap,0.613,0.2935,0.6,0.671,0.62,0.6725000000000001,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,,,,,,,,,b_global_heatmap,0.6245,0.3045,0.5805,0.742,0.607,0.723,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,,,,,,,,,b_global_heatmap,0.505,0.006,0.333,0.455,0.5015000000000001,0.659,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,,,,,,,,,b_global_heatmap,0.621,0.323,0.441,0.589,0.608,0.6895,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriMap,,,,,,,,,b_global_heatmap,0.63,0.388,0.655,0.812,0.6255,0.7324999999999999,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,,,,,,,,,b_global_heatmap,0.7424999999999999,0.685,0.6,0.8225,0.667,0.8205,0.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,,,,,,,,,c_local_rank,,,,,,,,0.6091308881853755,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scvis,,,,,,,,,c_local_rank,,,,,,,,0.6070852578513585,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriMap,,,,,,,,,c_local_rank,,,,,,,,0.6032353265399039,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAP,,,,,,,,,c_local_rank,,,,,,,,0.5957865069885228,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,,,,,,,,,c_local_rank,,,,,,,,0.5814595153513493,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,,,,,,,,,c_local_rank,,,,,,,,0.5701726284325269,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,,,,,,,,,c_local_rank,,,,,,,,0.5686017316082013,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,,,,,,,,,c_local_rank,,,,,,,,0.5416193573455529,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,,,,,,,,,c_local_rank,,,,,,,,0.5398925997396424,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,,,,,,,,,c_local_rank,,,,,,,,0.5319997323408233,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,,,,,,,,,c_local_rank,,,,,,,,0.531259778612163,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,,,,,,,,,c_local_rank,,,,,,,,0.522776027319176,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGAE,,,,,,,,,c_local_rank,,,,,,,,0.5220747406710486,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,,,,,,,,,c_local_rank,,,,,,,,0.5075645495937986,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA,,,,,,,,,c_local_rank,,,,,,,,0.5074567132662589,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE,,,,,,,,,c_local_rank,,,,,,,,0.4892786262126192,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIFA,,,,,,,,,c_local_rank,,,,,,,,0.4890121894158761,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,,,,,,,,,c_local_rank,,,,,,,,0.4674015254786871,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM,,,,,,,,,c_local_rank,,,,,,,,0.4449436645114304,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,,,,,,,,,c_local_rank,,,,,,,,0.4427373038422977,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scScope,,,,,,,,,c_local_rank,,,,,,,,0.4413166888137593,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,,,,,,,,,c_local_rank,,,,,,,,0.3867313701561368,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,,,,,,,,,c_local_rank,,,,,,,,0.3639310616077475,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,,,,,,,,,c_local_rank,,,,,,,,0.2954157800739314,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,,,,,,,,,c_local_rank,,,,,,,,0.2755219951340961,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,,,,,,,,,c_local_rank,,,,,,,,0.2032679503681033,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,,,,,,,,,d_global_rank,,,,,,,,0.7864235049042944,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scvis,,,,,,,,,d_global_rank,,,,,,,,0.7353173891085545,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA,,,,,,,,,d_global_rank,,,,,,,,0.7027580770175762,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriMap,,,,,,,,,d_global_rank,,,,,,,,0.6994661169262986,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,,,,,,,,,d_global_rank,,,,,,,,0.6910066925480315,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,,,,,,,,,d_global_rank,,,,,,,,0.6719312442573321,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,,,,,,,,,d_global_rank,,,,,,,,0.6554083269367512,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,,,,,,,,,d_global_rank,,,,,,,,0.651949832821111,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIFA,,,,,,,,,d_global_rank,,,,,,,,0.6401720975632493,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,,,,,,,,,d_global_rank,,,,,,,,0.6376890721367113,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,,,,,,,,,d_global_rank,,,,,,,,0.6367106437112424,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAP,,,,,,,,,d_global_rank,,,,,,,,0.6314566903197647,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,,,,,,,,,d_global_rank,,,,,,,,0.6203183422116902,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,,,,,,,,,d_global_rank,,,,,,,,0.6174676289710875,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,,,,,,,,,d_global_rank,,,,,,,,0.5970260528389916,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGAE,,,,,,,,,d_global_rank,,,,,,,,0.5828678666177501,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM,,,,,,,,,d_global_rank,,,,,,,,0.578288297939532,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,,,,,,,,,d_global_rank,,,,,,,,0.5683413368040419,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scScope,,,,,,,,,d_global_rank,,,,,,,,0.5575111000224625,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,,,,,,,,,d_global_rank,,,,,,,,0.5475500834406869,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,,,,,,,,,d_global_rank,,,,,,,,0.5452973488708297,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE,,,,,,,,,d_global_rank,,,,,,,,0.5180693200922843,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,,,,,,,,,d_global_rank,,,,,,,,0.5055493950178311,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,,,,,,,,,d_global_rank,,,,,,,,0.3666837378551715,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,,,,,,,,,d_global_rank,,,,,,,,0.3241994824966703,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,,,,,,,,,d_global_rank,,,,,,,,0.3012807288211149,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,VASC,VASC,knn_30,0.883,benchmarker,Baron_mouse,dr1,Local,deep generative/autoencoder,deep generative/autoencoder,,,,,,,,,,,,,,,,,,,
ZIFA,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,ZIFA,ZIFA,knn_30,0.791,benchmarker,Baron_mouse,dr1,Local,linear/probabilistic,linear/probabilistic,,,,,,,,,,,,,,,,,,,
DRA,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,DRA,DRA,knn_30,0.471,benchmarker,Baron_mouse,dr1,Local,deep generative/autoencoder,deep generative/autoencoder,,,,,,,,,,,,,,,,,,,
DREAM,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,DREAM,DREAM,knn_30,0.733,benchmarker,Baron_mouse,dr1,Local,deep generative/autoencoder,deep generative/autoencoder,,,,,,,,,,,,,,,,,,,
scvis,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,scvis,scvis,knn_30,0.944,benchmarker,Baron_mouse,dr1,Local,deep generative/autoencoder,deep generative/autoencoder,,,,,,,,,,,,,,,,,,,
VAE,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,VAE,VAE,knn_30,0.961,benchmarker,Baron_mouse,dr1,Local,deep generative/autoencoder,deep generative/autoencoder,,,,,,,,,,,,,,,,,,,
UMAP,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,UMAP,UMAP,knn_30,0.938,benchmarker,Baron_mouse,dr1,Local,graph/diffusion,graph/diffusion,,,,,,,,,,,,,,,,,,,
EDGE,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,EDGE,EDGE,knn_30,0.772,benchmarker,Baron_mouse,dr1,Local,graph/diffusion,graph/diffusion,,,,,,,,,,,,,,,,,,,
GLMPCA,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,GLMPCA,GLMPCA,knn_30,0.884,benchmarker,Baron_mouse,dr1,Local,linear/probabilistic,linear/probabilistic,,,,,,,,,,,,,,,,,,,
IVIS,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,ivis,IVIS,knn_30,0.945,benchmarker,Baron_mouse,dr1,Local,metric/structure-aware,metric/structure-aware,,,,,,,,,,,,,,,,,,,
PaCMAP,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,PaCMAP,PaCMAP,knn_30,0.447,benchmarker,Baron_mouse,dr1,Local,metric/structure-aware,metric/structure-aware,,,,,,,,,,,,,,,,,,,
pCMF,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,pCMF,pCMF,knn_30,0.6,benchmarker,Baron_mouse,dr1,Local,linear/probabilistic,linear/probabilistic,,,,,,,,,,,,,,,,,,,
PHATE,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,PHATE,PHATE,knn_30,0.944,benchmarker,Baron_mouse,dr1,Local,graph/diffusion,graph/diffusion,,,,,,,,,,,,,,,,,,,
SAUCIE,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SAUCIE,SAUCIE,knn_30,0.65,benchmarker,Baron_mouse,dr1,Local,deep generative/autoencoder,deep generative/autoencoder,,,,,,,,,,,,,,,,,,,
SCDRHA,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SCDRHA,SCDRHA,knn_30,0.888,benchmarker,Baron_mouse,dr1,Local,deep generative/autoencoder,deep generative/autoencoder,,,,,,,,,,,,,,,,,,,
scGAE,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,scGAE,scGAE,knn_30,0.856,benchmarker,Baron_mouse,dr1,Local,deep generative/autoencoder,deep generative/autoencoder,,,,,,,,,,,,,,,,,,,
scGBM,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,scGBM,scGBM,knn_30,0.872,benchmarker,Baron_mouse,dr1,Local,linear/probabilistic,linear/probabilistic,,,,,,,,,,,,,,,,,,,
scScope,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,scScope,scScope,knn_30,0.944,benchmarker,Baron_mouse,dr1,Local,deep generative/autoencoder,deep generative/autoencoder,,,,,,,,,,,,,,,,,,,
tGPLVM,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,tGPLVM,tGPLVM,knn_30,0.619,benchmarker,Baron_mouse,dr1,Local,linear/probabilistic,linear/probabilistic,,,,,,,,,,,,,,,,,,,
TriMap,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,TriMap,TriMap,knn_30,0.963,benchmarker,Baron_mouse,dr1,Local,metric/structure-aware,metric/structure-aware,,,,,,,,,,,,,,,,,,,
PCA,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,PCA,PCA,knn_30,0.763,benchmarker,Baron_mouse,dr1,Local,linear/probabilistic,linear/probabilistic,,,,,,,,,,,,,,,,,,,
t-SNE,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,TSNE,t-SNE,knn_30,0.955,benchmarker,Baron_mouse,dr1,Local,metric/structure-aware,metric/structure-aware,,,,,,,,,,,,,,,,,,,
SPDR,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SPDR,SPDR,knn_30,0.971,benchmarker,Baron_mouse,dr1,Local,graph/diffusion,graph/diffusion,,,,,,,,,,,,,,,,,,,
SIMLR,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SIMLR,SIMLR,knn_30,0.965,benchmarker,Baron_mouse,dr1,Local,graph/diffusion,graph/diffusion,,,,,,,,,,,,,,,,,,,
SSNMDI,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SSNMDI,SSNMDI,knn_30,0.451,benchmarker,Baron_mouse,dr1,Local,linear/probabilistic,linear/probabilistic,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,SQuaD_MDS,SQuaD-MDS,knn_30,0.891,benchmarker,Baron_mouse,dr1,Local,metric/structure-aware,metric/structure-aware,,,,,,,,,,,,,,,,,,,
