parent_method,nkr_30,aji_30,T_30,C_30,nh_30,panel,random_triplet,spearman,k-nearest,centroid_distance,Pearson,method_id,score,rank,Macosko,Zheng-68 k,Zheng-73 k,local_score,global_score,structure_mean,large_dataset_completed_n,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_10,knn_20,knn_30,nh_10,nh_20,nkr_10,nkr_20,svm,source,AUC,Qglobal,method_raw,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value
scvis,,,,,,b_global_heatmap,0.758,0.737,0.727,0.858,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,,,,,,b_global_heatmap,0.687,0.545,0.688,0.822,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,,,,,,b_global_heatmap,0.693,0.544,0.75,0.82,0.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,,,,,,b_global_heatmap,0.61,0.3347817497651453,0.556,0.807,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAP,,,,,,b_global_heatmap,0.689,0.533,0.667,0.802,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,,,,,,b_global_heatmap,0.675,0.495,0.718,0.8,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIFA,,,,,,b_global_heatmap,0.701,0.651,0.611,0.795,0.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,,,,,,b_global_heatmap,0.678,0.473,0.636,0.795,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,,,,,,b_global_heatmap,0.654,0.513,0.696,0.791,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM,,,,,,b_global_heatmap,0.6345000000000001,0.46599999999999997,0.634,0.779,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,,,,,,b_global_heatmap,0.708,0.536,0.697,0.775,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,,,,,,b_global_heatmap,0.631,0.469,0.583,0.759,0.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scScope,,,,,,b_global_heatmap,0.617,0.341,0.611,0.735,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGAE,,,,,,b_global_heatmap,0.6285000000000001,0.3645,0.625,0.734,0.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,,,,,,b_global_heatmap,0.644,0.422,0.667,0.722,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,,,,,,b_global_heatmap,0.656,0.487,0.562,0.664,0.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,,,,,,b_global_heatmap,0.6,0.366,0.567,0.651,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE,,,,,,b_global_heatmap,0.588,0.271,0.5,0.614,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,,,,,,b_global_heatmap,0.5974999999999999,0.2775,0.5854999999999999,0.597,0.2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,,,,,,b_global_heatmap,0.516,0.042,0.333,0.479,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,,,,,,b_global_heatmap,0.501,0.003,0.333,0.463,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,,,,,,b_global_heatmap,0.506,0.0248578549804658,0.333,0.422,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,SIMLR,0.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,scvis,0.590657427549079,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,SPDR,0.5820000000000001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,TriMap,0.5766,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,UMAP,0.5696,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,t-SNE,0.5478,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,c_local_rank,,,,,,PHATE,0.5464,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
