method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,family
VASC,0.74,VASC,VASC,benchmarker,Darmanis,spectral,COMP,deep
scGBM,0.67,scGBM,scGBM,benchmarker,Darmanis,spectral,COMP,linear
SPDR,0.67,SPDR,SPDR,benchmarker,Darmanis,spectral,COMP,graph
pCMF,0.25,pCMF,pCMF,benchmarker,Darmanis,spectral,COMP,linear
SQuaD_MDS_hybrid,0.68,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Darmanis,spectral,COMP,metric
SCDRHA,0.64,SCDRHA,SCDRHA,benchmarker,Darmanis,spectral,COMP,deep
TSNE,0.62,t-SNE,t-SNE,benchmarker,Darmanis,spectral,COMP,metric
UMAP,0.73,UMAP,UMAP,benchmarker,Darmanis,spectral,COMP,graph
VAE,0.2,VAE,VAE,benchmarker,Darmanis,spectral,COMP,deep
DREAM,0.73,DREAM,DREAM,benchmarker,Darmanis,spectral,COMP,deep
ZIFA,0.62,ZIFA,ZIFA,benchmarker,Darmanis,spectral,COMP,linear
SSNMDI,0.09,SSNMDI,SSNMDI,benchmarker,Darmanis,spectral,COMP,linear
tGPLVM,0.46,tGPLVM,tGPLVM,benchmarker,Darmanis,spectral,COMP,linear
SQuaD_MDS,0.52,SQuaD-MDS,SQuaD-MDS,benchmarker,Darmanis,spectral,COMP,metric
GLMPCA,0.65,GLMPCA,GLMPCA,benchmarker,Darmanis,spectral,COMP,linear
PaCMAP,0.13,PaCMAP,PaCMAP,benchmarker,Darmanis,spectral,COMP,metric
ParametricUMAP200,0.7,Parametric UMAP 200,UMAP,benchmarker,Darmanis,spectral,COMP,graph
scScope,0.46,scScope,scScope,benchmarker,Darmanis,spectral,COMP,deep
scvis,0.76,scvis,scvis,benchmarker,Darmanis,spectral,COMP,deep
EDGE,0.56,EDGE,EDGE,benchmarker,Darmanis,spectral,COMP,graph
TriMap,0.81,TriMap,TriMap,benchmarker,Darmanis,spectral,COMP,metric
ParametricUMAP50,0.74,Parametric UMAP 50,UMAP,benchmarker,Darmanis,spectral,COMP,graph
DRA,0.04,DRA,DRA,benchmarker,Darmanis,spectral,COMP,deep
SIMLR,0.59,SIMLR,SIMLR,benchmarker,Darmanis,spectral,COMP,graph
SAUCIE,0.12,SAUCIE,SAUCIE,benchmarker,Darmanis,spectral,COMP,deep
PCA,0.47,PCA,PCA,benchmarker,Darmanis,spectral,COMP,linear
PHATE,0.73,PHATE,PHATE,benchmarker,Darmanis,spectral,COMP,graph
ivis,0.8,IVIS,IVIS,benchmarker,Darmanis,spectral,HOMO,metric
scGAE,0.65,scGAE,scGAE,benchmarker,Darmanis,spectral,HOMO,deep
VASC,0.83,VASC,VASC,benchmarker,Darmanis,spectral,HOMO,deep
scGBM,0.76,scGBM,scGBM,benchmarker,Darmanis,spectral,HOMO,linear
SPDR,0.72,SPDR,SPDR,benchmarker,Darmanis,spectral,HOMO,graph
pCMF,0.29,pCMF,pCMF,benchmarker,Darmanis,spectral,HOMO,linear
SQuaD_MDS_hybrid,0.75,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Darmanis,spectral,HOMO,metric
SCDRHA,0.73,SCDRHA,SCDRHA,benchmarker,Darmanis,spectral,HOMO,deep
TSNE,0.67,t-SNE,t-SNE,benchmarker,Darmanis,spectral,HOMO,metric
UMAP,0.79,UMAP,UMAP,benchmarker,Darmanis,spectral,HOMO,graph
VAE,0.23,VAE,VAE,benchmarker,Darmanis,spectral,HOMO,deep
DREAM,0.83,DREAM,DREAM,benchmarker,Darmanis,spectral,HOMO,deep
ZIFA,0.7,ZIFA,ZIFA,benchmarker,Darmanis,spectral,HOMO,linear
SSNMDI,0.1,SSNMDI,SSNMDI,benchmarker,Darmanis,spectral,HOMO,linear
tGPLVM,0.53,tGPLVM,tGPLVM,benchmarker,Darmanis,spectral,HOMO,linear
SQuaD_MDS,0.61,SQuaD-MDS,SQuaD-MDS,benchmarker,Darmanis,spectral,HOMO,metric
GLMPCA,0.74,GLMPCA,GLMPCA,benchmarker,Darmanis,spectral,HOMO,linear
PaCMAP,0.13,PaCMAP,PaCMAP,benchmarker,Darmanis,spectral,HOMO,metric
ParametricUMAP200,0.77,Parametric UMAP 200,UMAP,benchmarker,Darmanis,spectral,HOMO,graph
scScope,0.52,scScope,scScope,benchmarker,Darmanis,spectral,HOMO,deep
scvis,0.82,scvis,scvis,benchmarker,Darmanis,spectral,HOMO,deep
EDGE,0.62,EDGE,EDGE,benchmarker,Darmanis,spectral,HOMO,graph
TriMap,0.79,TriMap,TriMap,benchmarker,Darmanis,spectral,HOMO,metric
ParametricUMAP50,0.81,Parametric UMAP 50,UMAP,benchmarker,Darmanis,spectral,HOMO,graph
DRA,0.04,DRA,DRA,benchmarker,Darmanis,spectral,HOMO,deep
SIMLR,0.66,SIMLR,SIMLR,benchmarker,Darmanis,spectral,HOMO,graph
SAUCIE,0.13,SAUCIE,SAUCIE,benchmarker,Darmanis,spectral,HOMO,deep
PCA,0.52,PCA,PCA,benchmarker,Darmanis,spectral,HOMO,linear
PHATE,0.83,PHATE,PHATE,benchmarker,Darmanis,spectral,HOMO,graph
ivis,0.75,IVIS,IVIS,benchmarker,Darmanis,spectral,NMI,metric
scGAE,0.62,scGAE,scGAE,benchmarker,Darmanis,spectral,NMI,deep
VASC,0.78,VASC,VASC,benchmarker,Darmanis,spectral,NMI,deep
scGBM,0.71,scGBM,scGBM,benchmarker,Darmanis,spectral,NMI,linear
SPDR,0.69,SPDR,SPDR,benchmarker,Darmanis,spectral,NMI,graph
pCMF,0.27,pCMF,pCMF,benchmarker,Darmanis,spectral,NMI,linear
SQuaD_MDS_hybrid,0.72,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Darmanis,spectral,NMI,metric
SCDRHA,0.68,SCDRHA,SCDRHA,benchmarker,Darmanis,spectral,NMI,deep
TSNE,0.64,t-SNE,t-SNE,benchmarker,Darmanis,spectral,NMI,metric
UMAP,0.76,UMAP,UMAP,benchmarker,Darmanis,spectral,NMI,graph
VAE,0.21,VAE,VAE,benchmarker,Darmanis,spectral,NMI,deep
DREAM,0.78,DREAM,DREAM,benchmarker,Darmanis,spectral,NMI,deep
ZIFA,0.66,ZIFA,ZIFA,benchmarker,Darmanis,spectral,NMI,linear
SSNMDI,0.1,SSNMDI,SSNMDI,benchmarker,Darmanis,spectral,NMI,linear
tGPLVM,0.5,tGPLVM,tGPLVM,benchmarker,Darmanis,spectral,NMI,linear
SQuaD_MDS,0.56,SQuaD-MDS,SQuaD-MDS,benchmarker,Darmanis,spectral,NMI,metric
GLMPCA,0.69,GLMPCA,GLMPCA,benchmarker,Darmanis,spectral,NMI,linear
PaCMAP,0.13,PaCMAP,PaCMAP,benchmarker,Darmanis,spectral,NMI,metric
ParametricUMAP200,0.73,Parametric UMAP 200,UMAP,benchmarker,Darmanis,spectral,NMI,graph
scScope,0.49,scScope,scScope,benchmarker,Darmanis,spectral,NMI,deep
scvis,0.79,scvis,scvis,benchmarker,Darmanis,spectral,NMI,deep
EDGE,0.59,EDGE,EDGE,benchmarker,Darmanis,spectral,NMI,graph
TriMap,0.8,TriMap,TriMap,benchmarker,Darmanis,spectral,NMI,metric
ParametricUMAP50,0.78,Parametric UMAP 50,UMAP,benchmarker,Darmanis,spectral,NMI,graph
DRA,0.04,DRA,DRA,benchmarker,Darmanis,spectral,NMI,deep
SIMLR,0.62,SIMLR,SIMLR,benchmarker,Darmanis,spectral,NMI,graph
SAUCIE,0.12,SAUCIE,SAUCIE,benchmarker,Darmanis,spectral,NMI,deep
PCA,0.49,PCA,PCA,benchmarker,Darmanis,spectral,NMI,linear
PHATE,0.78,PHATE,PHATE,benchmarker,Darmanis,spectral,NMI,graph
ivis,0.45,IVIS,IVIS,benchmarker,Darmanis,spectral,SIL,metric
scGAE,0.27,scGAE,scGAE,benchmarker,Darmanis,spectral,SIL,deep
VASC,0.47,VASC,VASC,benchmarker,Darmanis,spectral,SIL,deep
scGBM,0.44,scGBM,scGBM,benchmarker,Darmanis,spectral,SIL,linear
SPDR,0.14,SPDR,SPDR,benchmarker,Darmanis,spectral,SIL,graph
pCMF,0.34,pCMF,pCMF,benchmarker,Darmanis,spectral,SIL,linear
SQuaD_MDS_hybrid,0.47,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Darmanis,spectral,SIL,metric
SCDRHA,0.55,SCDRHA,SCDRHA,benchmarker,Darmanis,spectral,SIL,deep
TSNE,0.26,t-SNE,t-SNE,benchmarker,Darmanis,spectral,SIL,metric
UMAP,0.52,UMAP,UMAP,benchmarker,Darmanis,spectral,SIL,graph
VAE,0.62,VAE,VAE,benchmarker,Darmanis,spectral,SIL,deep
DREAM,0.38,DREAM,DREAM,benchmarker,Darmanis,spectral,SIL,deep
ZIFA,0.4,ZIFA,ZIFA,benchmarker,Darmanis,spectral,SIL,linear
SSNMDI,0.35,SSNMDI,SSNMDI,benchmarker,Darmanis,spectral,SIL,linear
tGPLVM,0.4,tGPLVM,tGPLVM,benchmarker,Darmanis,spectral,SIL,linear
SQuaD_MDS,0.32,SQuaD-MDS,SQuaD-MDS,benchmarker,Darmanis,spectral,SIL,metric
GLMPCA,0.44,GLMPCA,GLMPCA,benchmarker,Darmanis,spectral,SIL,linear
PaCMAP,-0.08,PaCMAP,PaCMAP,benchmarker,Darmanis,spectral,SIL,metric
ParametricUMAP200,0.44,Parametric UMAP 200,UMAP,benchmarker,Darmanis,spectral,SIL,graph
scScope,0.42,scScope,scScope,benchmarker,Darmanis,spectral,SIL,deep
scvis,0.49,scvis,scvis,benchmarker,Darmanis,spectral,SIL,deep
EDGE,0.51,EDGE,EDGE,benchmarker,Darmanis,spectral,SIL,graph
TriMap,0.42,TriMap,TriMap,benchmarker,Darmanis,spectral,SIL,metric
ParametricUMAP50,0.56,Parametric UMAP 50,UMAP,benchmarker,Darmanis,spectral,SIL,graph
DRA,0.49,DRA,DRA,benchmarker,Darmanis,spectral,SIL,deep
SIMLR,0.05,SIMLR,SIMLR,benchmarker,Darmanis,spectral,SIL,graph
SAUCIE,0.51,SAUCIE,SAUCIE,benchmarker,Darmanis,spectral,SIL,deep
PCA,0.29,PCA,PCA,benchmarker,Darmanis,spectral,SIL,linear
PHATE,0.48,PHATE,PHATE,benchmarker,Darmanis,spectral,SIL,graph
ivis,0.24,IVIS,IVIS,benchmarker,Pancreatic,kmeans,ARI,metric
scGAE,0.55,scGAE,scGAE,benchmarker,Pancreatic,kmeans,ARI,deep
VASC,0.31,VASC,VASC,benchmarker,Pancreatic,kmeans,ARI,deep
scGBM,0.44,scGBM,scGBM,benchmarker,Pancreatic,kmeans,ARI,linear
SPDR,0.33,SPDR,SPDR,benchmarker,Pancreatic,kmeans,ARI,graph
pCMF,0.21,pCMF,pCMF,benchmarker,Pancreatic,kmeans,ARI,linear
SQuaD_MDS_hybrid,0.35,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Pancreatic,kmeans,ARI,metric
SCDRHA,0.25,SCDRHA,SCDRHA,benchmarker,Pancreatic,kmeans,ARI,deep
TSNE,0.18,t-SNE,t-SNE,benchmarker,Pancreatic,kmeans,ARI,metric
UMAP,0.54,UMAP,UMAP,benchmarker,Pancreatic,kmeans,ARI,graph
VAE,0.18,VAE,VAE,benchmarker,Pancreatic,kmeans,ARI,deep
DREAM,0.26,DREAM,DREAM,benchmarker,Pancreatic,kmeans,ARI,deep
ZIFA,0.27,ZIFA,ZIFA,benchmarker,Pancreatic,kmeans,ARI,linear
SSNMDI,-0.02,SSNMDI,SSNMDI,benchmarker,Pancreatic,kmeans,ARI,linear
tGPLVM,0.03,tGPLVM,tGPLVM,benchmarker,Pancreatic,kmeans,ARI,linear
SQuaD_MDS,0.34,SQuaD-MDS,SQuaD-MDS,benchmarker,Pancreatic,kmeans,ARI,metric
GLMPCA,0.39,GLMPCA,GLMPCA,benchmarker,Pancreatic,kmeans,ARI,linear
PaCMAP,-0.02,PaCMAP,PaCMAP,benchmarker,Pancreatic,kmeans,ARI,metric
ParametricUMAP200,0.66,Parametric UMAP 200,UMAP,benchmarker,Pancreatic,kmeans,ARI,graph
scScope,0.12,scScope,scScope,benchmarker,Pancreatic,kmeans,ARI,deep
scvis,0.35,scvis,scvis,benchmarker,Pancreatic,kmeans,ARI,deep
EDGE,0.4,EDGE,EDGE,benchmarker,Pancreatic,kmeans,ARI,graph
TriMap,0.66,TriMap,TriMap,benchmarker,Pancreatic,kmeans,ARI,metric
ParametricUMAP50,0.63,Parametric UMAP 50,UMAP,benchmarker,Pancreatic,kmeans,ARI,graph
DRA,-0.03,DRA,DRA,benchmarker,Pancreatic,kmeans,ARI,deep
SIMLR,0.6,SIMLR,SIMLR,benchmarker,Pancreatic,kmeans,ARI,graph
SAUCIE,0.11,SAUCIE,SAUCIE,benchmarker,Pancreatic,kmeans,ARI,deep
PCA,0.33,PCA,PCA,benchmarker,Pancreatic,kmeans,ARI,linear
PHATE,0.31,PHATE,PHATE,benchmarker,Pancreatic,kmeans,ARI,graph
ivis,0.38,IVIS,IVIS,benchmarker,Pancreatic,kmeans,COMP,metric
scGAE,0.69,scGAE,scGAE,benchmarker,Pancreatic,kmeans,COMP,deep
VASC,0.54,VASC,VASC,benchmarker,Pancreatic,kmeans,COMP,deep
scGBM,0.61,scGBM,scGBM,benchmarker,Pancreatic,kmeans,COMP,linear
SPDR,0.73,SPDR,SPDR,benchmarker,Pancreatic,kmeans,COMP,graph
pCMF,0.44,pCMF,pCMF,benchmarker,Pancreatic,kmeans,COMP,linear
SQuaD_MDS_hybrid,0.52,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Pancreatic,kmeans,COMP,metric
SCDRHA,0.53,SCDRHA,SCDRHA,benchmarker,Pancreatic,kmeans,COMP,deep
TSNE,0.34,t-SNE,t-SNE,benchmarker,Pancreatic,kmeans,COMP,metric
UMAP,0.65,UMAP,UMAP,benchmarker,Pancreatic,kmeans,COMP,graph
VAE,0.42,VAE,VAE,benchmarker,Pancreatic,kmeans,COMP,deep
DREAM,0.45,DREAM,DREAM,benchmarker,Pancreatic,kmeans,COMP,deep
ZIFA,0.56,ZIFA,ZIFA,benchmarker,Pancreatic,kmeans,COMP,linear
SSNMDI,0.13,SSNMDI,SSNMDI,benchmarker,Pancreatic,kmeans,COMP,linear
tGPLVM,0.18,tGPLVM,tGPLVM,benchmarker,Pancreatic,kmeans,COMP,linear
SQuaD_MDS,0.49,SQuaD-MDS,SQuaD-MDS,benchmarker,Pancreatic,kmeans,COMP,metric
GLMPCA,0.59,GLMPCA,GLMPCA,benchmarker,Pancreatic,kmeans,COMP,linear
PaCMAP,0.11,PaCMAP,PaCMAP,benchmarker,Pancreatic,kmeans,COMP,metric
ParametricUMAP200,0.77,Parametric UMAP 200,UMAP,benchmarker,Pancreatic,kmeans,COMP,graph
scScope,0.3,scScope,scScope,benchmarker,Pancreatic,kmeans,COMP,deep
scvis,0.73,scvis,scvis,benchmarker,Pancreatic,kmeans,COMP,deep
EDGE,0.56,EDGE,EDGE,benchmarker,Pancreatic,kmeans,COMP,graph
TriMap,0.88,TriMap,TriMap,benchmarker,Pancreatic,kmeans,COMP,metric
ParametricUMAP50,0.73,Parametric UMAP 50,UMAP,benchmarker,Pancreatic,kmeans,COMP,graph
DRA,0.12,DRA,DRA,benchmarker,Pancreatic,kmeans,COMP,deep
SIMLR,0.69,SIMLR,SIMLR,benchmarker,Pancreatic,kmeans,COMP,graph
SAUCIE,0.33,SAUCIE,SAUCIE,benchmarker,Pancreatic,kmeans,COMP,deep
PCA,0.61,PCA,PCA,benchmarker,Pancreatic,kmeans,COMP,linear
PHATE,0.8,PHATE,PHATE,benchmarker,Pancreatic,kmeans,COMP,graph
ivis,0.41,IVIS,IVIS,benchmarker,Pancreatic,kmeans,HOMO,metric
scGAE,0.74,scGAE,scGAE,benchmarker,Pancreatic,kmeans,HOMO,deep
VASC,0.54,VASC,VASC,benchmarker,Pancreatic,kmeans,HOMO,deep
scGBM,0.64,scGBM,scGBM,benchmarker,Pancreatic,kmeans,HOMO,linear
SPDR,0.53,SPDR,SPDR,benchmarker,Pancreatic,kmeans,HOMO,graph
pCMF,0.41,pCMF,pCMF,benchmarker,Pancreatic,kmeans,HOMO,linear
SQuaD_MDS_hybrid,0.55,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Pancreatic,kmeans,HOMO,metric
SCDRHA,0.41,SCDRHA,SCDRHA,benchmarker,Pancreatic,kmeans,HOMO,deep
TSNE,0.36,t-SNE,t-SNE,benchmarker,Pancreatic,kmeans,HOMO,metric
UMAP,0.7,UMAP,UMAP,benchmarker,Pancreatic,kmeans,HOMO,graph
VAE,0.39,VAE,VAE,benchmarker,Pancreatic,kmeans,HOMO,deep
DREAM,0.47,DREAM,DREAM,benchmarker,Pancreatic,kmeans,HOMO,deep
ZIFA,0.53,ZIFA,ZIFA,benchmarker,Pancreatic,kmeans,HOMO,linear
SSNMDI,0.13,SSNMDI,SSNMDI,benchmarker,Pancreatic,kmeans,HOMO,linear
tGPLVM,0.19,tGPLVM,tGPLVM,benchmarker,Pancreatic,kmeans,HOMO,linear
SQuaD_MDS,0.52,SQuaD-MDS,SQuaD-MDS,benchmarker,Pancreatic,kmeans,HOMO,metric
GLMPCA,0.61,GLMPCA,GLMPCA,benchmarker,Pancreatic,kmeans,HOMO,linear
PaCMAP,0.11,PaCMAP,PaCMAP,benchmarker,Pancreatic,kmeans,HOMO,metric
ParametricUMAP200,0.82,Parametric UMAP 200,UMAP,benchmarker,Pancreatic,kmeans,HOMO,graph
scScope,0.31,scScope,scScope,benchmarker,Pancreatic,kmeans,HOMO,deep
scvis,0.55,scvis,scvis,benchmarker,Pancreatic,kmeans,HOMO,deep
EDGE,0.6,EDGE,EDGE,benchmarker,Pancreatic,kmeans,HOMO,graph
TriMap,0.76,TriMap,TriMap,benchmarker,Pancreatic,kmeans,HOMO,metric
ParametricUMAP50,0.77,Parametric UMAP 50,UMAP,benchmarker,Pancreatic,kmeans,HOMO,graph
DRA,0.12,DRA,DRA,benchmarker,Pancreatic,kmeans,HOMO,deep
SIMLR,0.73,SIMLR,SIMLR,benchmarker,Pancreatic,kmeans,HOMO,graph
SAUCIE,0.33,SAUCIE,SAUCIE,benchmarker,Pancreatic,kmeans,HOMO,deep
PCA,0.56,PCA,PCA,benchmarker,Pancreatic,kmeans,HOMO,linear
PHATE,0.51,PHATE,PHATE,benchmarker,Pancreatic,kmeans,HOMO,graph
ivis,0.4,IVIS,IVIS,benchmarker,Pancreatic,kmeans,NMI,metric
scGAE,0.71,scGAE,scGAE,benchmarker,Pancreatic,kmeans,NMI,deep
VASC,0.54,VASC,VASC,benchmarker,Pancreatic,kmeans,NMI,deep
scGBM,0.63,scGBM,scGBM,benchmarker,Pancreatic,kmeans,NMI,linear
SPDR,0.61,SPDR,SPDR,benchmarker,Pancreatic,kmeans,NMI,graph
pCMF,0.42,pCMF,pCMF,benchmarker,Pancreatic,kmeans,NMI,linear
SQuaD_MDS_hybrid,0.53,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Pancreatic,kmeans,NMI,metric
SCDRHA,0.46,SCDRHA,SCDRHA,benchmarker,Pancreatic,kmeans,NMI,deep
TSNE,0.35,t-SNE,t-SNE,benchmarker,Pancreatic,kmeans,NMI,metric
UMAP,0.67,UMAP,UMAP,benchmarker,Pancreatic,kmeans,NMI,graph
VAE,0.4,VAE,VAE,benchmarker,Pancreatic,kmeans,NMI,deep
DREAM,0.45,DREAM,DREAM,benchmarker,Pancreatic,kmeans,NMI,deep
ZIFA,0.55,ZIFA,ZIFA,benchmarker,Pancreatic,kmeans,NMI,linear
SSNMDI,0.13,SSNMDI,SSNMDI,benchmarker,Pancreatic,kmeans,NMI,linear
tGPLVM,0.19,tGPLVM,tGPLVM,benchmarker,Pancreatic,kmeans,NMI,linear
SQuaD_MDS,0.51,SQuaD-MDS,SQuaD-MDS,benchmarker,Pancreatic,kmeans,NMI,metric
GLMPCA,0.6,GLMPCA,GLMPCA,benchmarker,Pancreatic,kmeans,NMI,linear
PaCMAP,0.11,PaCMAP,PaCMAP,benchmarker,Pancreatic,kmeans,NMI,metric
ParametricUMAP200,0.79,Parametric UMAP 200,UMAP,benchmarker,Pancreatic,kmeans,NMI,graph
scScope,0.3,scScope,scScope,benchmarker,Pancreatic,kmeans,NMI,deep
scvis,0.63,scvis,scvis,benchmarker,Pancreatic,kmeans,NMI,deep
EDGE,0.58,EDGE,EDGE,benchmarker,Pancreatic,kmeans,NMI,graph
TriMap,0.81,TriMap,TriMap,benchmarker,Pancreatic,kmeans,NMI,metric
ParametricUMAP50,0.75,Parametric UMAP 50,UMAP,benchmarker,Pancreatic,kmeans,NMI,graph
DRA,0.12,DRA,DRA,benchmarker,Pancreatic,kmeans,NMI,deep
SIMLR,0.71,SIMLR,SIMLR,benchmarker,Pancreatic,kmeans,NMI,graph
SAUCIE,0.33,SAUCIE,SAUCIE,benchmarker,Pancreatic,kmeans,NMI,deep
PCA,0.58,PCA,PCA,benchmarker,Pancreatic,kmeans,NMI,linear
PHATE,0.62,PHATE,PHATE,benchmarker,Pancreatic,kmeans,NMI,graph
ivis,0.42,IVIS,IVIS,benchmarker,Pancreatic,kmeans,SIL,metric
scGAE,0.43,scGAE,scGAE,benchmarker,Pancreatic,kmeans,SIL,deep
VASC,0.46,VASC,VASC,benchmarker,Pancreatic,kmeans,SIL,deep
scGBM,0.56,scGBM,scGBM,benchmarker,Pancreatic,kmeans,SIL,linear
SPDR,0.76,SPDR,SPDR,benchmarker,Pancreatic,kmeans,SIL,graph
pCMF,0.39,pCMF,pCMF,benchmarker,Pancreatic,kmeans,SIL,linear
SQuaD_MDS_hybrid,0.38,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Pancreatic,kmeans,SIL,metric
SCDRHA,0.69,SCDRHA,SCDRHA,benchmarker,Pancreatic,kmeans,SIL,deep
TSNE,0.32,t-SNE,t-SNE,benchmarker,Pancreatic,kmeans,SIL,metric
UMAP,0.54,UMAP,UMAP,benchmarker,Pancreatic,kmeans,SIL,graph
VAE,0.63,VAE,VAE,benchmarker,Pancreatic,kmeans,SIL,deep
DREAM,0.39,DREAM,DREAM,benchmarker,Pancreatic,kmeans,SIL,deep
ZIFA,0.47,ZIFA,ZIFA,benchmarker,Pancreatic,kmeans,SIL,linear
SSNMDI,0.44,SSNMDI,SSNMDI,benchmarker,Pancreatic,kmeans,SIL,linear
tGPLVM,0.52,tGPLVM,tGPLVM,benchmarker,Pancreatic,kmeans,SIL,linear
SQuaD_MDS,0.33,SQuaD-MDS,SQuaD-MDS,benchmarker,Pancreatic,kmeans,SIL,metric
GLMPCA,0.55,GLMPCA,GLMPCA,benchmarker,Pancreatic,kmeans,SIL,linear
PaCMAP,0.69,PaCMAP,PaCMAP,benchmarker,Pancreatic,kmeans,SIL,metric
ParametricUMAP200,0.61,Parametric UMAP 200,UMAP,benchmarker,Pancreatic,kmeans,SIL,graph
scScope,0.32,scScope,scScope,benchmarker,Pancreatic,kmeans,SIL,deep
scvis,0.57,scvis,scvis,benchmarker,Pancreatic,kmeans,SIL,deep
EDGE,0.39,EDGE,EDGE,benchmarker,Pancreatic,kmeans,SIL,graph
TriMap,0.65,TriMap,TriMap,benchmarker,Pancreatic,kmeans,SIL,metric
ParametricUMAP50,0.65,Parametric UMAP 50,UMAP,benchmarker,Pancreatic,kmeans,SIL,graph
DRA,0.39,DRA,DRA,benchmarker,Pancreatic,kmeans,SIL,deep
SIMLR,0.73,SIMLR,SIMLR,benchmarker,Pancreatic,kmeans,SIL,graph
SAUCIE,0.52,SAUCIE,SAUCIE,benchmarker,Pancreatic,kmeans,SIL,deep
PCA,0.4,PCA,PCA,benchmarker,Pancreatic,kmeans,SIL,linear
PHATE,0.84,PHATE,PHATE,benchmarker,Pancreatic,kmeans,SIL,graph
ivis,0.3,IVIS,IVIS,benchmarker,Pancreatic,louvain,ARI,metric
scGAE,0.36,scGAE,scGAE,benchmarker,Pancreatic,louvain,ARI,deep
VASC,0.27,VASC,VASC,benchmarker,Pancreatic,louvain,ARI,deep
scGBM,0.33,scGBM,scGBM,benchmarker,Pancreatic,louvain,ARI,linear
SPDR,0.3,SPDR,SPDR,benchmarker,Pancreatic,louvain,ARI,graph
pCMF,0.25,pCMF,pCMF,benchmarker,Pancreatic,louvain,ARI,linear
SQuaD_MDS_hybrid,0.26,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Pancreatic,louvain,ARI,metric
SCDRHA,0.29,SCDRHA,SCDRHA,benchmarker,Pancreatic,louvain,ARI,deep
TSNE,0.23,t-SNE,t-SNE,benchmarker,Pancreatic,louvain,ARI,metric
UMAP,0.37,UMAP,UMAP,benchmarker,Pancreatic,louvain,ARI,graph
VAE,0.14,VAE,VAE,benchmarker,Pancreatic,louvain,ARI,deep
DREAM,0.3,DREAM,DREAM,benchmarker,Pancreatic,louvain,ARI,deep
ZIFA,0.29,ZIFA,ZIFA,benchmarker,Pancreatic,louvain,ARI,linear
SSNMDI,-0.01,SSNMDI,SSNMDI,benchmarker,Pancreatic,louvain,ARI,linear
tGPLVM,-0.01,tGPLVM,tGPLVM,benchmarker,Pancreatic,louvain,ARI,linear
SQuaD_MDS,0.19,SQuaD-MDS,SQuaD-MDS,benchmarker,Pancreatic,louvain,ARI,metric
GLMPCA,0.25,GLMPCA,GLMPCA,benchmarker,Pancreatic,louvain,ARI,linear
PaCMAP,-0.02,PaCMAP,PaCMAP,benchmarker,Pancreatic,louvain,ARI,metric
ParametricUMAP200,0.41,Parametric UMAP 200,UMAP,benchmarker,Pancreatic,louvain,ARI,graph
scScope,0.04,scScope,scScope,benchmarker,Pancreatic,louvain,ARI,deep
scvis,0.59,scvis,scvis,benchmarker,Pancreatic,louvain,ARI,deep
EDGE,0.28,EDGE,EDGE,benchmarker,Pancreatic,louvain,ARI,graph
TriMap,0.46,TriMap,TriMap,benchmarker,Pancreatic,louvain,ARI,metric
ParametricUMAP50,0.52,Parametric UMAP 50,UMAP,benchmarker,Pancreatic,louvain,ARI,graph
DRA,-0.01,DRA,DRA,benchmarker,Pancreatic,louvain,ARI,deep
SIMLR,0.47,SIMLR,SIMLR,benchmarker,Pancreatic,louvain,ARI,graph
SAUCIE,0.16,SAUCIE,SAUCIE,benchmarker,Pancreatic,louvain,ARI,deep
PCA,0.33,PCA,PCA,benchmarker,Pancreatic,louvain,ARI,linear
PHATE,0.27,PHATE,PHATE,benchmarker,Pancreatic,louvain,ARI,graph
ivis,0.44,IVIS,IVIS,benchmarker,Pancreatic,louvain,COMP,metric
scGAE,0.68,scGAE,scGAE,benchmarker,Pancreatic,louvain,COMP,deep
VASC,0.47,VASC,VASC,benchmarker,Pancreatic,louvain,COMP,deep
scGBM,0.53,scGBM,scGBM,benchmarker,Pancreatic,louvain,COMP,linear
SPDR,0.59,SPDR,SPDR,benchmarker,Pancreatic,louvain,COMP,graph
pCMF,0.52,pCMF,pCMF,benchmarker,Pancreatic,louvain,COMP,linear
SQuaD_MDS_hybrid,0.42,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Pancreatic,louvain,COMP,metric
SCDRHA,0.6,SCDRHA,SCDRHA,benchmarker,Pancreatic,louvain,COMP,deep
TSNE,0.42,t-SNE,t-SNE,benchmarker,Pancreatic,louvain,COMP,metric
UMAP,0.59,UMAP,UMAP,benchmarker,Pancreatic,louvain,COMP,graph
VAE,0.33,VAE,VAE,benchmarker,Pancreatic,louvain,COMP,deep
DREAM,0.46,DREAM,DREAM,benchmarker,Pancreatic,louvain,COMP,deep
ZIFA,0.48,ZIFA,ZIFA,benchmarker,Pancreatic,louvain,COMP,linear
