parent_method,clustering_algorithm,median_ari,family,panel,metric,median_value,dataset_category,dataset_id,ari,ARI,NMI,pearson_r,appearances,fraction,n_top_three_slots,median_rank,q1_rank,q3_rank,top3_fraction,dataset_algorithm_tasks,eligible_task_count,kmeans,louvain,spectral,algorithm_range,algorithm_sd,n_algorithms,median_absolute_gap,q1_absolute_gap,q3_absolute_gap,task_count
SSNMDI,kmeans,,linear,d,,,TI,pair-1,0.01,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,,linear,d,,,TI,pair-1,0.0,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,,linear,d,,,TI,pair-1,0.01,,,,,,,,,,,,,,,,,,,,,,
TriMap,kmeans,,metric,d,,,TI,pair-1,0.31,,,,,,,,,,,,,,,,,,,,,,
TriMap,louvain,,metric,d,,,TI,pair-1,0.02,,,,,,,,,,,,,,,,,,,,,,
TriMap,spectral,,metric,d,,,TI,pair-1,0.28,,,,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,,graph,d,,,TI,pair-1,0.29,,,,,,,,,,,,,,,,,,,,,,
UMAP,louvain,,graph,d,,,TI,pair-1,0.02,,,,,,,,,,,,,,,,,,,,,,
UMAP,spectral,,graph,d,,,TI,pair-1,0.34,,,,,,,,,,,,,,,,,,,,,,
VAE,kmeans,,deep,d,,,TI,pair-1,0.22,,,,,,,,,,,,,,,,,,,,,,
VAE,louvain,,deep,d,,,TI,pair-1,0.02,,,,,,,,,,,,,,,,,,,,,,
VAE,spectral,,deep,d,,,TI,pair-1,0.2,,,,,,,,,,,,,,,,,,,,,,
VASC,kmeans,,deep,d,,,TI,pair-1,0.38,,,,,,,,,,,,,,,,,,,,,,
VASC,louvain,,deep,d,,,TI,pair-1,0.02,,,,,,,,,,,,,,,,,,,,,,
VASC,spectral,,deep,d,,,TI,pair-1,0.24,,,,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,,linear,d,,,TI,pair-1,0.27,,,,,,,,,,,,,,,,,,,,,,
ZIFA,louvain,,linear,d,,,TI,pair-1,0.02,,,,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,,linear,d,,,TI,pair-1,0.17,,,,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,,linear,d,,,TI,pair-1,0.05,,,,,,,,,,,,,,,,,,,,,,
pCMF,louvain,,linear,d,,,TI,pair-1,0.01,,,,,,,,,,,,,,,,,,,,,,
pCMF,spectral,,linear,d,,,TI,pair-1,0.04,,,,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,,deep,d,,,TI,pair-1,0.14,,,,,,,,,,,,,,,,,,,,,,
scGAE,louvain,,deep,d,,,TI,pair-1,0.01,,,,,,,,,,,,,,,,,,,,,,
scGAE,spectral,,deep,d,,,TI,pair-1,0.25,,,,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,,linear,d,,,TI,pair-1,0.38,,,,,,,,,,,,,,,,,,,,,,
scGBM,louvain,,linear,d,,,TI,pair-1,0.02,,,,,,,,,,,,,,,,,,,,,,
scGBM,spectral,,linear,d,,,TI,pair-1,0.25,,,,,,,,,,,,,,,,,,,,,,
scScope,kmeans,,deep,d,,,TI,pair-1,0.14,,,,,,,,,,,,,,,,,,,,,,
scScope,louvain,,deep,d,,,TI,pair-1,0.02,,,,,,,,,,,,,,,,,,,,,,
scScope,spectral,,deep,d,,,TI,pair-1,0.12,,,,,,,,,,,,,,,,,,,,,,
scvis,kmeans,,deep,d,,,TI,pair-1,0.4,,,,,,,,,,,,,,,,,,,,,,
scvis,louvain,,deep,d,,,TI,pair-1,0.02,,,,,,,,,,,,,,,,,,,,,,
scvis,spectral,,deep,d,,,TI,pair-1,0.19,,,,,,,,,,,,,,,,,,,,,,
t-SNE,kmeans,,metric,d,,,TI,pair-1,0.23,,,,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,,metric,d,,,TI,pair-1,0.02,,,,,,,,,,,,,,,,,,,,,,
t-SNE,spectral,,metric,d,,,TI,pair-1,0.37,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,,linear,d,,,TI,pair-1,0.0,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,louvain,,linear,d,,,TI,pair-1,0.0,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,spectral,,linear,d,,,TI,pair-1,0.0,,,,,,,,,,,,,,,,,,,,,,
DRA,kmeans,,deep,d,,,TI,pair-2,-0.0,,,,,,,,,,,,,,,,,,,,,,
DRA,louvain,,deep,d,,,TI,pair-2,-0.0,,,,,,,,,,,,,,,,,,,,,,
DRA,spectral,,deep,d,,,TI,pair-2,-0.0,,,,,,,,,,,,,,,,,,,,,,
DREAM,kmeans,,deep,d,,,TI,pair-2,0.03,,,,,,,,,,,,,,,,,,,,,,
DREAM,louvain,,deep,d,,,TI,pair-2,0.0,,,,,,,,,,,,,,,,,,,,,,
DREAM,spectral,,deep,d,,,TI,pair-2,0.02,,,,,,,,,,,,,,,,,,,,,,
EDGE,kmeans,,graph,d,,,TI,pair-2,0.01,,,,,,,,,,,,,,,,,,,,,,
EDGE,louvain,,graph,d,,,TI,pair-2,0.0,,,,,,,,,,,,,,,,,,,,,,
EDGE,spectral,,graph,d,,,TI,pair-2,0.02,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,kmeans,,linear,d,,,TI,pair-2,0.24,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,louvain,,linear,d,,,TI,pair-2,0.02,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,spectral,,linear,d,,,TI,pair-2,0.14,,,,,,,,,,,,,,,,,,,,,,
IVIS,kmeans,,metric,d,,,TI,pair-2,0.08,,,,,,,,,,,,,,,,,,,,,,
IVIS,louvain,,metric,d,,,TI,pair-2,0.01,,,,,,,,,,,,,,,,,,,,,,
IVIS,spectral,,metric,d,,,TI,pair-2,0.06,,,,,,,,,,,,,,,,,,,,,,
PCA,kmeans,,linear,d,,,TI,pair-2,0.48,,,,,,,,,,,,,,,,,,,,,,
PCA,louvain,,linear,d,,,TI,pair-2,0.01,,,,,,,,,,,,,,,,,,,,,,
PCA,spectral,,linear,d,,,TI,pair-2,0.14,,,,,,,,,,,,,,,,,,,,,,
PHATE,kmeans,,graph,d,,,TI,pair-2,0.15,,,,,,,,,,,,,,,,,,,,,,
PHATE,louvain,,graph,d,,,TI,pair-2,0.02,,,,,,,,,,,,,,,,,,,,,,
PHATE,spectral,,graph,d,,,TI,pair-2,0.1,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,kmeans,,metric,d,,,TI,pair-2,-0.0,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,louvain,,metric,d,,,TI,pair-2,0.0,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,spectral,,metric,d,,,TI,pair-2,0.0,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,kmeans,,deep,d,,,TI,pair-2,0.0,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,louvain,,deep,d,,,TI,pair-2,0.0,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,spectral,,deep,d,,,TI,pair-2,0.0,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,kmeans,,deep,d,,,TI,pair-2,0.12,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,louvain,,deep,d,,,TI,pair-2,0.02,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,spectral,,deep,d,,,TI,pair-2,0.09,,,,,,,,,,,,,,,,,,,,,,
SPDR,kmeans,,graph,d,,,TI,pair-2,0.13,,,,,,,,,,,,,,,,,,,,,,
SPDR,louvain,,graph,d,,,TI,pair-2,0.02,,,,,,,,,,,,,,,,,,,,,,
SPDR,spectral,,graph,d,,,TI,pair-2,0.14,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,kmeans,,metric,d,,,TI,pair-2,0.095,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,louvain,,metric,d,,,TI,pair-2,0.01,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,spectral,,metric,d,,,TI,pair-2,0.07,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,kmeans,,linear,d,,,TI,pair-2,0.01,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,,linear,d,,,TI,pair-2,0.0,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,,linear,d,,,TI,pair-2,0.01,,,,,,,,,,,,,,,,,,,,,,
TriMap,kmeans,,metric,d,,,TI,pair-2,0.14,,,,,,,,,,,,,,,,,,,,,,
TriMap,louvain,,metric,d,,,TI,pair-2,0.02,,,,,,,,,,,,,,,,,,,,,,
TriMap,spectral,,metric,d,,,TI,pair-2,0.13,,,,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,,graph,d,,,TI,pair-2,0.06,,,,,,,,,,,,,,,,,,,,,,
UMAP,louvain,,graph,d,,,TI,pair-2,0.01,,,,,,,,,,,,,,,,,,,,,,
UMAP,spectral,,graph,d,,,TI,pair-2,0.06,,,,,,,,,,,,,,,,,,,,,,
VAE,kmeans,,deep,d,,,TI,pair-2,0.14,,,,,,,,,,,,,,,,,,,,,,
VAE,louvain,,deep,d,,,TI,pair-2,0.02,,,,,,,,,,,,,,,,,,,,,,
VAE,spectral,,deep,d,,,TI,pair-2,0.14,,,,,,,,,,,,,,,,,,,,,,
VASC,kmeans,,deep,d,,,TI,pair-2,0.26,,,,,,,,,,,,,,,,,,,,,,
VASC,louvain,,deep,d,,,TI,pair-2,0.02,,,,,,,,,,,,,,,,,,,,,,
VASC,spectral,,deep,d,,,TI,pair-2,0.14,,,,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,,linear,d,,,TI,pair-2,0.19,,,,,,,,,,,,,,,,,,,,,,
ZIFA,louvain,,linear,d,,,TI,pair-2,0.01,,,,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,,linear,d,,,TI,pair-2,0.08,,,,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,,linear,d,,,TI,pair-2,0.04,,,,,,,,,,,,,,,,,,,,,,
pCMF,louvain,,linear,d,,,TI,pair-2,0.0,,,,,,,,,,,,,,,,,,,,,,
pCMF,spectral,,linear,d,,,TI,pair-2,0.02,,,,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,,deep,d,,,TI,pair-2,0.04,,,,,,,,,,,,,,,,,,,,,,
scGAE,louvain,,deep,d,,,TI,pair-2,0.01,,,,,,,,,,,,,,,,,,,,,,
scGAE,spectral,,deep,d,,,TI,pair-2,-0.0,,,,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,,linear,d,,,TI,pair-2,0.29,,,,,,,,,,,,,,,,,,,,,,
scGBM,louvain,,linear,d,,,TI,pair-2,0.02,,,,,,,,,,,,,,,,,,,,,,
scGBM,spectral,,linear,d,,,TI,pair-2,0.16,,,,,,,,,,,,,,,,,,,,,,
scScope,kmeans,,deep,d,,,TI,pair-2,0.06,,,,,,,,,,,,,,,,,,,,,,
scScope,louvain,,deep,d,,,TI,pair-2,0.01,,,,,,,,,,,,,,,,,,,,,,
scScope,spectral,,deep,d,,,TI,pair-2,0.06,,,,,,,,,,,,,,,,,,,,,,
scvis,kmeans,,deep,d,,,TI,pair-2,0.26,,,,,,,,,,,,,,,,,,,,,,
scvis,louvain,,deep,d,,,TI,pair-2,0.01,,,,,,,,,,,,,,,,,,,,,,
scvis,spectral,,deep,d,,,TI,pair-2,0.07,,,,,,,,,,,,,,,,,,,,,,
t-SNE,kmeans,,metric,d,,,TI,pair-2,0.19,,,,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,,metric,d,,,TI,pair-2,0.06,,,,,,,,,,,,,,,,,,,,,,
t-SNE,spectral,,metric,d,,,TI,pair-2,0.21,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,,linear,d,,,TI,pair-2,0.02,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,louvain,,linear,d,,,TI,pair-2,0.0,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,spectral,,linear,d,,,TI,pair-2,0.01,,,,,,,,,,,,,,,,,,,,,,
DRA,kmeans,,deep,d,,,TI,pair-3,-0.0,,,,,,,,,,,,,,,,,,,,,,
DRA,louvain,,deep,d,,,TI,pair-3,0.0,,,,,,,,,,,,,,,,,,,,,,
DRA,spectral,,deep,d,,,TI,pair-3,0.0,,,,,,,,,,,,,,,,,,,,,,
DREAM,kmeans,,deep,d,,,TI,pair-3,0.16,,,,,,,,,,,,,,,,,,,,,,
DREAM,louvain,,deep,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
DREAM,spectral,,deep,d,,,TI,pair-3,0.1,,,,,,,,,,,,,,,,,,,,,,
EDGE,kmeans,,graph,d,,,TI,pair-3,0.06,,,,,,,,,,,,,,,,,,,,,,
EDGE,louvain,,graph,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
EDGE,spectral,,graph,d,,,TI,pair-3,0.05,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,kmeans,,linear,d,,,TI,pair-3,0.23,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,louvain,,linear,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,spectral,,linear,d,,,TI,pair-3,0.14,,,,,,,,,,,,,,,,,,,,,,
IVIS,kmeans,,metric,d,,,TI,pair-3,0.11,,,,,,,,,,,,,,,,,,,,,,
IVIS,louvain,,metric,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
IVIS,spectral,,metric,d,,,TI,pair-3,0.09,,,,,,,,,,,,,,,,,,,,,,
PCA,kmeans,,linear,d,,,TI,pair-3,0.75,,,,,,,,,,,,,,,,,,,,,,
PCA,louvain,,linear,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
PCA,spectral,,linear,d,,,TI,pair-3,0.13,,,,,,,,,,,,,,,,,,,,,,
PHATE,kmeans,,graph,d,,,TI,pair-3,0.2,,,,,,,,,,,,,,,,,,,,,,
PHATE,louvain,,graph,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
PHATE,spectral,,graph,d,,,TI,pair-3,0.13,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,kmeans,,metric,d,,,TI,pair-3,0.02,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,louvain,,metric,d,,,TI,pair-3,0.0,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,spectral,,metric,d,,,TI,pair-3,0.02,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,kmeans,,deep,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,louvain,,deep,d,,,TI,pair-3,0.0,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,spectral,,deep,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,kmeans,,deep,d,,,TI,pair-3,0.16,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,louvain,,deep,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,spectral,,deep,d,,,TI,pair-3,0.1,,,,,,,,,,,,,,,,,,,,,,
SPDR,kmeans,,graph,d,,,TI,pair-3,0.16,,,,,,,,,,,,,,,,,,,,,,
SPDR,louvain,,graph,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
SPDR,spectral,,graph,d,,,TI,pair-3,0.11,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,kmeans,,metric,d,,,TI,pair-3,0.10500000000000001,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,louvain,,metric,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,spectral,,metric,d,,,TI,pair-3,0.08,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,kmeans,,linear,d,,,TI,pair-3,0.0,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,,linear,d,,,TI,pair-3,0.0,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,,linear,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
TriMap,kmeans,,metric,d,,,TI,pair-3,0.16,,,,,,,,,,,,,,,,,,,,,,
TriMap,louvain,,metric,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
TriMap,spectral,,metric,d,,,TI,pair-3,0.18,,,,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,,graph,d,,,TI,pair-3,0.08,,,,,,,,,,,,,,,,,,,,,,
UMAP,louvain,,graph,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
UMAP,spectral,,graph,d,,,TI,pair-3,0.14,,,,,,,,,,,,,,,,,,,,,,
VAE,kmeans,,deep,d,,,TI,pair-3,0.11,,,,,,,,,,,,,,,,,,,,,,
VAE,louvain,,deep,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
VAE,spectral,,deep,d,,,TI,pair-3,0.13,,,,,,,,,,,,,,,,,,,,,,
VASC,kmeans,,deep,d,,,TI,pair-3,0.28,,,,,,,,,,,,,,,,,,,,,,
VASC,louvain,,deep,d,,,TI,pair-3,0.02,,,,,,,,,,,,,,,,,,,,,,
VASC,spectral,,deep,d,,,TI,pair-3,0.15,,,,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,,linear,d,,,TI,pair-3,0.2,,,,,,,,,,,,,,,,,,,,,,
ZIFA,louvain,,linear,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,,linear,d,,,TI,pair-3,0.08,,,,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,,linear,d,,,TI,pair-3,0.05,,,,,,,,,,,,,,,,,,,,,,
pCMF,louvain,,linear,d,,,TI,pair-3,0.0,,,,,,,,,,,,,,,,,,,,,,
pCMF,spectral,,linear,d,,,TI,pair-3,0.02,,,,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,,deep,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
scGAE,louvain,,deep,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
scGAE,spectral,,deep,d,,,TI,pair-3,-0.0,,,,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,,linear,d,,,TI,pair-3,0.25,,,,,,,,,,,,,,,,,,,,,,
scGBM,louvain,,linear,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
scGBM,spectral,,linear,d,,,TI,pair-3,0.14,,,,,,,,,,,,,,,,,,,,,,
scScope,kmeans,,deep,d,,,TI,pair-3,0.06,,,,,,,,,,,,,,,,,,,,,,
scScope,louvain,,deep,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
scScope,spectral,,deep,d,,,TI,pair-3,0.05,,,,,,,,,,,,,,,,,,,,,,
scvis,kmeans,,deep,d,,,TI,pair-3,0.25,,,,,,,,,,,,,,,,,,,,,,
scvis,louvain,,deep,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
scvis,spectral,,deep,d,,,TI,pair-3,0.06,,,,,,,,,,,,,,,,,,,,,,
t-SNE,kmeans,,metric,d,,,TI,pair-3,0.16,,,,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,,metric,d,,,TI,pair-3,0.02,,,,,,,,,,,,,,,,,,,,,,
t-SNE,spectral,,metric,d,,,TI,pair-3,0.18,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,,linear,d,,,TI,pair-3,0.03,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,louvain,,linear,d,,,TI,pair-3,0.0,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,spectral,,linear,d,,,TI,pair-3,0.01,,,,,,,,,,,,,,,,,,,,,,
DRA,kmeans,,deep,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
DRA,louvain,,deep,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
DRA,spectral,,deep,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
DREAM,kmeans,,deep,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
DREAM,louvain,,deep,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
DREAM,spectral,,deep,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
EDGE,kmeans,,graph,d,,,TI,pair-4,-0.0,,,,,,,,,,,,,,,,,,,,,,
EDGE,louvain,,graph,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
EDGE,spectral,,graph,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,kmeans,,linear,d,,,TI,pair-4,0.18,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,louvain,,linear,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,spectral,,linear,d,,,TI,pair-4,0.1,,,,,,,,,,,,,,,,,,,,,,
IVIS,kmeans,,metric,d,,,TI,pair-4,0.02,,,,,,,,,,,,,,,,,,,,,,
IVIS,louvain,,metric,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
IVIS,spectral,,metric,d,,,TI,pair-4,0.02,,,,,,,,,,,,,,,,,,,,,,
PCA,kmeans,,linear,d,,,TI,pair-4,0.25,,,,,,,,,,,,,,,,,,,,,,
PCA,louvain,,linear,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
PCA,spectral,,linear,d,,,TI,pair-4,0.09,,,,,,,,,,,,,,,,,,,,,,
PHATE,kmeans,,graph,d,,,TI,pair-4,0.07,,,,,,,,,,,,,,,,,,,,,,
PHATE,louvain,,graph,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
PHATE,spectral,,graph,d,,,TI,pair-4,0.05,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,kmeans,,metric,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,louvain,,metric,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,spectral,,metric,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,kmeans,,deep,d,,,TI,pair-4,0.02,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,louvain,,deep,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,spectral,,deep,d,,,TI,pair-4,0.02,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,kmeans,,deep,d,,,TI,pair-4,0.05,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,louvain,,deep,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,spectral,,deep,d,,,TI,pair-4,0.05,,,,,,,,,,,,,,,,,,,,,,
SPDR,kmeans,,graph,d,,,TI,pair-4,0.06,,,,,,,,,,,,,,,,,,,,,,
SPDR,louvain,,graph,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
SPDR,spectral,,graph,d,,,TI,pair-4,0.07,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,kmeans,,metric,d,,,TI,pair-4,0.07,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,louvain,,metric,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,spectral,,metric,d,,,TI,pair-4,0.045,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,kmeans,,linear,d,,,TI,pair-4,0.02,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,,linear,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,,linear,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
TriMap,kmeans,,metric,d,,,TI,pair-4,0.11,,,,,,,,,,,,,,,,,,,,,,
TriMap,louvain,,metric,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
TriMap,spectral,,metric,d,,,TI,pair-4,0.11,,,,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,,graph,d,,,TI,pair-4,0.02,,,,,,,,,,,,,,,,,,,,,,
UMAP,louvain,,graph,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
UMAP,spectral,,graph,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
VAE,kmeans,,deep,d,,,TI,pair-4,0.07,,,,,,,,,,,,,,,,,,,,,,
VAE,louvain,,deep,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
VAE,spectral,,deep,d,,,TI,pair-4,0.09,,,,,,,,,,,,,,,,,,,,,,
VASC,kmeans,,deep,d,,,TI,pair-4,0.22,,,,,,,,,,,,,,,,,,,,,,
VASC,louvain,,deep,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
VASC,spectral,,deep,d,,,TI,pair-4,0.11,,,,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,,linear,d,,,TI,pair-4,0.18,,,,,,,,,,,,,,,,,,,,,,
ZIFA,louvain,,linear,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,,linear,d,,,TI,pair-4,0.07,,,,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,,linear,d,,,TI,pair-4,0.04,,,,,,,,,,,,,,,,,,,,,,
pCMF,louvain,,linear,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
pCMF,spectral,,linear,d,,,TI,pair-4,0.02,,,,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,,deep,d,,,TI,pair-4,0.03,,,,,,,,,,,,,,,,,,,,,,
scGAE,louvain,,deep,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
scGAE,spectral,,deep,d,,,TI,pair-4,0.08,,,,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,,linear,d,,,TI,pair-4,0.21,,,,,,,,,,,,,,,,,,,,,,
scGBM,louvain,,linear,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
scGBM,spectral,,linear,d,,,TI,pair-4,0.11,,,,,,,,,,,,,,,,,,,,,,
scScope,kmeans,,deep,d,,,TI,pair-4,0.06,,,,,,,,,,,,,,,,,,,,,,
scScope,louvain,,deep,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
scScope,spectral,,deep,d,,,TI,pair-4,0.04,,,,,,,,,,,,,,,,,,,,,,
scvis,kmeans,,deep,d,,,TI,pair-4,0.13,,,,,,,,,,,,,,,,,,,,,,
scvis,louvain,,deep,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
scvis,spectral,,deep,d,,,TI,pair-4,0.06,,,,,,,,,,,,,,,,,,,,,,
t-SNE,kmeans,,metric,d,,,TI,pair-4,0.09,,,,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,,metric,d,,,TI,pair-4,0.02,,,,,,,,,,,,,,,,,,,,,,
t-SNE,spectral,,metric,d,,,TI,pair-4,0.14,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,,linear,d,,,TI,pair-4,0.03,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,louvain,,linear,d,,,TI,pair-4,0.0,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,spectral,,linear,d,,,TI,pair-4,0.01,,,,,,,,,,,,,,,,,,,,,,
DRA,kmeans,,deep,d,,,TI,parenchyme,-0.0,,,,,,,,,,,,,,,,,,,,,,
DRA,louvain,,deep,d,,,TI,parenchyme,-0.0,,,,,,,,,,,,,,,,,,,,,,
