parent_method,clustering_algorithm,median_ari,family,panel,metric,median_value,dataset_category,dataset_id,ari,ARI,NMI,pearson_r,appearances,fraction,n_top_three_slots,median_rank,q1_rank,q3_rank,top3_fraction,dataset_algorithm_tasks,eligible_task_count,kmeans,louvain,spectral,algorithm_range,algorithm_sd,n_algorithms,median_absolute_gap,q1_absolute_gap,q3_absolute_gap,task_count
ZIFA,louvain,0.12,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,louvain,0.15000000000000002,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,0.0,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,louvain,0.01,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,louvain,0.11499999999999999,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
scvis,louvain,0.14500000000000002,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,louvain,0.125,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,louvain,0.055,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
scScope,louvain,0.06,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,louvain,0.10500000000000001,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGAE,louvain,0.08499999999999999,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM,louvain,0.085,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,louvain,0.0,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAP,louvain,0.11499999999999999,graph,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,louvain,0.18,graph,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,louvain,0.13,graph,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE,louvain,0.09,graph,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,louvain,0.135,graph,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,louvain,0.155,metric,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,louvain,0.0,metric,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,0.16999999999999998,metric,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriMap,louvain,0.13,metric,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,louvain,0.11,metric,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kmeans,,,c,ARI,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
,kmeans,,,c,NMI,0.46,,,,,,,,,,,,,,,,,,,,,,,,,
,kmeans,,,c,COMP,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
,kmeans,,,c,HOMO,0.48,,,,,,,,,,,,,,,,,,,,,,,,,
,kmeans,,,c,SIL,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,spectral,,,c,ARI,0.27,,,,,,,,,,,,,,,,,,,,,,,,,
,spectral,,,c,NMI,0.44,,,,,,,,,,,,,,,,,,,,,,,,,
,spectral,,,c,COMP,0.41,,,,,,,,,,,,,,,,,,,,,,,,,
,spectral,,,c,HOMO,0.48,,,,,,,,,,,,,,,,,,,,,,,,,
,spectral,,,c,SIL,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
,louvain,,,c,ARI,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,louvain,,,c,NMI,0.36,,,,,,,,,,,,,,,,,,,,,,,,,
,louvain,,,c,COMP,0.27,,,,,,,,,,,,,,,,,,,,,,,,,
,louvain,,,c,HOMO,0.59,,,,,,,,,,,,,,,,,,,,,,,,,
,louvain,,,c,SIL,0.32,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,kmeans,,deep,d,,,SIMLR,Pollen,-0.0,,,,,,,,,,,,,,,,,,,,,,
DRA,louvain,,deep,d,,,SIMLR,Pollen,0.0,,,,,,,,,,,,,,,,,,,,,,
DRA,spectral,,deep,d,,,SIMLR,Pollen,0.0,,,,,,,,,,,,,,,,,,,,,,
DREAM,kmeans,,deep,d,,,SIMLR,Pollen,0.85,,,,,,,,,,,,,,,,,,,,,,
