method_id,appearances,family_short,method_order
TriMap,6,metric,25
UMAP,4,graph,17
PHATE,3,graph,19
SPDR,3,graph,21
t-SNE,3,metric,24
PCA,2,linear,1
SQuaD-MDS,2,metric,26
GLMPCA,1,linear,2
scGBM,1,linear,5
pCMF,0,linear,3
ZIFA,0,linear,4
SSNMDI,0,linear,6
tGPLVM,0,linear,7
VAE,0,deep,8
scvis,0,deep,9
VASC,0,deep,10
SAUCIE,0,deep,11
scScope,0,deep,12
SCDRHA,0,deep,13
scGAE,0,deep,14
DREAM,0,deep,15
DRA,0,deep,16
SIMLR,0,graph,18
EDGE,0,graph,20
IVIS,0,metric,22
PaCMAP,0,metric,23
