method_id,100,500,1000,2000,5000,10000,20000,30000,50000,73233
PCA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GLMPCA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pCMF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZIFA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSNMDI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
tGPLVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VAE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scvis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VASC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SAUCIE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scScope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SCDRHA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
scGAE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
DREAM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
DRA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UMAP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIMLR,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
PHATE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EDGE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SPDR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IVIS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PaCMAP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
t-SNE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TriMap,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SQuaD-MDS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
