method_raw,method_id,parent_method,n_cells,peak_memory_gb,runtime_seconds,source,method,language,role,install_channel,package_or_repo,environment,status,notes,commit,family_short,method_order
PaCMAP,PaCMAP,PaCMAP,10000,0.491,20.8543,efficiency,,,,,,,,,,metric,23
DREAM,DREAM,DREAM,10000,2.193,403.4404,efficiency,,,,,,,,,,deep,15
scvis,scvis,scvis,10000,0.596,2013.3169,efficiency,,,,,,,,,,deep,9
PCA,PCA,PCA,10000,0.492,2.47,efficiency,,,,,,,,,,linear,1
t-SNE,t-SNE,t-SNE,10000,0.506,33.049,efficiency,,,,,,,,,,metric,24
GLMPCA,GLMPCA,GLMPCA,10000,0.628,102.51,efficiency,,,,,,,,,,linear,2
scGBM,scGBM,scGBM,10000,0.894,76.37,efficiency,,,,,,,,,,linear,5
EDGE,EDGE,EDGE,10000,4.131,292.73,efficiency,,,,,,,,,,graph,20
tGPLVM,tGPLVM,tGPLVM,10000,0.666,180.091,efficiency,,,,,,,,,,linear,7
pCMF,pCMF,pCMF,10000,0.783,2730.309,efficiency,,,,,,,,,,linear,3
SSNMDI,SSNMDI,SSNMDI,10000,3.108,1329.4604,efficiency,,,,,,,,,,linear,6
SAUCIE,SAUCIE,SAUCIE,2000,0.32,2.1064,efficiency,,,,,,,,,,deep,11
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,2000,0.296,18.0011,efficiency,,,,,,,,,,metric,26
UMAP,UMAP,UMAP,2000,0.776,10.9978,efficiency,,,,,,,,,,graph,17
SCDRHA,SCDRHA,SCDRHA,2000,1.355,34.2379,efficiency,,,,,,,,,,deep,13
scGAE,scGAE,scGAE,2000,1.319,21.4132,efficiency,,,,,,,,,,deep,14
VASC,VASC,VASC,2000,0.41,616.4961,efficiency,,,,,,,,,,deep,10
PHATE,PHATE,PHATE,2000,0.401,11.9533,efficiency,,,,,,,,,,graph,19
DRA,DRA,DRA,2000,0.439,191.9577,efficiency,,,,,,,,,,deep,16
VAE,VAE,VAE,2000,0.625,56.8094,efficiency,,,,,,,,,,deep,8
ivis,IVIS,IVIS,2000,0.675,6.929,efficiency,,,,,,,,,,metric,22
ZIFA,ZIFA,ZIFA,2000,0.412,250.878,efficiency,,,,,,,,,,linear,4
scScope,scScope,scScope,2000,0.647,54.3729,efficiency,,,,,,,,,,deep,12
TriMap,TriMap,TriMap,2000,0.305,3.2175,efficiency,,,,,,,,,,metric,25
SPDR,SPDR,SPDR,2000,0.464,33.7356,efficiency,,,,,,,,,,graph,21
PaCMAP,PaCMAP,PaCMAP,2000,0.287,4.0356,efficiency,,,,,,,,,,metric,23
DREAM,DREAM,DREAM,2000,1.132,119.4392,efficiency,,,,,,,,,,deep,15
scvis,scvis,scvis,2000,0.308,1911.1657,efficiency,,,,,,,,,,deep,9
PCA,PCA,PCA,2000,0.151,0.672,efficiency,,,,,,,,,,linear,1
t-SNE,t-SNE,t-SNE,2000,0.168,5.787,efficiency,,,,,,,,,,metric,24
GLMPCA,GLMPCA,GLMPCA,2000,0.236,15.841,efficiency,,,,,,,,,,linear,2
scGBM,scGBM,scGBM,2000,0.382,11.398,efficiency,,,,,,,,,,linear,5
SIMLR,SIMLR,SIMLR,2000,6.936,859.031,efficiency,,,,,,,,,,graph,18
EDGE,EDGE,EDGE,2000,2.927,20.817,efficiency,,,,,,,,,,graph,20
tGPLVM,tGPLVM,tGPLVM,2000,0.599,185.2611,efficiency,,,,,,,,,,linear,7
pCMF,pCMF,pCMF,2000,0.241,655.566,efficiency,,,,,,,,,,linear,3
SSNMDI,SSNMDI,SSNMDI,2000,1.623,78.2039,efficiency,,,,,,,,,,linear,6
SAUCIE,SAUCIE,SAUCIE,20000,0.503,2.4304,efficiency,,,,,,,,,,deep,11
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,20000,0.666,219.9959,efficiency,,,,,,,,,,metric,26
UMAP,UMAP,UMAP,20000,1.339,21.0645,efficiency,,,,,,,,,,graph,17
SCDRHA,SCDRHA,SCDRHA,20000,51.777,1523.0705,efficiency,,,,,,,,,,deep,13
scGAE,scGAE,scGAE,20000,32.544,1454.8681,efficiency,,,,,,,,,,deep,14
VASC,VASC,VASC,20000,1.353,6868.5756,efficiency,,,,,,,,,,deep,10
PHATE,PHATE,PHATE,20000,0.831,50.7408,efficiency,,,,,,,,,,graph,19
DRA,DRA,DRA,20000,0.787,1953.9418,efficiency,,,,,,,,,,deep,16
VAE,VAE,VAE,20000,1.24,556.369,efficiency,,,,,,,,,,deep,8
ivis,IVIS,IVIS,20000,0.904,55.6686,efficiency,,,,,,,,,,metric,22
ZIFA,ZIFA,ZIFA,20000,2.898,2473.4325,efficiency,,,,,,,,,,linear,4
scScope,scScope,scScope,20000,2.395,547.2283,efficiency,,,,,,,,,,deep,12
TriMap,TriMap,TriMap,20000,0.62,16.5012,efficiency,,,,,,,,,,metric,25
SPDR,SPDR,SPDR,20000,1.935,1317.4856,efficiency,,,,,,,,,,graph,21
PaCMAP,PaCMAP,PaCMAP,20000,0.769,37.8158,efficiency,,,,,,,,,,metric,23
DREAM,DREAM,DREAM,20000,6.924,1276.4306,efficiency,,,,,,,,,,deep,15
scvis,scvis,scvis,20000,0.792,2614.9503,efficiency,,,,,,,,,,deep,9
PCA,PCA,PCA,20000,0.805,4.75,efficiency,,,,,,,,,,linear,1
t-SNE,t-SNE,t-SNE,20000,0.752,81.9,efficiency,,,,,,,,,,metric,24
GLMPCA,GLMPCA,GLMPCA,20000,1.364,149.407,efficiency,,,,,,,,,,linear,2
scGBM,scGBM,scGBM,20000,1.58,149.652,efficiency,,,,,,,,,,linear,5
EDGE,EDGE,EDGE,20000,7.646,1044.28,efficiency,,,,,,,,,,graph,20
tGPLVM,tGPLVM,tGPLVM,20000,0.747,189.0852,efficiency,,,,,,,,,,linear,7
pCMF,pCMF,pCMF,20000,1.403,5459.49,efficiency,,,,,,,,,,linear,3
SSNMDI,SSNMDI,SSNMDI,20000,6.096,4781.3973,efficiency,,,,,,,,,,linear,6
SAUCIE,SAUCIE,SAUCIE,30000,0.61,2.5824,efficiency,,,,,,,,,,deep,11
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,30000,0.845,341.1186,efficiency,,,,,,,,,,metric,26
UMAP,UMAP,UMAP,30000,1.621,24.7539,efficiency,,,,,,,,,,graph,17
PHATE,PHATE,PHATE,30000,1.077,101.7064,efficiency,,,,,,,,,,graph,19
DRA,DRA,DRA,30000,0.933,2958.1166,efficiency,,,,,,,,,,deep,16
VAE,VAE,VAE,30000,1.643,806.0257,efficiency,,,,,,,,,,deep,8
ivis,IVIS,IVIS,30000,1.08,86.5241,efficiency,,,,,,,,,,metric,22
scScope,scScope,scScope,30000,2.555,831.0314,efficiency,,,,,,,,,,deep,12
TriMap,TriMap,TriMap,30000,0.804,24.6515,efficiency,,,,,,,,,,metric,25
SPDR,SPDR,SPDR,30000,2.725,2783.2725,efficiency,,,,,,,,,,graph,21
PaCMAP,PaCMAP,PaCMAP,30000,1.004,61.5718,efficiency,,,,,,,,,,metric,23
