method_order,method_id,family,cell_number,gene_number,celltype_number,dropout,batch_number,batch_strength,de_prob,de_strength,out,stability_median
1,PCA,linear/probabilistic,0.616455363476588,0.701153535610611,0.5061927877835251,0.6179425051771087,0.6370603464473887,0.6433135268166096,0.7168465228064798,0.7475051254619544,0.729304351335709,0.6433135268166096
2,GLMPCA,linear/probabilistic,0.573507819771753,0.6860977816362185,0.4885715914178216,0.6283380253013339,0.5976497439306158,0.4465311847917548,0.7020876304536972,0.7159939504426038,0.7102303077266148,0.6283380253013339
3,pCMF,linear/probabilistic,0.1692366377780177,0.1088272467791159,0.1572123814026007,0.1561589731092854,0.1099483188463704,0.3132959148676938,0.1101096739498283,0.3030845589041862,0.093188419901329,0.1561589731092854
4,ZIFA,linear/probabilistic,0.6097001344232774,0.6921109775991681,0.4504217952153372,0.673999358565281,0.6306609855427232,0.6138883905653001,0.7122775690719275,0.7494171728222515,0.7226385548239901,0.673999358565281
5,scGBM,linear/probabilistic,0.5899547568751836,0.6689837489050527,0.4703381460364417,0.631828944810057,0.6129803794053647,0.6245526577221584,0.6785472695245313,0.7112248120683613,0.6949116817668466,0.631828944810057
6,SSNMDI,linear/probabilistic,0.1810331508033995,0.1244986619464739,0.1777065006922351,0.1283489757314842,0.1475281067854222,0.2124209163069373,0.1221004681041323,0.0992421764466841,0.1059946800597119,0.1283489757314842
7,tGPLVM,linear/probabilistic,0.5456419161647857,0.6642416244269096,0.18441439879532,0.3417613703557104,0.6462262035048215,0.4592160902056647,0.6700873729382745,0.6692129522502144,0.7216531420957536,0.6462262035048215
8,VAE,deep generative/autoencoder,0.5682655393870434,0.7811840722340656,0.761322953186834,0.6514191590973684,0.7068323376386827,0.7376971924369837,0.7531423067743244,0.7733515150444907,0.7693985020114843,0.7531423067743244
9,scvis,deep generative/autoencoder,0.2117396279888581,0.1524726425462599,0.1837238407264874,0.1879875301954028,0.1751926100784196,0.5199001047311467,0.1443820640681063,0.4425846849451914,0.0901725833339809,0.1837238407264874
10,VASC,deep generative/autoencoder,0.2236982651178752,0.2556960815606127,0.3751199914228545,0.1977258983773877,0.2409401146236957,0.4603129529688164,0.2392720919935177,0.2278027696094713,0.2307843530937404,0.2392720919935177
11,SAUCIE,deep generative/autoencoder,0.1710862944217797,0.1214912353770184,0.1284953173528071,0.1425288163931026,0.1211665427253349,0.2685471531336302,0.1280501354878809,0.1372795516988535,0.1141248039327325,0.1284953173528071
12,scScope,deep generative/autoencoder,0.4145471045014285,0.4129631334843422,0.1843328155331761,0.2167338648898084,0.1458870635238423,0.3483898456811489,0.3237324923136432,0.553084679125307,0.1522116556157649,0.3237324923136432
13,SCDRHA,deep generative/autoencoder,0.4169002633203869,0.6076885877464806,0.5049396402344675,0.4334723283056567,0.5809405170466084,0.5822961329173291,0.6181902576222604,0.6701787456676113,0.6115848129216148,0.5822961329173291
14,scGAE,deep generative/autoencoder,0.2211997949101027,0.3565150256612074,0.1515441051291794,0.2673444803659,0.2081469963111117,0.3050483666065271,0.4754572927288455,0.4396663030061963,0.156963494837715,0.2673444803659
15,DREAM,deep generative/autoencoder,0.3868709964941035,0.3235436553975042,0.1811034999131814,0.2134687825421119,0.257775928128298,0.368884767479779,0.4949174840828475,0.6141487135099762,0.1905044722112623,0.3235436553975042
16,DRA,deep generative/autoencoder,0.1819214075638106,0.1373449176630851,0.1875914892994396,0.151570266462682,0.147953049652695,0.1007853580402549,0.1419303280015415,0.1176418813541649,0.1222362512479286,0.1419303280015415
17,UMAP,graph/diffusion,0.6089159144944561,0.792892252378319,0.6422903630249431,0.7363175599173759,0.7220519657722203,0.759190084739045,0.6901080755128179,0.6963852222777615,0.7964879692649194,0.7220519657722203
18,SIMLR,graph/diffusion,0.6463512875046347,0.8339158577271562,0.750278846631177,0.7406136202267539,0.7423980902247473,0.8242509485181703,0.779467033975275,0.7800808996620665,0.8328474139030719,0.779467033975275
