method_order,method_id,family,local,global,kmeans,louvain,spectral,runtime_score,memory_score,stability_median,overall_mean,cell_number,gene_number,celltype_number,dropout,batch_number,batch_strength,de_prob,de_strength,out
1,PCA,linear/probabilistic,0.5074567132662589,0.7027580770175762,0.5496896108206788,0.4621337140884416,0.5230260262818601,0.9998583033883603,0.991381117444644,0.6433135268166096,0.6657548517014871,0.616455363476588,0.701153535610611,0.5061927877835251,0.6179425051771087,0.6370603464473887,0.6433135268166096,0.7168465228064798,0.7475051254619544,0.729304351335709
2,GLMPCA,linear/probabilistic,0.531259778612163,0.651949832821111,0.6089174964733217,0.4950788781599343,0.5962206489334149,0.9842930200372316,0.9746071524888532,0.6283380253013339,0.6494584276874026,0.573507819771753,0.6860977816362185,0.4885715914178216,0.6283380253013339,0.5976497439306158,0.4465311847917548,0.7020876304536972,0.7159939504426038,0.7102303077266148
3,pCMF,linear/probabilistic,0.3867313701561368,0.5452973488708297,0.3176635045736471,0.3064718084454326,0.3241400930619523,0.5026042069385395,0.9730604455276654,0.1561589731092854,0.3048144314445394,0.1692366377780177,0.1088272467791159,0.1572123814026007,0.1561589731092854,0.1099483188463704,0.3132959148676938,0.1101096739498283,0.3030845589041862,0.093188419901329
4,ZIFA,linear/probabilistic,0.4890121894158761,0.6401720975632493,0.5488192473653639,0.4688295402538032,0.5416161647270089,0.7659980816521857,0.933574476757142,0.673999358565281,0.6401960460227428,0.6097001344232774,0.6921109775991681,0.4504217952153372,0.673999358565281,0.6306609855427232,0.6138883905653001,0.7122775690719275,0.7494171728222515,0.7226385548239901
5,scGBM,linear/probabilistic,0.5416193573455529,0.6719312442573321,0.619152124305037,0.5112216359155829,0.6098358274773855,0.9880037803139912,0.954582357660856,0.631828944810057,0.6612292952743584,0.5899547568751836,0.6689837489050527,0.4703381460364417,0.631828944810057,0.6129803794053647,0.6245526577221584,0.6785472695245313,0.7112248120683613,0.6949116817668466
6,SSNMDI,linear/probabilistic,0.2755219951340961,0.3241994824966703,0.266730758858186,0.2717893108939476,0.2427437391087013,0.7210609722103707,0.7402755539306447,0.1283489757314842,0.2588247155943185,0.1810331508033995,0.1244986619464739,0.1777065006922351,0.1283489757314842,0.1475281067854222,0.2124209163069373,0.1221004681041323,0.0992421764466841,0.1059946800597119
7,tGPLVM,linear/probabilistic,0.3639310616077475,0.5475500834406869,0.3393132312671147,0.2963606005888994,0.3309422329875315,0.910890886012984,0.9362192146354886,0.6462262035048215,0.5392288988298692,0.5456419161647857,0.6642416244269096,0.18441439879532,0.3417613703557104,0.6462262035048215,0.4592160902056647,0.6700873729382745,0.6692129522502144,0.7216531420957536
8,VAE,deep generative/autoencoder,0.4674015254786871,0.5055493950178311,0.4604032134262717,0.4152707773285628,0.4736836636253245,0.9475200089450316,0.927733438273756,0.7531423067743244,0.6687609749941713,0.5682655393870434,0.7811840722340656,0.761322953186834,0.6514191590973684,0.7068323376386827,0.7376971924369837,0.7531423067743244,0.7733515150444907,0.7693985020114843
9,scvis,deep generative/autoencoder,0.6070852578513585,0.7353173891085545,0.5839409281387437,0.4908234852803262,0.583473067261674,0.3613162400126833,0.97381780319574,0.1837238407264874,0.4027456162164333,0.2117396279888581,0.1524726425462599,0.1837238407264874,0.1879875301954028,0.1751926100784196,0.5199001047311467,0.1443820640681063,0.4425846849451914,0.0901725833339809
10,VASC,deep generative/autoencoder,0.5075645495937986,0.6367106437112424,0.5964052983154925,0.4803515729959036,0.5560627043271175,0.4060811215200675,0.955671222448901,0.2392720919935177,0.4118874769800309,0.2236982651178752,0.2556960815606127,0.3751199914228545,0.1977258983773877,0.2409401146236957,0.4603129529688164,0.2392720919935177,0.2278027696094713,0.2307843530937404
11,SAUCIE,deep generative/autoencoder,0.4427373038422977,0.6174676289710875,0.3560838415899095,0.3338509220477925,0.365687803452045,0.9992380469391016,0.9757891099014836,0.1284953173528071,0.3389765317041786,0.1710862944217797,0.1214912353770184,0.1284953173528071,0.1425288163931026,0.1211665427253349,0.2685471531336302,0.1280501354878809,0.1372795516988535,0.1141248039327325
12,scScope,deep generative/autoencoder,0.4413166888137593,0.5575111000224625,0.3655855426935524,0.3417279068528242,0.3788985131838598,0.9521141154368372,0.9133535688601334,0.3237324923136432,0.4188993806582431,0.4145471045014285,0.4129631334843422,0.1843328155331761,0.2167338648898084,0.1458870635238423,0.3483898456811489,0.3237324923136432,0.553084679125307,0.1522116556157649
13,SCDRHA,deep generative/autoencoder,0.5319997323408233,0.6910066925480315,0.5188718778524604,0.4581103639138628,0.4925694614430029,0.9045752832262788,0.5062892498654088,0.5822961329173291,0.5706008716857678,0.4169002633203869,0.6076885877464806,0.5049396402344675,0.4334723283056567,0.5809405170466084,0.5822961329173291,0.6181902576222604,0.6701787456676113,0.6115848129216148
