method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric
SSNMDI,0.04,SSNMDI,SSNMDI,benchmarker,Baron_mouse,louvain,COMP
tGPLVM,0.21,tGPLVM,tGPLVM,benchmarker,Baron_mouse,louvain,COMP
SQuaD_MDS,0.4,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,louvain,COMP
GLMPCA,0.43,GLMPCA,GLMPCA,benchmarker,Baron_mouse,louvain,COMP
PaCMAP,0.04,PaCMAP,PaCMAP,benchmarker,Baron_mouse,louvain,COMP
ParametricUMAP200,0.44,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,louvain,COMP
scScope,0.47,scScope,scScope,benchmarker,Baron_mouse,louvain,COMP
scvis,0.47,scvis,scvis,benchmarker,Baron_mouse,louvain,COMP
EDGE,0.3,EDGE,EDGE,benchmarker,Baron_mouse,louvain,COMP
TriMap,0.48,TriMap,TriMap,benchmarker,Baron_mouse,louvain,COMP
ParametricUMAP50,0.47,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,louvain,COMP
DRA,0.02,DRA,DRA,benchmarker,Baron_mouse,louvain,COMP
SIMLR,0.47,SIMLR,SIMLR,benchmarker,Baron_mouse,louvain,COMP
SAUCIE,0.23,SAUCIE,SAUCIE,benchmarker,Baron_mouse,louvain,COMP
PCA,0.34,PCA,PCA,benchmarker,Baron_mouse,louvain,COMP
PHATE,0.47,PHATE,PHATE,benchmarker,Baron_mouse,louvain,COMP
ivis,0.87,IVIS,IVIS,benchmarker,Baron_mouse,louvain,HOMO
scGAE,0.79,scGAE,scGAE,benchmarker,Baron_mouse,louvain,HOMO
VASC,0.82,VASC,VASC,benchmarker,Baron_mouse,louvain,HOMO
scGBM,0.78,scGBM,scGBM,benchmarker,Baron_mouse,louvain,HOMO
SPDR,0.94,SPDR,SPDR,benchmarker,Baron_mouse,louvain,HOMO
pCMF,0.42,pCMF,pCMF,benchmarker,Baron_mouse,louvain,HOMO
SQuaD_MDS_hybrid,0.86,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,louvain,HOMO
SCDRHA,0.84,SCDRHA,SCDRHA,benchmarker,Baron_mouse,louvain,HOMO
TSNE,0.91,t-SNE,t-SNE,benchmarker,Baron_mouse,louvain,HOMO
UMAP,0.86,UMAP,UMAP,benchmarker,Baron_mouse,louvain,HOMO
VAE,0.9,VAE,VAE,benchmarker,Baron_mouse,louvain,HOMO
DREAM,0.59,DREAM,DREAM,benchmarker,Baron_mouse,louvain,HOMO
ZIFA,0.65,ZIFA,ZIFA,benchmarker,Baron_mouse,louvain,HOMO
SSNMDI,0.08,SSNMDI,SSNMDI,benchmarker,Baron_mouse,louvain,HOMO
tGPLVM,0.4,tGPLVM,tGPLVM,benchmarker,Baron_mouse,louvain,HOMO
SQuaD_MDS,0.77,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,louvain,HOMO
GLMPCA,0.8,GLMPCA,GLMPCA,benchmarker,Baron_mouse,louvain,HOMO
PaCMAP,0.07,PaCMAP,PaCMAP,benchmarker,Baron_mouse,louvain,HOMO
ParametricUMAP200,0.85,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,louvain,HOMO
scScope,0.87,scScope,scScope,benchmarker,Baron_mouse,louvain,HOMO
scvis,0.84,scvis,scvis,benchmarker,Baron_mouse,louvain,HOMO
EDGE,0.58,EDGE,EDGE,benchmarker,Baron_mouse,louvain,HOMO
TriMap,0.93,TriMap,TriMap,benchmarker,Baron_mouse,louvain,HOMO
ParametricUMAP50,0.87,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,louvain,HOMO
DRA,0.05,DRA,DRA,benchmarker,Baron_mouse,louvain,HOMO
SIMLR,0.94,SIMLR,SIMLR,benchmarker,Baron_mouse,louvain,HOMO
SAUCIE,0.43,SAUCIE,SAUCIE,benchmarker,Baron_mouse,louvain,HOMO
PCA,0.65,PCA,PCA,benchmarker,Baron_mouse,louvain,HOMO
PHATE,0.89,PHATE,PHATE,benchmarker,Baron_mouse,louvain,HOMO
ivis,0.6,IVIS,IVIS,benchmarker,Baron_mouse,louvain,NMI
scGAE,0.52,scGAE,scGAE,benchmarker,Baron_mouse,louvain,NMI
VASC,0.56,VASC,VASC,benchmarker,Baron_mouse,louvain,NMI
scGBM,0.55,scGBM,scGBM,benchmarker,Baron_mouse,louvain,NMI
SPDR,0.64,SPDR,SPDR,benchmarker,Baron_mouse,louvain,NMI
pCMF,0.27,pCMF,pCMF,benchmarker,Baron_mouse,louvain,NMI
SQuaD_MDS_hybrid,0.6,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,louvain,NMI
SCDRHA,0.57,SCDRHA,SCDRHA,benchmarker,Baron_mouse,louvain,NMI
TSNE,0.62,t-SNE,t-SNE,benchmarker,Baron_mouse,louvain,NMI
UMAP,0.59,UMAP,UMAP,benchmarker,Baron_mouse,louvain,NMI
VAE,0.61,VAE,VAE,benchmarker,Baron_mouse,louvain,NMI
DREAM,0.41,DREAM,DREAM,benchmarker,Baron_mouse,louvain,NMI
ZIFA,0.45,ZIFA,ZIFA,benchmarker,Baron_mouse,louvain,NMI
SSNMDI,0.05,SSNMDI,SSNMDI,benchmarker,Baron_mouse,louvain,NMI
tGPLVM,0.27,tGPLVM,tGPLVM,benchmarker,Baron_mouse,louvain,NMI
SQuaD_MDS,0.52,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,louvain,NMI
