method_raw,method_id,parent_method,n_cells,peak_memory_gb,runtime_seconds,source,method,language,role,install_channel,package_or_repo,environment,status,notes,commit
GLMPCA,GLMPCA,GLMPCA,10000.0,0.628,102.51,efficiency,,,,,,,,,
scGBM,scGBM,scGBM,10000.0,0.894,76.37,efficiency,,,,,,,,,
EDGE,EDGE,EDGE,10000.0,4.131,292.73,efficiency,,,,,,,,,
tGPLVM,tGPLVM,tGPLVM,10000.0,0.666,180.091,efficiency,,,,,,,,,
pCMF,pCMF,pCMF,10000.0,0.783,2730.309,efficiency,,,,,,,,,
SSNMDI,SSNMDI,SSNMDI,10000.0,3.108,1329.4604,efficiency,,,,,,,,,
SAUCIE,SAUCIE,SAUCIE,2000.0,0.32,2.1064,efficiency,,,,,,,,,
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,2000.0,0.296,18.0011,efficiency,,,,,,,,,
UMAP,UMAP,UMAP,2000.0,0.776,10.9978,efficiency,,,,,,,,,
SCDRHA,SCDRHA,SCDRHA,2000.0,1.355,34.2379,efficiency,,,,,,,,,
scGAE,scGAE,scGAE,2000.0,1.319,21.4132,efficiency,,,,,,,,,
VASC,VASC,VASC,2000.0,0.41,616.4961,efficiency,,,,,,,,,
PHATE,PHATE,PHATE,2000.0,0.401,11.9533,efficiency,,,,,,,,,
DRA,DRA,DRA,2000.0,0.439,191.9577,efficiency,,,,,,,,,
VAE,VAE,VAE,2000.0,0.625,56.8094,efficiency,,,,,,,,,
ivis,IVIS,IVIS,2000.0,0.675,6.929,efficiency,,,,,,,,,
ZIFA,ZIFA,ZIFA,2000.0,0.412,250.878,efficiency,,,,,,,,,
scScope,scScope,scScope,2000.0,0.647,54.3729,efficiency,,,,,,,,,
TriMap,TriMap,TriMap,2000.0,0.305,3.2175,efficiency,,,,,,,,,
SPDR,SPDR,SPDR,2000.0,0.464,33.7356,efficiency,,,,,,,,,
PaCMAP,PaCMAP,PaCMAP,2000.0,0.287,4.0356,efficiency,,,,,,,,,
DREAM,DREAM,DREAM,2000.0,1.132,119.4392,efficiency,,,,,,,,,
scvis,scvis,scvis,2000.0,0.308,1911.1657,efficiency,,,,,,,,,
PCA,PCA,PCA,2000.0,0.151,0.672,efficiency,,,,,,,,,
t-SNE,t-SNE,t-SNE,2000.0,0.168,5.787,efficiency,,,,,,,,,
GLMPCA,GLMPCA,GLMPCA,2000.0,0.236,15.841,efficiency,,,,,,,,,
scGBM,scGBM,scGBM,2000.0,0.382,11.398,efficiency,,,,,,,,,
SIMLR,SIMLR,SIMLR,2000.0,6.936,859.031,efficiency,,,,,,,,,
EDGE,EDGE,EDGE,2000.0,2.927,20.817,efficiency,,,,,,,,,
tGPLVM,tGPLVM,tGPLVM,2000.0,0.599,185.2611,efficiency,,,,,,,,,
pCMF,pCMF,pCMF,2000.0,0.241,655.566,efficiency,,,,,,,,,
SSNMDI,SSNMDI,SSNMDI,2000.0,1.623,78.2039,efficiency,,,,,,,,,
SAUCIE,SAUCIE,SAUCIE,20000.0,0.503,2.4304,efficiency,,,,,,,,,
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,20000.0,0.666,219.9959,efficiency,,,,,,,,,
UMAP,UMAP,UMAP,20000.0,1.339,21.0645,efficiency,,,,,,,,,
SCDRHA,SCDRHA,SCDRHA,20000.0,51.777,1523.0705,efficiency,,,,,,,,,
scGAE,scGAE,scGAE,20000.0,32.544,1454.8681,efficiency,,,,,,,,,
VASC,VASC,VASC,20000.0,1.353,6868.5756,efficiency,,,,,,,,,
PHATE,PHATE,PHATE,20000.0,0.831,50.7408,efficiency,,,,,,,,,
DRA,DRA,DRA,20000.0,0.787,1953.9418,efficiency,,,,,,,,,
VAE,VAE,VAE,20000.0,1.24,556.369,efficiency,,,,,,,,,
ivis,IVIS,IVIS,20000.0,0.904,55.6686,efficiency,,,,,,,,,
ZIFA,ZIFA,ZIFA,20000.0,2.898,2473.4325,efficiency,,,,,,,,,
scScope,scScope,scScope,20000.0,2.395,547.2283,efficiency,,,,,,,,,
TriMap,TriMap,TriMap,20000.0,0.62,16.5012,efficiency,,,,,,,,,
SPDR,SPDR,SPDR,20000.0,1.935,1317.4856,efficiency,,,,,,,,,
PaCMAP,PaCMAP,PaCMAP,20000.0,0.769,37.8158,efficiency,,,,,,,,,
DREAM,DREAM,DREAM,20000.0,6.924,1276.4306,efficiency,,,,,,,,,
scvis,scvis,scvis,20000.0,0.792,2614.9503,efficiency,,,,,,,,,
PCA,PCA,PCA,20000.0,0.805,4.75,efficiency,,,,,,,,,
t-SNE,t-SNE,t-SNE,20000.0,0.752,81.9,efficiency,,,,,,,,,
GLMPCA,GLMPCA,GLMPCA,20000.0,1.364,149.407,efficiency,,,,,,,,,
scGBM,scGBM,scGBM,20000.0,1.58,149.652,efficiency,,,,,,,,,
EDGE,EDGE,EDGE,20000.0,7.646,1044.28,efficiency,,,,,,,,,
tGPLVM,tGPLVM,tGPLVM,20000.0,0.747,189.0852,efficiency,,,,,,,,,
pCMF,pCMF,pCMF,20000.0,1.403,5459.49,efficiency,,,,,,,,,
SSNMDI,SSNMDI,SSNMDI,20000.0,6.096,4781.3973,efficiency,,,,,,,,,
SAUCIE,SAUCIE,SAUCIE,30000.0,0.61,2.5824,efficiency,,,,,,,,,
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,30000.0,0.845,341.1186,efficiency,,,,,,,,,
UMAP,UMAP,UMAP,30000.0,1.621,24.7539,efficiency,,,,,,,,,
PHATE,PHATE,PHATE,30000.0,1.077,101.7064,efficiency,,,,,,,,,
DRA,DRA,DRA,30000.0,0.933,2958.1166,efficiency,,,,,,,,,
VAE,VAE,VAE,30000.0,1.643,806.0257,efficiency,,,,,,,,,
ivis,IVIS,IVIS,30000.0,1.08,86.5241,efficiency,,,,,,,,,
scScope,scScope,scScope,30000.0,2.555,831.0314,efficiency,,,,,,,,,
TriMap,TriMap,TriMap,30000.0,0.804,24.6515,efficiency,,,,,,,,,
SPDR,SPDR,SPDR,30000.0,2.725,2783.2725,efficiency,,,,,,,,,
PaCMAP,PaCMAP,PaCMAP,30000.0,1.004,61.5718,efficiency,,,,,,,,,
scvis,scvis,scvis,30000.0,1.095,4009.07,efficiency,,,,,,,,,
PCA,PCA,PCA,30000.0,1.09,5.245,efficiency,,,,,,,,,
t-SNE,t-SNE,t-SNE,30000.0,1.09,128.055,efficiency,,,,,,,,,
GLMPCA,GLMPCA,GLMPCA,30000.0,2.098,335.915,efficiency,,,,,,,,,
scGBM,scGBM,scGBM,30000.0,2.258,169.623,efficiency,,,,,,,,,
EDGE,EDGE,EDGE,30000.0,13.393,2286.593,efficiency,,,,,,,,,
tGPLVM,tGPLVM,tGPLVM,30000.0,0.953,190.8559,efficiency,,,,,,,,,
DREAM,DREAM,DREAM,30000.0,14.564,3291.2063,efficiency,,,,,,,,,
SCDRHA,SCDRHA,SCDRHA,30000.0,112.055,3607.1984,efficiency,,,,,,,,,
scGAE,scGAE,scGAE,30000.0,71.689,3407.1552,efficiency,,,,,,,,,
pCMF,pCMF,pCMF,30000.0,2.001,8074.227,efficiency,,,,,,,,,
ZIFA,ZIFA,ZIFA,30000.0,4.266,3793.4307,efficiency,,,,,,,,,
VASC,VASC,VASC,30000.0,1.886,10333.3334,efficiency,,,,,,,,,
SSNMDI,SSNMDI,SSNMDI,30000.0,10.657,12040.6073,efficiency,,,,,,,,,
SAUCIE,SAUCIE,SAUCIE,500.0,0.317,1.8917,efficiency,,,,,,,,,
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,500.0,0.271,5.2896,efficiency,,,,,,,,,
UMAP,UMAP,UMAP,500.0,0.729,7.8606,efficiency,,,,,,,,,
SCDRHA,SCDRHA,SCDRHA,500.0,0.681,19.1957,efficiency,,,,,,,,,
scGAE,scGAE,scGAE,500.0,0.566,8.325,efficiency,,,,,,,,,
VASC,VASC,VASC,500.0,0.301,236.1364,efficiency,,,,,,,,,
PHATE,PHATE,PHATE,500.0,0.179,1.1761,efficiency,,,,,,,,,
DRA,DRA,DRA,500.0,0.38,41.7908,efficiency,,,,,,,,,
VAE,VAE,VAE,500.0,0.569,22.022,efficiency,,,,,,,,,
ivis,IVIS,IVIS,500.0,0.613,6.0299,efficiency,,,,,,,,,
ZIFA,ZIFA,ZIFA,500.0,0.193,74.6027,efficiency,,,,,,,,,
scScope,scScope,scScope,500.0,0.562,12.233,efficiency,,,,,,,,,
TriMap,TriMap,TriMap,500.0,0.281,1.7598,efficiency,,,,,,,,,
SPDR,SPDR,SPDR,500.0,0.351,11.9595,efficiency,,,,,,,,,
PaCMAP,PaCMAP,PaCMAP,500.0,0.25,2.7955,efficiency,,,,,,,,,
DREAM,DREAM,DREAM,500.0,1.113,60.585,efficiency,,,,,,,,,
scvis,scvis,scvis,500.0,0.274,1832.4837,efficiency,,,,,,,,,
PCA,PCA,PCA,500.0,0.122,0.218,efficiency,,,,,,,,,
t-SNE,t-SNE,t-SNE,500.0,0.128,1.127,efficiency,,,,,,,,,
GLMPCA,GLMPCA,GLMPCA,500.0,0.133,1.656,efficiency,,,,,,,,,
scGBM,scGBM,scGBM,500.0,0.284,2.591,efficiency,,,,,,,,,
SIMLR,SIMLR,SIMLR,500.0,0.909,63.242,efficiency,,,,,,,,,
EDGE,EDGE,EDGE,500.0,2.859,3.77,efficiency,,,,,,,,,
tGPLVM,tGPLVM,tGPLVM,500.0,0.586,173.8073,efficiency,,,,,,,,,
pCMF,pCMF,pCMF,500.0,0.154,196.407,efficiency,,,,,,,,,
SSNMDI,SSNMDI,SSNMDI,500.0,1.405,13.0543,efficiency,,,,,,,,,
SAUCIE,SAUCIE,SAUCIE,5000.0,0.338,2.1008,efficiency,,,,,,,,,
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,5000.0,0.361,49.1924,efficiency,,,,,,,,,
UMAP,UMAP,UMAP,5000.0,0.902,18.2254,efficiency,,,,,,,,,
SCDRHA,SCDRHA,SCDRHA,5000.0,4.447,114.9631,efficiency,,,,,,,,,
scGAE,scGAE,scGAE,5000.0,2.841,109.2785,efficiency,,,,,,,,,
VASC,VASC,VASC,5000.0,0.587,1612.6928,efficiency,,,,,,,,,
PHATE,PHATE,PHATE,5000.0,0.504,18.7085,efficiency,,,,,,,,,
DRA,DRA,DRA,5000.0,0.527,490.9225,efficiency,,,,,,,,,
VAE,VAE,VAE,5000.0,0.732,138.3776,efficiency,,,,,,,,,
ivis,IVIS,IVIS,5000.0,0.727,17.9125,efficiency,,,,,,,,,
ZIFA,ZIFA,ZIFA,5000.0,0.824,624.1608,efficiency,,,,,,,,,
scScope,scScope,scScope,5000.0,0.992,131.6594,efficiency,,,,,,,,,
TriMap,TriMap,TriMap,5000.0,0.345,5.2514,efficiency,,,,,,,,,
SPDR,SPDR,SPDR,5000.0,0.698,111.9396,efficiency,,,,,,,,,
PaCMAP,PaCMAP,PaCMAP,5000.0,0.36,12.0148,efficiency,,,,,,,,,
DREAM,DREAM,DREAM,5000.0,1.149,242.9155,efficiency,,,,,,,,,
scvis,scvis,scvis,5000.0,0.404,2052.3041,efficiency,,,,,,,,,
PCA,PCA,PCA,5000.0,0.261,2.03,efficiency,,,,,,,,,
t-SNE,t-SNE,t-SNE,5000.0,0.266,13.933,efficiency,,,,,,,,,
GLMPCA,GLMPCA,GLMPCA,5000.0,0.443,18.088,efficiency,,,,,,,,,
scGBM,scGBM,scGBM,5000.0,0.591,37.756,efficiency,,,,,,,,,
SIMLR,SIMLR,SIMLR,5000.0,36.338,6701.459,efficiency,,,,,,,,,
EDGE,EDGE,EDGE,5000.0,3.212,88.257,efficiency,,,,,,,,,
tGPLVM,tGPLVM,tGPLVM,5000.0,0.623,180.6193,efficiency,,,,,,,,,
pCMF,pCMF,pCMF,5000.0,0.454,1397.16,efficiency,,,,,,,,,
SSNMDI,SSNMDI,SSNMDI,5000.0,2.122,359.1581,efficiency,,,,,,,,,
SAUCIE,SAUCIE,SAUCIE,50000.0,0.838,2.9545,efficiency,,,,,,,,,
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,50000.0,1.384,617.2955,efficiency,,,,,,,,,
UMAP,UMAP,UMAP,50000.0,2.286,33.1832,efficiency,,,,,,,,,
PHATE,PHATE,PHATE,50000.0,1.563,247.3897,efficiency,,,,,,,,,
VAE,VAE,VAE,50000.0,2.357,1377.7144,efficiency,,,,,,,,,
ivis,IVIS,IVIS,50000.0,1.369,277.5137,efficiency,,,,,,,,,
TriMap,TriMap,TriMap,50000.0,1.158,41.2584,efficiency,,,,,,,,,
PaCMAP,PaCMAP,PaCMAP,50000.0,1.515,103.9398,efficiency,,,,,,,,,
DRA,DRA,DRA,50000.0,1.317,4911.1828,efficiency,,,,,,,,,
PCA,PCA,PCA,50000.0,2.195,9.198,efficiency,,,,,,,,,
t-SNE,t-SNE,t-SNE,50000.0,1.912,264.369,efficiency,,,,,,,,,
GLMPCA,GLMPCA,GLMPCA,50000.0,3.676,433.37,efficiency,,,,,,,,,
scGBM,scGBM,scGBM,50000.0,3.369,343.0,efficiency,,,,,,,,,
tGPLVM,tGPLVM,tGPLVM,50000.0,1.442,198.8041,efficiency,,,,,,,,,
VASC,VASC,VASC,50000.0,2.952,17233.7631,efficiency,,,,,,,,,
SPDR,SPDR,SPDR,50000.0,4.257,8019.0221,efficiency,,,,,,,,,
scScope,scScope,scScope,50000.0,2.87,1465.8099,efficiency,,,,,,,,,
pCMF,pCMF,pCMF,50000.0,3.465,12988.65,efficiency,,,,,,,,,
EDGE,EDGE,EDGE,50000.0,31.582,6291.383,efficiency,,,,,,,,,
scvis,scvis,scvis,50000.0,1.701,6552.7855,efficiency,,,,,,,,,
ZIFA,ZIFA,ZIFA,50000.0,7.032,8466.2815,efficiency,,,,,,,,,
SAUCIE,SAUCIE,SAUCIE,73233.0,1.189,3.5225,efficiency,,,,,,,,,
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,73233.0,1.849,996.3987,efficiency,,,,,,,,,
