atlas_layer,dataset_type,source_table,source_row,dataset_label,dataset_group,source_repository,species,tissue_or_cell_type,condition,cells,cell_count_text,sequencing_technology,year,counting_rule,source,param_group,param_value,genes,sparsity_pct,n_batches,n_groups,size_mb
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/combination-3,Plass,GSE103633,planaria,whole organism level,Healthy,2270.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/epidermis,Plass,GSE103633,planaria,whole organism level,Healthy,4003.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/muscle,Plass,GSE103633,planaria,whole organism level,Healthy,2338.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/neuron,Plass,GSE103633,planaria,whole organism level,Healthy,2349.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/pair-1,Plass,GSE103633,planaria,whole organism level,Healthy,10578.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/pair-2,Plass,GSE103633,planaria,whole organism level,Healthy,10653.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/pair-3,Plass,GSE103633,planaria,whole organism level,Healthy,8589.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/pair-4,Plass,GSE103633,planaria,whole organism level,Healthy,8960.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/parenchyme,Plass,GSE103633,planaria,whole organism level,Healthy,1986.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/phagocyte,Plass,GSE103633,planaria,whole organism level,Healthy,694.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/pharynx,Plass,GSE103633,planaria,whole organism level,Healthy,292.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,
manuscript_100_dataset_atlas,simulated,,,default_default,,,,,,2000.0,,,,,simulated_atlas,default,default,3000.0,46.7,1.0,5.0,68.0
manuscript_100_dataset_atlas,simulated,,,batch_0.2,,,,,,2000.0,,,,,simulated_atlas,batch,0.2,3000.0,46.5,2.0,5.0,68.0
manuscript_100_dataset_atlas,simulated,,,batch_0.4,,,,,,2000.0,,,,,simulated_atlas,batch,0.4,3000.0,49.0,2.0,5.0,66.0
manuscript_100_dataset_atlas,simulated,,,batch_0.6,,,,,,2000.0,,,,,simulated_atlas,batch,0.6,3000.0,52.3,2.0,5.0,63.0
manuscript_100_dataset_atlas,simulated,,,batch_0.8,,,,,,2000.0,,,,,simulated_atlas,batch,0.8,3000.0,55.9,2.0,5.0,60.0
manuscript_100_dataset_atlas,simulated,,,batch_1.0,,,,,,2000.0,,,,,simulated_atlas,batch,1.0,3000.0,60.1,2.0,5.0,57.0
manuscript_100_dataset_atlas,simulated,,,batch_2,,,,,,2000.0,,,,,simulated_atlas,batch,2,3000.0,46.6,2.0,5.0,68.0
manuscript_100_dataset_atlas,simulated,,,batch_4,,,,,,2000.0,,,,,simulated_atlas,batch,4,3000.0,46.8,4.0,5.0,68.0
manuscript_100_dataset_atlas,simulated,,,batch_6,,,,,,2000.0,,,,,simulated_atlas,batch,6,3000.0,47.0,6.0,5.0,68.0
manuscript_100_dataset_atlas,simulated,,,batch_8,,,,,,2000.0,,,,,simulated_atlas,batch,8,3000.0,46.3,8.0,5.0,68.0
manuscript_100_dataset_atlas,simulated,,,batch_10,,,,,,2000.0,,,,,simulated_atlas,batch,10,3000.0,46.6,10.0,5.0,68.0
manuscript_100_dataset_atlas,simulated,,,cell_100,,,,,,100.0,,,,,simulated_atlas,cell,100,3000.0,43.0,1.0,5.0,4.0
manuscript_100_dataset_atlas,simulated,,,cell_500,,,,,,500.0,,,,,simulated_atlas,cell,500,3000.0,45.8,1.0,5.0,18.0
manuscript_100_dataset_atlas,simulated,,,cell_1k,,,,,,1000.0,,,,,simulated_atlas,cell,1k,3000.0,47.0,1.0,5.0,34.0
manuscript_100_dataset_atlas,simulated,,,cell_5k,,,,,,5000.0,,,,,simulated_atlas,cell,5k,3000.0,47.0,1.0,5.0,169.0
manuscript_100_dataset_atlas,simulated,,,cell_1w,,,,,,10000.0,,,,,simulated_atlas,cell,1w,3000.0,46.9,1.0,5.0,337.0
manuscript_100_dataset_atlas,simulated,,,cell_2w,,,,,,20000.0,,,,,simulated_atlas,cell,2w,3000.0,46.9,1.0,5.0,674.0
manuscript_100_dataset_atlas,simulated,,,cell_3w,,,,,,30000.0,,,,,simulated_atlas,cell,3w,3000.0,47.6,1.0,5.0,1002.0
manuscript_100_dataset_atlas,simulated,,,cell_4w,,,,,,40000.0,,,,,simulated_atlas,cell,4w,3000.0,47.6,1.0,5.0,1335.0
manuscript_100_dataset_atlas,simulated,,,cell_5w,,,,,,50000.0,,,,,simulated_atlas,cell,5w,3000.0,46.1,1.0,5.0,1700.0
manuscript_100_dataset_atlas,simulated,,,celltype_7,,,,,,2000.0,,,,,simulated_atlas,celltype,7,3000.0,46.9,1.0,7.0,68.0
manuscript_100_dataset_atlas,simulated,,,celltype_9,,,,,,2000.0,,,,,simulated_atlas,celltype,9,3000.0,46.2,1.0,9.0,68.0
manuscript_100_dataset_atlas,simulated,,,celltype_11,,,,,,2000.0,,,,,simulated_atlas,celltype,11,3000.0,46.1,1.0,11.0,68.0
manuscript_100_dataset_atlas,simulated,,,celltype_13,,,,,,2000.0,,,,,simulated_atlas,celltype,13,3000.0,46.0,1.0,13.0,69.0
manuscript_100_dataset_atlas,simulated,,,celltype_15,,,,,,2000.0,,,,,simulated_atlas,celltype,15,3000.0,45.6,1.0,15.0,69.0
manuscript_100_dataset_atlas,simulated,,,de_0.2,,,,,,2000.0,,,,,simulated_atlas,de,0.2,3000.0,45.0,1.0,5.0,69.0
manuscript_100_dataset_atlas,simulated,,,de_0.4,,,,,,2000.0,,,,,simulated_atlas,de,0.4,3000.0,48.0,1.0,5.0,67.0
manuscript_100_dataset_atlas,simulated,,,de_0.6,,,,,,2000.0,,,,,simulated_atlas,de,0.6,3000.0,50.5,1.0,5.0,65.0
manuscript_100_dataset_atlas,simulated,,,de_0.8,,,,,,2000.0,,,,,simulated_atlas,de,0.8,3000.0,53.5,1.0,5.0,62.0
manuscript_100_dataset_atlas,simulated,,,de_1.0,,,,,,2000.0,,,,,simulated_atlas,de,1.0,3000.0,55.2,1.0,5.0,61.0
manuscript_100_dataset_atlas,simulated,,,de_prob_0.05,,,,,,2000.0,,,,,simulated_atlas,de_prob,0.05,3000.0,46.0,1.0,5.0,69.0
manuscript_100_dataset_atlas,simulated,,,de_prob_0.15,,,,,,2000.0,,,,,simulated_atlas,de_prob,0.15,3000.0,46.4,1.0,5.0,68.0
manuscript_100_dataset_atlas,simulated,,,de_prob_0.20,,,,,,2000.0,,,,,simulated_atlas,de_prob,0.20,3000.0,47.2,1.0,5.0,68.0
manuscript_100_dataset_atlas,simulated,,,de_prob_0.25,,,,,,2000.0,,,,,simulated_atlas,de_prob,0.25,3000.0,46.7,1.0,5.0,68.0
manuscript_100_dataset_atlas,simulated,,,de_prob_0.30,,,,,,2000.0,,,,,simulated_atlas,de_prob,0.30,3000.0,46.7,1.0,5.0,68.0
manuscript_100_dataset_atlas,simulated,,,dropout_-1,,,,,,2000.0,,,,,simulated_atlas,dropout,-1,3000.0,54.7,1.0,5.0,61.0
manuscript_100_dataset_atlas,simulated,,,dropout_0,,,,,,2000.0,,,,,simulated_atlas,dropout,0,3000.0,62.2,1.0,5.0,55.0
manuscript_100_dataset_atlas,simulated,,,dropout_1,,,,,,2000.0,,,,,simulated_atlas,dropout,1,3000.0,71.2,1.0,5.0,47.0
manuscript_100_dataset_atlas,simulated,,,dropout_2,,,,,,2000.0,,,,,simulated_atlas,dropout,2,3000.0,81.3,1.0,5.0,39.0
manuscript_100_dataset_atlas,simulated,,,dropout_3,,,,,,2000.0,,,,,simulated_atlas,dropout,3,3000.0,88.6,1.0,5.0,33.0
manuscript_100_dataset_atlas,simulated,,,gene_5k,,,,,,2000.0,,,,,simulated_atlas,gene,5k,3000.0,32.4,1.0,5.0,80.0
manuscript_100_dataset_atlas,simulated,,,gene_2w,,,,,,2000.0,,,,,simulated_atlas,gene,2w,3000.0,59.3,1.0,5.0,58.0
manuscript_100_dataset_atlas,simulated,,,gene_3w,,,,,,2000.0,,,,,simulated_atlas,gene,3w,3000.0,65.6,1.0,5.0,52.0
manuscript_100_dataset_atlas,simulated,,,gene_4w,,,,,,2000.0,,,,,simulated_atlas,gene,4w,3000.0,70.1,1.0,5.0,49.0
manuscript_100_dataset_atlas,simulated,,,gene_5w,,,,,,2000.0,,,,,simulated_atlas,gene,5w,3000.0,73.9,1.0,5.0,45.0
manuscript_100_dataset_atlas,simulated,,,out_0.1,,,,,,2000.0,,,,,simulated_atlas,out,0.1,3000.0,52.7,1.0,5.0,63.0
manuscript_100_dataset_atlas,simulated,,,out_0.2,,,,,,2000.0,,,,,simulated_atlas,out,0.2,3000.0,56.9,1.0,5.0,59.0
manuscript_100_dataset_atlas,simulated,,,out_0.3,,,,,,2000.0,,,,,simulated_atlas,out,0.3,3000.0,54.8,1.0,5.0,61.0
manuscript_100_dataset_atlas,simulated,,,out_0.4,,,,,,2000.0,,,,,simulated_atlas,out,0.4,3000.0,49.2,1.0,5.0,66.0
manuscript_100_dataset_atlas,simulated,,,out_0.5,,,,,,2000.0,,,,,simulated_atlas,out,0.5,3000.0,42.9,1.0,5.0,71.0
