method_raw,method_id,parent_method,perturbation_axis,score,family
VAE,VAE,VAE,cell_number,0.5558215913720532,deep generative/autoencoder
ZIFA,ZIFA,ZIFA,cell_number,0.5968468533563878,linear/probabilistic
ivis,IVIS,IVIS,cell_number,0.4502708049824035,metric/structure-aware
pCMF,pCMF,pCMF,cell_number,0.1411782380973407,linear/probabilistic
scGAE,scGAE,scGAE,cell_number,0.1974263772119363,deep generative/autoencoder
scGBM,scGBM,scGBM,cell_number,0.5769744201453216,linear/probabilistic
scScope,scScope,scScope,cell_number,0.3961535432226534,deep generative/autoencoder
scvis,scvis,scvis,cell_number,0.1850854847117535,deep generative/autoencoder
tGPLVM,tGPLVM,tGPLVM,cell_number,0.530008274882307,linear/probabilistic
DRA,DRA,DRA,celltype_number,0.1897027789285673,deep generative/autoencoder
DREAM,DREAM,DREAM,celltype_number,0.1828705394258632,deep generative/autoencoder
EDGE,EDGE,EDGE,celltype_number,0.4338243337702144,graph/diffusion
GLMPCA,GLMPCA,GLMPCA,celltype_number,0.5026220326492223,linear/probabilistic
PCA,PCA,PCA,celltype_number,0.5218423417834868,linear/probabilistic
PHATE,PHATE,PHATE,celltype_number,0.7789163288038138,graph/diffusion
PaCMAP,PaCMAP,PaCMAP,celltype_number,0.1975444165601582,metric/structure-aware
ParametricUMAP200,Parametric UMAP 200,UMAP,celltype_number,0.7238414612986173,graph/diffusion
ParametricUMAP50,Parametric UMAP 50,UMAP,celltype_number,0.7037051022095839,graph/diffusion
SAUCIE,SAUCIE,SAUCIE,celltype_number,0.1311059636806396,deep generative/autoencoder
SCDRHA,SCDRHA,SCDRHA,celltype_number,0.5249158704032002,deep generative/autoencoder
