method_raw,method_id,parent_method,n_cells,peak_memory_gb,runtime_seconds
ivis,IVIS,IVIS,20000,0.904,55.6686
ZIFA,ZIFA,ZIFA,20000,2.898,2473.4325
scScope,scScope,scScope,20000,2.395,547.2283
TriMap,TriMap,TriMap,20000,0.62,16.5012
SPDR,SPDR,SPDR,20000,1.935,1317.4856
PaCMAP,PaCMAP,PaCMAP,20000,0.769,37.8158
DREAM,DREAM,DREAM,20000,6.924,1276.4306
scvis,scvis,scvis,20000,0.792,2614.9503
PCA,PCA,PCA,20000,0.805,4.75
t-SNE,t-SNE,t-SNE,20000,0.752,81.9
GLMPCA,GLMPCA,GLMPCA,20000,1.364,149.407
scGBM,scGBM,scGBM,20000,1.58,149.652
EDGE,EDGE,EDGE,20000,7.646,1044.28
tGPLVM,tGPLVM,tGPLVM,20000,0.747,189.0852
pCMF,pCMF,pCMF,20000,1.403,5459.49
SSNMDI,SSNMDI,SSNMDI,20000,6.096,4781.3973
SAUCIE,SAUCIE,SAUCIE,30000,0.61,2.5824
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,30000,0.845,341.1186
UMAP,UMAP,UMAP,30000,1.621,24.7539
PHATE,PHATE,PHATE,30000,1.077,101.7064
DRA,DRA,DRA,30000,0.933,2958.1166
VAE,VAE,VAE,30000,1.643,806.0257
ivis,IVIS,IVIS,30000,1.08,86.5241
scScope,scScope,scScope,30000,2.555,831.0314
TriMap,TriMap,TriMap,30000,0.804,24.6515
SPDR,SPDR,SPDR,30000,2.725,2783.2725
PaCMAP,PaCMAP,PaCMAP,30000,1.004,61.5718
scvis,scvis,scvis,30000,1.095,4009.07
PCA,PCA,PCA,30000,1.09,5.245
t-SNE,t-SNE,t-SNE,30000,1.09,128.055
GLMPCA,GLMPCA,GLMPCA,30000,2.098,335.915
scGBM,scGBM,scGBM,30000,2.258,169.623
EDGE,EDGE,EDGE,30000,13.393,2286.593
tGPLVM,tGPLVM,tGPLVM,30000,0.953,190.8559
DREAM,DREAM,DREAM,30000,14.564,3291.2063
SCDRHA,SCDRHA,SCDRHA,30000,112.055,3607.1984
scGAE,scGAE,scGAE,30000,71.689,3407.1552
pCMF,pCMF,pCMF,30000,2.001,8074.227
ZIFA,ZIFA,ZIFA,30000,4.266,3793.4307
VASC,VASC,VASC,30000,1.886,10333.3334
SSNMDI,SSNMDI,SSNMDI,30000,10.657,12040.6073
SAUCIE,SAUCIE,SAUCIE,500,0.317,1.8917
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,500,0.271,5.2896
UMAP,UMAP,UMAP,500,0.729,7.8606
SCDRHA,SCDRHA,SCDRHA,500,0.681,19.1957
scGAE,scGAE,scGAE,500,0.566,8.325
VASC,VASC,VASC,500,0.301,236.1364
PHATE,PHATE,PHATE,500,0.179,1.1761
DRA,DRA,DRA,500,0.38,41.7908
VAE,VAE,VAE,500,0.569,22.022
ivis,IVIS,IVIS,500,0.613,6.0299
ZIFA,ZIFA,ZIFA,500,0.193,74.6027
scScope,scScope,scScope,500,0.562,12.233
TriMap,TriMap,TriMap,500,0.281,1.7598
SPDR,SPDR,SPDR,500,0.351,11.9595
PaCMAP,PaCMAP,PaCMAP,500,0.25,2.7955
DREAM,DREAM,DREAM,500,1.113,60.585
scvis,scvis,scvis,500,0.274,1832.4837
PCA,PCA,PCA,500,0.122,0.218
t-SNE,t-SNE,t-SNE,500,0.128,1.127
GLMPCA,GLMPCA,GLMPCA,500,0.133,1.656
scGBM,scGBM,scGBM,500,0.284,2.591
SIMLR,SIMLR,SIMLR,500,0.909,63.242
EDGE,EDGE,EDGE,500,2.859,3.77
tGPLVM,tGPLVM,tGPLVM,500,0.586,173.8073
pCMF,pCMF,pCMF,500,0.154,196.407
SSNMDI,SSNMDI,SSNMDI,500,1.405,13.0543
SAUCIE,SAUCIE,SAUCIE,5000,0.338,2.1008
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,5000,0.361,49.1924
UMAP,UMAP,UMAP,5000,0.902,18.2254
SCDRHA,SCDRHA,SCDRHA,5000,4.447,114.9631
scGAE,scGAE,scGAE,5000,2.841,109.2785
VASC,VASC,VASC,5000,0.587,1612.6928
PHATE,PHATE,PHATE,5000,0.504,18.7085
DRA,DRA,DRA,5000,0.527,490.9225
VAE,VAE,VAE,5000,0.732,138.3776
ivis,IVIS,IVIS,5000,0.727,17.9125
ZIFA,ZIFA,ZIFA,5000,0.824,624.1608
scScope,scScope,scScope,5000,0.992,131.6594
TriMap,TriMap,TriMap,5000,0.345,5.2514
SPDR,SPDR,SPDR,5000,0.698,111.9396
PaCMAP,PaCMAP,PaCMAP,5000,0.36,12.0148
DREAM,DREAM,DREAM,5000,1.149,242.9155
scvis,scvis,scvis,5000,0.404,2052.3041
PCA,PCA,PCA,5000,0.261,2.03
t-SNE,t-SNE,t-SNE,5000,0.266,13.933
GLMPCA,GLMPCA,GLMPCA,5000,0.443,18.088
scGBM,scGBM,scGBM,5000,0.591,37.756
SIMLR,SIMLR,SIMLR,5000,36.338,6701.459
EDGE,EDGE,EDGE,5000,3.212,88.257
tGPLVM,tGPLVM,tGPLVM,5000,0.623,180.6193
pCMF,pCMF,pCMF,5000,0.454,1397.16
SSNMDI,SSNMDI,SSNMDI,5000,2.122,359.1581
SAUCIE,SAUCIE,SAUCIE,50000,0.838,2.9545
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,50000,1.384,617.2955
UMAP,UMAP,UMAP,50000,2.286,33.1832
PHATE,PHATE,PHATE,50000,1.563,247.3897
VAE,VAE,VAE,50000,2.357,1377.7144
ivis,IVIS,IVIS,50000,1.369,277.5137
TriMap,TriMap,TriMap,50000,1.158,41.2584
PaCMAP,PaCMAP,PaCMAP,50000,1.515,103.9398
DRA,DRA,DRA,50000,1.317,4911.1828
PCA,PCA,PCA,50000,2.195,9.198
t-SNE,t-SNE,t-SNE,50000,1.912,264.369
GLMPCA,GLMPCA,GLMPCA,50000,3.676,433.37
scGBM,scGBM,scGBM,50000,3.369,343.0
tGPLVM,tGPLVM,tGPLVM,50000,1.442,198.8041
VASC,VASC,VASC,50000,2.952,17233.7631
SPDR,SPDR,SPDR,50000,4.257,8019.0221
scScope,scScope,scScope,50000,2.87,1465.8099
pCMF,pCMF,pCMF,50000,3.465,12988.65
EDGE,EDGE,EDGE,50000,31.582,6291.383
scvis,scvis,scvis,50000,1.701,6552.7855
ZIFA,ZIFA,ZIFA,50000,7.032,8466.2815
SAUCIE,SAUCIE,SAUCIE,73233,1.189,3.5225
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,73233,1.849,996.3987
UMAP,UMAP,UMAP,73233,3.183,44.8445
PHATE,PHATE,PHATE,73233,2.195,549.2445
ivis,IVIS,IVIS,73233,1.673,197.2723
DRA,DRA,DRA,73233,1.768,7192.8711
TriMap,TriMap,TriMap,73233,1.569,64.3344
PaCMAP,PaCMAP,PaCMAP,73233,2.05,156.4359
PCA,PCA,PCA,73233,2.75,13.89
t-SNE,t-SNE,t-SNE,73233,2.76,443.098
VAE,VAE,VAE,73233,3.161,1994.1385
GLMPCA,GLMPCA,GLMPCA,73233,5.027,821.787
scGBM,scGBM,scGBM,73233,5.252,573.543
VASC,VASC,VASC,73233,4.152,25268.5643
tGPLVM,tGPLVM,tGPLVM,73233,2.01,207.9224
pCMF,pCMF,pCMF,73233,4.882,18998.695
scScope,scScope,scScope,73233,3.253,2165.0811
SPDR,SPDR,SPDR,73233,6.022,20562.4158
EDGE,EDGE,EDGE,73233,63.961,13138.446
scvis,scvis,scvis,73233,2.085,9444.5761
ZIFA,ZIFA,ZIFA,73233,10.25,9119.3146
