n_labels,ari,nmi,homogeneity,completeness,silhouette_label,trustworthiness_k30,work_package,dataset_id,method,environment,dimension,seed,max_epochs,n_cells,n_genes,runtime_seconds,max_rss_mb,metric_sample_size,metric_sample_size_requested,method_raw,method_id,parent_method,control_layer,source,standardized,explained_variance_ratio_sum,analysis_inclusion,method_class,max_iter,min_iter,iter_max,iter_min,pseudocount,zero_inflation,sparsity,training_steps,layers,workflow,pca_components,hvg_requested,hvg_actual,n_genes_total,n_genes_input,model_input,family
15,0.0299324480415338,0.0764314118199485,0.0772033673180541,0.0756747410367895,-0.067542016506195,0.525231286774111,scVI reference analysis,celltype_15,scVI,Python modern,5,0,20.0,2000,3000.0,11.211285591125488,800.6640625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0310156815280899,0.0757574444235959,0.0763539488838899,0.0751701879288613,-0.0785350799560546,0.5301319689605184,scVI reference analysis,celltype_15,scVI,Python modern,5,1,20.0,2000,3000.0,11.347704648971558,798.59375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0252276575250702,0.0720053727017208,0.0726196665452903,0.0714013843755436,-0.0746150761842727,0.5292038202438816,scVI reference analysis,celltype_15,scVI,Python modern,5,2,20.0,2000,3000.0,11.556303262710571,790.86328125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0646001820127456,0.123413972476345,0.1248893966675494,0.1219730021233085,-0.0240279119461774,0.5539845314232114,scVI reference analysis,celltype_15,scVI,Python modern,10,0,20.0,2000,3000.0,11.455483198165894,803.35546875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0456862678961838,0.0970669900344661,0.0979790933640689,0.0961717119130048,-0.0439645312726497,0.5505243199454251,scVI reference analysis,celltype_15,scVI,Python modern,10,1,20.0,2000,3000.0,10.739529609680176,799.4609375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0408127303227377,0.0993126604411179,0.1003612055652655,0.0982857985746433,-0.0567107833921909,0.5391058923850942,scVI reference analysis,celltype_15,scVI,Python modern,10,2,20.0,2000,3000.0,11.34933876991272,799.89453125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0493989138065919,0.110751100197049,0.1119766066912839,0.1095521279454206,-0.027676835656166,0.5551151445382451,scVI reference analysis,celltype_15,scVI,Python modern,20,0,20.0,2000,3000.0,11.34435510635376,799.93359375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0994001072866771,0.1619335704182497,0.1635162053725425,0.1603812776928131,-0.0109098311513662,0.5745370853585743,scVI reference analysis,celltype_15,scVI,Python modern,20,1,20.0,2000,3000.0,11.402583360671995,811.71875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0571327470916239,0.1143343075525793,0.1155294222816036,0.1131636658135895,-0.0194532349705696,0.5471660953355504,scVI reference analysis,celltype_15,scVI,Python modern,20,2,20.0,2000,3000.0,11.195108652114868,799.89453125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0889071201949417,0.1369001861464638,0.138552214441209,0.1352870895906357,-0.0055616372264921,0.5699842329666581,scVI reference analysis,celltype_15,scVI,Python modern,50,0,20.0,2000,3000.0,11.846994400024414,795.33984375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.1030733658368952,0.1686326602931707,0.1704547731516259,0.1668490911458986,-0.0046624997630715,0.5934332395327022,scVI reference analysis,celltype_15,scVI,Python modern,50,1,20.0,2000,3000.0,11.3247652053833,805.2578125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
15,0.0674478111551454,0.131548039044961,0.132941748117604,0.1301832489936962,-0.0159592814743518,0.5634477274665302,scVI reference analysis,celltype_15,scVI,Python modern,50,2,20.0,2000,3000.0,11.620352983474731,806.53125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.0306540850813009,0.0445410864475926,0.0455081028733598,0.0436143118020213,-0.088686965405941,0.5210684318239959,scVI reference analysis,dropout_0,scVI,Python modern,2,0,20.0,2000,3000.0,11.337135314941406,792.26953125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.1692089627579717,0.1848698276575388,0.186251901488244,0.1835081139782431,-0.018375027924776,0.5480589153236122,scVI reference analysis,dropout_0,scVI,Python modern,2,1,20.0,2000,3000.0,11.340956926345823,790.77734375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.0801181935781352,0.087480650137668,0.0893381967422208,0.0856987754726478,-0.0549152754247188,0.5297950370938859,scVI reference analysis,dropout_0,scVI,Python modern,2,2,20.0,2000,3000.0,11.231960773468018,804.07421875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.3003424542517477,0.304227497552242,0.3094409905906229,0.2991867686794802,0.0910840854048729,0.5938653278758421,scVI reference analysis,dropout_0,scVI,Python modern,5,0,20.0,2000,3000.0,11.397860050201416,791.04296875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.4265399397641953,0.3985664966465266,0.4050475819481834,0.3922895500600074,0.1353024244308471,0.6029496972797816,scVI reference analysis,dropout_0,scVI,Python modern,5,1,20.0,2000,3000.0,10.98138952255249,797.07421875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.4504209866132158,0.402933135351928,0.409462592275857,0.3966086525749974,0.1370308399200439,0.6054229982092607,scVI reference analysis,dropout_0,scVI,Python modern,5,2,20.0,2000,3000.0,10.880648612976074,796.58984375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.7375838065054562,0.6761706290094299,0.6843401673456998,0.6681938427922428,0.2187408059835434,0.6533126971945085,scVI reference analysis,dropout_0,scVI,Python modern,10,0,20.0,2000,3000.0,11.382285356521606,791.04296875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.7525456080462997,0.667992061575849,0.6705266658081565,0.665476546894227,0.2091997116804123,0.6474919843097127,scVI reference analysis,dropout_0,scVI,Python modern,10,1,20.0,2000,3000.0,11.128441333770752,792.3359375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.72962099697509,0.6671645098519271,0.6726944580893746,0.6617247392230221,0.2215186506509781,0.6475211136693102,scVI reference analysis,dropout_0,scVI,Python modern,10,2,20.0,2000,3000.0,10.965211391448976,795.45703125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.8255411514419618,0.7568040818549724,0.7604106591526981,0.7532315545738794,0.2418694496154785,0.6518676728916176,scVI reference analysis,dropout_0,scVI,Python modern,20,0,20.0,2000,3000.0,10.902674913406372,800.3828125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.7325252868212349,0.7742848797782964,0.7877748611897598,0.7612491291999014,0.2243044525384903,0.6765374776157584,scVI reference analysis,dropout_0,scVI,Python modern,20,1,20.0,2000,3000.0,11.533573627471924,804.515625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.8290633878672211,0.7665832951359216,0.7714041180542079,0.7618223526269928,0.2302893102169037,0.6667655581137546,scVI reference analysis,dropout_0,scVI,Python modern,20,2,20.0,2000,3000.0,11.2193124294281,792.93359375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.7460765776991145,0.7923677486405849,0.8056824338561785,0.7794859851978817,0.1871270984411239,0.6782207811034364,scVI reference analysis,dropout_0,scVI,Python modern,50,0,20.0,2000,3000.0,11.199163436889648,796.85546875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.880477182491667,0.8213712929717804,0.8238443917888237,0.8189129977086455,0.2047007381916046,0.6946325999829454,scVI reference analysis,dropout_0,scVI,Python modern,50,1,20.0,2000,3000.0,11.532982110977173,795.1328125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.9352622687781252,0.8913846104651403,0.8941503505292843,0.8886359273323696,0.233523428440094,0.6870892811460731,scVI reference analysis,dropout_0,scVI,Python modern,50,2,20.0,2000,3000.0,11.3625168800354,806.9296875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
5,0.0271490183074389,0.0306966356935542,0.0313763180061981,0.0300457759440202,-0.046264536678791,0.521708894005287,scVI reference analysis,dropout_2,scVI,Python modern,2,0,20.0,2000,3000.0,11.093255758285522,798.80078125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,,deep
