metric_sample_size,n_labels,ari,nmi,homogeneity,completeness,silhouette_label,trustworthiness_k30,work_package,dataset_id,method,environment,hvg_requested,hvg_actual,seed,n_cells,n_genes_total,n_genes_input,metric_sample_size_requested,runtime_seconds,max_rss_mb,workflow,dimension,pca_components,model_input,max_epochs,max_iter,min_iter,analysis_inclusion,method_raw,method_id,parent_method,control_layer,method_order
2000,11,0.6507383486258339,0.6750303821730513,0.6786518435672559,0.671447365732018,0.0807500727684192,0.6838434211648332,Input-gene sensitivity,celltype_11,PCA,Python modern,1000,1000,1,2000,3000,1000,5000,0.9315295219421388,1466.81640625,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,11,0.6493063625041058,0.6788448369410148,0.6825627756015202,0.6751671822855705,0.0735515676594167,0.6855751257781189,Input-gene sensitivity,celltype_11,PCA,Python modern,1000,1000,0,2000,3000,1000,5000,1.0140480995178225,1466.81640625,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,11,0.4738297066374239,0.4998869094232274,0.5016964600100748,0.4980903655264986,0.0400743494157144,0.7143625991302123,Input-gene sensitivity,celltype_11,PCA,Python modern,500,500,2,2000,3000,500,5000,0.9835281372070312,1466.81640625,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,11,0.4545650576181447,0.4899034148684307,0.491721349400166,0.4880988729320541,0.039048504499756,0.7195414001876013,Input-gene sensitivity,celltype_11,PCA,Python modern,500,500,1,2000,3000,500,5000,0.9373185634613036,1466.81640625,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,11,0.4553428573179413,0.4862978005273696,0.4883585589867822,0.4842543608206118,0.0375650908627197,0.7180226400613967,Input-gene sensitivity,celltype_11,PCA,Python modern,500,500,0,2000,3000,500,5000,0.9328510761260986,1466.81640625,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.9913255494202736,0.981405541076905,0.981732098864203,0.9810792004660206,0.1456479770243775,0.7145166624030016,Input-gene sensitivity,default,PCA,Python modern,1000,1000,2,2000,3000,1000,5000,0.9600720405578612,1015.1796875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.988654963109862,0.9766161915982956,0.9768878805628314,0.9763446537142912,0.1457076298362523,0.7146599641852136,Input-gene sensitivity,default,PCA,Python modern,1000,1000,1,2000,3000,1000,5000,0.9838602542877196,1015.07421875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.9907301400781592,0.9816668547505352,0.9822812996969774,0.9810531780291956,0.1455304113253135,0.7188701117080243,Input-gene sensitivity,default,PCA,Python modern,1000,1000,0,2000,3000,1000,5000,0.940227508544922,1015.07421875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.9076276412094252,0.8594777032246916,0.8637830311415302,0.8552150802889258,0.1017093343292046,0.7459605014070094,Input-gene sensitivity,default,PCA,Python modern,500,500,2,2000,3000,500,5000,0.874211311340332,330.07421875,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
2000,5,0.9195679982872588,0.8720861345578719,0.8753000904698854,0.8688956945193879,0.1013534111625855,0.7484277223501321,Input-gene sensitivity,default,PCA,Python modern,500,500,1,2000,3000,500,5000,0.9332160949707032,326.33984375,Latent dimension,20,0,Log1p HVG,,,,Planned full grid,PCA,PCA,PCA,input_gene_sensitivity,0
