method_id,raw_median,raw_q1,raw_q3,raw_mean,raw_observations,overall_mean,family
DRA,0.1168235294117647,0.01,0.31251054852320675,0.19686949875246276,3772,0.2533899982627054,deep generative/autoencoder
DREAM,0.36986301369863017,0.09,0.6390673814436317,0.38657117102391486,3743,0.4426571028170286,deep generative/autoencoder
EDGE,0.5,0.23,0.74,0.4916064416328074,3771,0.5835930721157682,graph/diffusion
GLMPCA,0.5853333333333334,0.3132541711332839,0.770143570536829,0.5304068929429602,3771,0.6494584276874026,linear/probabilistic
IVIS,0.49,0.22160834868017193,0.7224739861908004,0.47401220720522214,3771,0.5626180617269411,metric/structure-aware
PCA,0.5898922949461474,0.31893450202422857,0.8,0.541138417294585,3771,0.6657548517014871,linear/probabilistic
PHATE,0.6256410256410256,0.3221825924112798,0.8493344114460519,0.5805769950558416,3771,0.7234169814967952,graph/diffusion
PaCMAP,0.193058568329718,0.018569597922089863,0.4018917426125379,0.24839377869655851,3771,0.31555770927861587,metric/structure-aware
SAUCIE,0.25207296849087896,0.047619047619047616,0.5691342130672674,0.31588349518346037,3771,0.3389765317041786,deep generative/autoencoder
SCDRHA,0.5242165242165243,0.27,0.7230769230769231,0.5002225634510099,3705,0.5706008716857678,deep generative/autoencoder
SIMLR,0.6,0.34,0.8004003815314277,0.5672357728780031,3276,0.6763450593541998,graph/diffusion
SPDR,0.6261510128913446,0.3244854802160394,0.8533417614833545,0.5824983762490551,3771,0.7400553279056139,graph/diffusion
SQuaD-MDS,0.482,0.27,0.6769230769230768,0.4721407081573824,3771,0.5622242072080099,metric/structure-aware
SSNMDI,0.18133333333333335,0.01591187270501836,0.3760028824263788,0.22686842290135079,3771,0.2588247155943185,linear/probabilistic
TriMap,0.65,0.35883333333333334,0.8660939964324332,0.5979875313339694,3771,0.7681472501279613,metric/structure-aware
UMAP,0.613289760348584,0.3060545415089335,0.83,0.5640750108514676,3771,0.7020324184648239,graph/diffusion
VAE,0.5161744022503516,0.2557172557172556,0.7604315028749276,0.5067466902087455,3771,0.6687609749941713,deep generative/autoencoder
VASC,0.570595535925434,0.33783783783783783,0.76,0.5307392901567625,1872,0.4118874769800309,deep generative/autoencoder
ZIFA,0.5698005698005698,0.30476190476190473,0.7846153846153845,0.5301243030254719,3781,0.6401960460227428,linear/probabilistic
pCMF,0.20984720758693362,0.04,0.4744255795953632,0.2832179697228615,3756,0.3048144314445394,linear/probabilistic
scGAE,0.36,0.08523908523908522,0.6609881367380337,0.38998471401929874,3743,0.42107262842470494,deep generative/autoencoder
scGBM,0.6,0.33877447483154977,0.7891958883715036,0.5458637455052533,3771,0.6612292952743584,linear/probabilistic
scScope,0.3150492264416315,0.0847371812574795,0.603456505681288,0.3598413550351253,3771,0.41889938065824317,deep generative/autoencoder
scvis,0.39,0.06768407186652355,0.72,0.42131365351175964,3770,0.40274561621643334,deep generative/autoencoder
t-SNE,0.6205630354957161,0.3334679590737749,0.8303846153846154,0.5736692981873452,3771,0.7411426175706313,metric/structure-aware
tGPLVM,0.4,0.07,0.68,0.4193831071738518,3771,0.5392288988298692,linear/probabilistic
