family,Structure,Clustering,Efficiency,Robustness
linear,0.5645921434895627,0.5116164503969935,0.9235550503242362,0.6165564483858237
deep,0.5301024664066927,0.4497858847933864,0.843860236704142,0.28687620661742064
graph,0.6120050292724762,0.5574494639823524,0.8747438660426983,0.7449275722773635
metric,0.5892427840951704,0.5280742815776228,0.986673798213141,0.4856069440274282
