method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,method_order,collection,sim_axis
PCA,0.36,PCA,PCA,TI,DC3_VA1d_horns,spectral,SIL,0,trajectory,other
PCA,0.73,PCA,PCA,TI,ICM,kmeans,ARI,0,trajectory,other
PCA,0.83,PCA,PCA,TI,ICM,kmeans,COMP,0,trajectory,other
PCA,0.8,PCA,PCA,TI,ICM,kmeans,HOMO,0,trajectory,other
PCA,0.81,PCA,PCA,TI,ICM,kmeans,NMI,0,trajectory,other
PCA,0.58,PCA,PCA,TI,ICM,kmeans,SIL,0,trajectory,other
PCA,0.56,PCA,PCA,TI,ICM,louvain,ARI,0,trajectory,other
PCA,0.68,PCA,PCA,TI,ICM,louvain,COMP,0,trajectory,other
PCA,0.78,PCA,PCA,TI,ICM,louvain,HOMO,0,trajectory,other
PCA,0.72,PCA,PCA,TI,ICM,louvain,NMI,0,trajectory,other
PCA,0.45,PCA,PCA,TI,ICM,louvain,SIL,0,trajectory,other
PCA,0.54,PCA,PCA,TI,ICM,spectral,ARI,0,trajectory,other
PCA,0.7,PCA,PCA,TI,ICM,spectral,COMP,0,trajectory,other
PCA,0.76,PCA,PCA,TI,ICM,spectral,HOMO,0,trajectory,other
PCA,0.73,PCA,PCA,TI,ICM,spectral,NMI,0,trajectory,other
PCA,0.41,PCA,PCA,TI,ICM,spectral,SIL,0,trajectory,other
PCA,0.61,PCA,PCA,TI,blastocyst,kmeans,ARI,0,trajectory,other
PCA,0.79,PCA,PCA,TI,blastocyst,kmeans,COMP,0,trajectory,other
PCA,0.78,PCA,PCA,TI,blastocyst,kmeans,HOMO,0,trajectory,other
PCA,0.79,PCA,PCA,TI,blastocyst,kmeans,NMI,0,trajectory,other
PCA,0.51,PCA,PCA,TI,blastocyst,kmeans,SIL,0,trajectory,other
PCA,0.65,PCA,PCA,TI,blastocyst,louvain,ARI,0,trajectory,other
PCA,0.78,PCA,PCA,TI,blastocyst,louvain,COMP,0,trajectory,other
PCA,0.74,PCA,PCA,TI,blastocyst,louvain,HOMO,0,trajectory,other
PCA,0.76,PCA,PCA,TI,blastocyst,louvain,NMI,0,trajectory,other
PCA,0.45,PCA,PCA,TI,blastocyst,louvain,SIL,0,trajectory,other
PCA,0.55,PCA,PCA,TI,blastocyst,spectral,ARI,0,trajectory,other
PCA,0.72,PCA,PCA,TI,blastocyst,spectral,COMP,0,trajectory,other
PCA,0.77,PCA,PCA,TI,blastocyst,spectral,HOMO,0,trajectory,other
PCA,0.74,PCA,PCA,TI,blastocyst,spectral,NMI,0,trajectory,other
PCA,0.42,PCA,PCA,TI,blastocyst,spectral,SIL,0,trajectory,other
PCA,0.54,PCA,PCA,TI,combination-1,kmeans,ARI,0,trajectory,other
PCA,0.67,PCA,PCA,TI,combination-1,kmeans,COMP,0,trajectory,other
PCA,0.41,PCA,PCA,TI,combination-1,kmeans,HOMO,0,trajectory,other
PCA,0.51,PCA,PCA,TI,combination-1,kmeans,NMI,0,trajectory,other
PCA,0.72,PCA,PCA,TI,combination-1,kmeans,SIL,0,trajectory,other
PCA,0.03,PCA,PCA,TI,combination-1,louvain,ARI,0,trajectory,other
PCA,0.19,PCA,PCA,TI,combination-1,louvain,COMP,0,trajectory,other
PCA,0.57,PCA,PCA,TI,combination-1,louvain,HOMO,0,trajectory,other
PCA,0.28,PCA,PCA,TI,combination-1,louvain,NMI,0,trajectory,other
PCA,0.22,PCA,PCA,TI,combination-1,louvain,SIL,0,trajectory,other
PCA,0.19,PCA,PCA,TI,combination-1,spectral,ARI,0,trajectory,other
PCA,0.34,PCA,PCA,TI,combination-1,spectral,COMP,0,trajectory,other
PCA,0.49,PCA,PCA,TI,combination-1,spectral,HOMO,0,trajectory,other
PCA,0.4,PCA,PCA,TI,combination-1,spectral,NMI,0,trajectory,other
PCA,0.3,PCA,PCA,TI,combination-1,spectral,SIL,0,trajectory,other
PCA,0.3,PCA,PCA,TI,combination-2,kmeans,ARI,0,trajectory,other
PCA,0.44,PCA,PCA,TI,combination-2,kmeans,COMP,0,trajectory,other
PCA,0.42,PCA,PCA,TI,combination-2,kmeans,HOMO,0,trajectory,other
PCA,0.43,PCA,PCA,TI,combination-2,kmeans,NMI,0,trajectory,other
PCA,0.35,PCA,PCA,TI,combination-2,kmeans,SIL,0,trajectory,other
PCA,0.1,PCA,PCA,TI,combination-2,louvain,ARI,0,trajectory,other
PCA,0.3,PCA,PCA,TI,combination-2,louvain,COMP,0,trajectory,other
PCA,0.53,PCA,PCA,TI,combination-2,louvain,HOMO,0,trajectory,other
PCA,0.38,PCA,PCA,TI,combination-2,louvain,NMI,0,trajectory,other
PCA,0.2,PCA,PCA,TI,combination-2,louvain,SIL,0,trajectory,other
PCA,0.24,PCA,PCA,TI,combination-2,spectral,ARI,0,trajectory,other
PCA,0.39,PCA,PCA,TI,combination-2,spectral,COMP,0,trajectory,other
PCA,0.43,PCA,PCA,TI,combination-2,spectral,HOMO,0,trajectory,other
PCA,0.41,PCA,PCA,TI,combination-2,spectral,NMI,0,trajectory,other
PCA,0.25,PCA,PCA,TI,combination-2,spectral,SIL,0,trajectory,other
PCA,0.17,PCA,PCA,TI,combination-3,kmeans,ARI,0,trajectory,other
