method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,aji_20,0.011,TI,combination-1,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.015,TI,combination-1,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.013,TI,combination-1,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.022,TI,combination-1,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.03,TI,combination-1,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.778,TI,combination-2,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.771,TI,combination-2,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.767,TI,combination-2,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.005,TI,combination-2,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.008,TI,combination-2,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.012,TI,combination-2,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.009,TI,combination-2,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.016,TI,combination-2,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.023,TI,combination-2,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.782,TI,combination-3,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.776,TI,combination-3,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.772,TI,combination-3,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.008,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.014,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.02,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.015,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.028,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.039,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.877,TI,epiblast,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.876,TI,epiblast,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.874,TI,epiblast,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.216,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.387,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.533,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.355,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.534,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.661,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.791,TI,epidermis,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.787,TI,epidermis,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.784,TI,epidermis,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.007,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.012,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.017,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.013,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.024,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.033,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.876,TI,horns,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.873,TI,horns,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.871,TI,horns,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.07,TI,horns,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.125,TI,horns,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.176,TI,horns,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.128,TI,horns,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.22,TI,horns,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.297,TI,horns,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.604,TI,muscle,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.598,TI,muscle,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.595,TI,muscle,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.003,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.007,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.01,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.006,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.013,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.019,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.711,TI,neuron,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.697,TI,neuron,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.69,TI,neuron,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.005,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.009,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.013,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.009,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.018,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.025,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.773,TI,pair-1,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.769,TI,pair-1,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.766,TI,pair-1,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.003,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.005,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.007,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.006,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.01,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.014,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.73,TI,pair-2,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.723,TI,pair-2,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.72,TI,pair-2,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.002,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.003,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.004,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.003,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.006,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.008,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.757,TI,pair-3,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.75,TI,pair-3,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.746,TI,pair-3,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.002,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.003,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.004,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.004,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.007,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.009,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.73,TI,pair-4,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.724,TI,pair-4,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.721,TI,pair-4,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.001,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.002,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.003,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.002,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.004,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.006,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.846,TI,parenchyme,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.84,TI,parenchyme,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.836,TI,parenchyme,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.012,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.02,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.029,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.022,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.04,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.056,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.84,TI,phagocyte,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.833,TI,phagocyte,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.828,TI,phagocyte,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.032,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.058,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.078,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.063,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.112,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.148,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.824,TI,pharynx,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.811,TI,pharynx,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.804,TI,pharynx,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.057,TI,pharynx,dr1,0,trajectory,other
