atlas_layer,dataset_type,source_table,source_row,dataset_label,dataset_group,source_repository,species,tissue_or_cell_type,condition,cells,cell_count_text,sequencing_technology,year,counting_rule,source,category,dataset,genes,sparsity_pct,cell_types,size_mb,Unnamed: 7,param_group,param_value,n_batches,n_groups,dataset_id,matrix_path_or_source,n_cells,n_genes,label_status,availability,planned_use
manuscript_100_dataset_atlas,real,Supplementary Table S2,26.0,SCGEMMETH,SCGEMMETH,SRP077853,Human,foreskin fibroblasts,Developmental,142.0,142,scGEM,2016.0,single_row_dataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,27.0,SCGEMRNA,SCGEMRNA,SRP077853,Human,foreskin fibroblasts,Developmental,177.0,177,scGEM,2016.0,single_row_dataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,28.0,SCIATAC,SCIATAC,GSE111586,Mouse,bone marrow,Healthy,4025.0,4025,sci-ATAC-seq,2018.0,single_row_dataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,29.0,SLIDE,SLIDE,SCP354,Mouse,coronal cerebellum,Healthy,23372.0,23372,Slide-seq,2021.0,single_row_dataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,30.0,VISIUM,VISIUM,SeuratData,Mouse,Brain,Healthy,2696.0,2696,10x Visium,2019.0,single_row_dataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,31.0,GSE74767/epiblast,Nakamura,GSE74767,macaque,Embryonic cells,Developmental,182.0,182、82、272、348,SC3-seq,2016.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,31.0,GSE74767/trophectoderm,Nakamura,GSE74767,macaque,Embryonic cells,Developmental,82.0,182、82、272、348,SC3-seq,2016.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,31.0,GSE74767/ICM,Nakamura,GSE74767,macaque,Embryonic cells,Developmental,272.0,182、82、272、348,SC3-seq,2016.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,31.0,GSE74767/blastocyst,Nakamura,GSE74767,macaque,Embryonic cells,Developmental,348.0,182、82、272、348,SC3-seq,2016.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,32.0,GSE100058/DA1_horns,Horns,GSE100058,fly,Olfactory projection neurons,Developmental,277.0,277、168、454,smart-seq2,2017.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,32.0,GSE100058/DC3_VA1d_horns,Horns,GSE100058,fly,Olfactory projection neurons,Developmental,168.0,277、168、454,smart-seq2,2017.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,32.0,GSE100058/horns,Horns,GSE100058,fly,Olfactory projection neurons,Developmental,454.0,277、168、454,smart-seq2,2017.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/combination-1,Plass,GSE103633,planaria,whole organism level,Healthy,4288.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/combination-2,Plass,GSE103633,planaria,whole organism level,Healthy,4341.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/combination-3,Plass,GSE103633,planaria,whole organism level,Healthy,2270.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/epidermis,Plass,GSE103633,planaria,whole organism level,Healthy,4003.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/muscle,Plass,GSE103633,planaria,whole organism level,Healthy,2338.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/neuron,Plass,GSE103633,planaria,whole organism level,Healthy,2349.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/pair-1,Plass,GSE103633,planaria,whole organism level,Healthy,10578.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/pair-2,Plass,GSE103633,planaria,whole organism level,Healthy,10653.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/pair-3,Plass,GSE103633,planaria,whole organism level,Healthy,8589.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/pair-4,Plass,GSE103633,planaria,whole organism level,Healthy,8960.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/parenchyme,Plass,GSE103633,planaria,whole organism level,Healthy,1986.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/phagocyte,Plass,GSE103633,planaria,whole organism level,Healthy,694.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
manuscript_100_dataset_atlas,real,Supplementary Table S2,33.0,GSE103633/pharynx,Plass,GSE103633,planaria,whole organism level,Healthy,292.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,real_atlas,,,,,,,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,249.0,,,,,real_detail,SIMLR,SIMLR/Pollen,3000.0,27.9,11.0,11.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,622.0,,,,,real_detail,SIMLR,SIMLR/Usoskin,3000.0,76.2,4.0,14.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,8569.0,,,,,real_detail,VASC,VASC/Baron,3000.0,91.5,14.0,130.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,56.0,,,,,real_detail,VASC,VASC/Biase,3000.0,54.7,4.0,2.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,124.0,,,,,real_detail,VASC,VASC/Goolam,3000.0,56.9,5.0,4.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1600.0,,,,,real_detail,VASC,VASC/Xin,3000.0,92.8,8.0,24.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,3005.0,,,,,real_detail,VASC,VASC/Zeisel,3000.0,88.0,9.0,50.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,90.0,,,,,real_detail,VASC,VASC/yan,3000.0,52.1,6.0,3.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,1886.0,,,,,real_detail,benchmarker,benchmarker/Baron_mouse,3000.0,91.4,13.0,29.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,420.0,,,,,real_detail,benchmarker,benchmarker/Darmanis,3000.0,88.1,8.0,7.0,,,,,,,,,,,,
explicit_excel_detail_or_repository_snapshot,real,,,,,,,,,60.0,,,,,real_detail,benchmarker,benchmarker/Pancreatic,3000.0,84.3,6.0,2.0,,,,,,,,,,,,
